uphill [01/ʌp'hil/]	[01* ttừ]\n- dốc (đường)\n- khó khăn, vất v (công việc)\n[02= an uphill task] một nhiệm vụ khó khăn\n[01* phtừ]\n- lên dốc\n[01* dtừ]\n- dốc, đường dốc
uphold [01/ʌp'hould/]	[01* ngđtừ]\n- nâng lên; ngước (mắt...) lên; giưng cao\n- đỡ, chống, chống đỡ\n- ủng hộ, tán thành\n[02= I cannot uphold such conduct] tôi không thể tán thành cách cư xử như thế\n- giữ, giữ gìn, duy trì; giữ vững tinh thần\n[02= to uphold a tradition] giữ gìn truyền thống\n[02= to uphold someone] giữ vững tinh thần ai\n- xác nhận\n[02= to uphold the jury's decision] xác nhận quyết định của hội đồng
upholden [01/ʌp'houldn/]	- quá khứ phân từ của [03uphold]
upholder [01/ʌp'houldə/]	[01* dtừ]\n- cái trụ, cái chống, cái đỡ\n- người ủng hộ, người tán thành\n- người giữ vững, người duy trì; người giữ vững tinh thần (cho ai)\n- người xác nhận
upholster [01/ʌp'houlstə/]	[01* ngđtừ]\n- nhồi nệm (ghế, đi văng...)\n- trang bị nệm ghế màn thm (cho một căn phòng) 
upholstered [01/ʌp'houlstəd/]	[01* ttừ]\n- được bọc, phủ, bịt
upholsterer [01/ʌp'houlstərə/]	[01* dtừ]\n- người làm nghề bọc ghế, người làm nệm ghế\n- người buôn bán nệm ghế màn thm
upholstery [01/ʌp'houlstəri/]	[01* dtừ]\n- nghề bọc ghế, nghề làm nệm ghế; nghề buôn bán nệm ghế màn thm\n- nệm ghế màn thm\n- đồ để nhồi nệm
uphove [01/ʌp'houv/]	như [03upheave]
UPI [01/ju:pi:'ai/]	[01* (vt)]\n- Hãng thông tấn Hoa Kỳ ([03United Press International] ) 
upityness	- xem [03uppity] 
upkeep [01/'ʌpki:p/]	[01* dtừ]\n- sự bo dưỡng, sự sửa sang\n- phí tổn bo dưỡng, phí tổn sửa sang
upland [01/'ʌplənd/]	[01* dtừ]\n- vùng cao\n[01* ttừ]\n- (thuộc) vùng cao; ở vùng cao
uplander [01/'ʌpləndə/]	[01* dtừ]\n- người vùng cao
uplift [01/'ʌplift/]	[01* dtừ]\n- sự nâng lên, sự đỡ lên, sự nhấc lên, sự đưa lên, sự đắp cao lên\n- sự nâng cao (trình độ, tinh thần, tâm hồn...)\n- yếu tố kích thích, nh hưởng thúc đẩy\n- (địa) phay nghịch\n[01* ngđtừ]\n- nâng lên, đỡ lên, nhấc lên, đưa lên, đắp cao lên\n- nâng cao (trình độ, tinh thần, tâm hồn...) 
upload	- tải lên
up-market [01/,ʌp'ma:kit/]	[01* ttừ, phtừ]\n- ở đầu chợ, về phía đầu chợ\n- dành cho giới thượng lưu, hảo hạng, loại sang
upmost [01/'ʌplift/]	[01* ttừ]\n- (như) [03uppermost] 
upo [01/ə'po(u) /]	- xem [03upon] 
upon [01/ə'pɔn/]	[01* gtừ]\n- trên, ở trên\n[02= upon the wide sea] trên biển rộng\n- lúc, vào lúc, trong khong, trong lúc\n[02= upon the heavy middle of the night] vào đúng nửa đêm\n[02= upon a long voyage] trong cuộc hành trình dài\n- nhờ vào, bằng, nhờ\n[02= to depend upon someone to live] nhờ vào ai mà sống\n- chống lại\n[02= to draw one's sword upon someone] rút gưm ra chống lại ai\n- theo, với\n[02= upon those terms] với những điều kiện đó
upper [01/'ʌpə/]	[01* ttừ]\n- trên, cao, thượng\n[02= the upper jaw] hàm trên\n[02= the upper ten (thousand)] tầng lớp quý tộc\n[02= the Upper House] thượng nghị viện\n- (địa) muộn\n[02= upper Cambrian] cambri muộn\n- mặc ngoài, khoác ngoài (áo)\n[01* dtừ]\n- mũ giày\n- (số nhiều) ghệt\n[04! to be (down) on one's uppers]\n- (tục) nghèo xác nghèo x; không một xu dính túi
upper case [01/'ʌpə'keis/]	[01* dtừ]\n- chữ hoa (nhất là chữ in) 
Upper Chamber [01/'ʌpə't∫eimbə/]	[01* dtừ]\n- (the Upper Chamber) thượng viện (trong nghị viện Anh) 
upper house [01/'ʌpə'haus/]	- (the Upper Chamber) thượng viện (trong nghị viện Anh) 
uppercase	- chữ hoa
upper-cut [01/' p k t/]	[01* dtừ]\n- (thể thao) qu đấm móc\n[01* ngđtừ]\n- đánh móc
uppercut [01/'ʌpə'kʌt/]	[01* dtừ]\n- (thể thao) cú đấm móc từ dưới lên với cánh tay gập lại (trong quyền Anh)\n[01* ngđtừ]\n- đánh móc từ dưới lên
uppermost [01/'ʌpəmoust/]	[01* ttừ] [03upmost] /' pmoust/\n- cao nhất, trên hết\n[02= the uppermost floor] tầng cao nhất\n- quan trọng hn hết, ở hàng đầu\n[02= to be uppermost] chiếm ưu thế, được phần hn\n[01* phtừ]\n- ở trên hết, ở trên đỉnh, ở hàng đầu
uppish [01/'ʌpi∫/]	[01* ttừ]\n- (tục) tự cao tự đại; trịch thượng
uppishly	- xem [03uppish] 
uppishness [01/'ʌpi∫nis/]	[01* dtừ]\n- (tục) tính tự cao tự đại; tính trịch thượng
uppity [01/'ʌpəti/]	như [03uppish]
upraise [01/ʌp'reiz/]	[01* ngđtừ]\n- khích lệ\n- động viên\n- giơ cao
upraised [01/ʌp'reizd/]	[01* ttừ]\n- gi lên (tay)\n- (địa) nâng lên (tầng đất) 
uprear	[01* đtừ]\n- đưa lên, vươn lên
upright [01/'ʌprait/]	[01* ttừ]\n- đứng thẳng; đứng, thẳng đứng\n- (toán) thẳng góc, vuông góc\n- ngay thẳng, chính trực, liêm khiết\n[02= an upright man] một người ngay thẳng\n[01* phtừ]\n- đứng, thẳng đứng\n[01* dtừ]\n- trụ đứng, cột\n- (như) [03upright_piano] 
upright piano [01/'ʌprait'piænou/]	[01* dtừ]\n- (âm nhạc) Pianô tủ
uprightly [01/'ʌpraitli/]	[01* trạng từ]\n- xem [03upright]\n- thẳng, thẳng đứng\n- một cách chính trực
uprightness [01/'ʌp,raitnis/]	[01* dtừ]\n- tính chất thẳng đứng\n- tính ngay thẳng, tính chính trực, tính liêm khiết
uprisal [01/'ʌpraiz(ə) l/]	- xem [03uprising] 
uprise [01/ʌp'raiz/]	[01* nđtừ uprose; uprisen]\n- thức dậy; đứng dậy\n- dâng lên; mọc (mặt trời)\n- nổi dậy
uprisen [01/ p'raiz/]	như [03uprise]
uprising [01/'ʌpraiziη/]	[01* dtừ]\n- sự thức dậy; sự đứng dậy\n- sự lên cao; sự mọc lên (mặt trời)\n- sự nổi dậy; cuộc nổi dậy
upriver [01/'ʌp'rivə/]	[01* ttừ, phtừ]\n- hướng về/đi về thượng lưu\n- ở thượng lưu (sông) 
uproar [01/'ʌprɔ:/]	[01* dtừ]\n- tiếng ồn ào, tiếng om sòm\n- sự náo động
uproarious [01/ʌp'rɔ:riəs/]	[01* ttừ]\n- ồn ào, om sòm\n- náo động
uproariously [01/ʌp'rɔ:riəsli/]	[01* phtừ]\n- rất ồn ào, rất om sòm, rất náo động\n- rất buồn cười, nhộn, tức cười
uproariousness	- xem [03uproarious] 
uproot [01/ʌp'ru:t/]	[01* ngđtừ]\n- nhổ, nhổ bật rễ\n- (bóng) trừ tiệt
uprootedness	- xem [03uproot] 
uprooter	như [03uprootedness]
uprose [01/ʌp'rouz/]	như [03uprise]
uprush [01/ʌprʌ∫/]	[01* dtừ]\n- sự dồn lên, luồng khí đi lên
ups	- thiết bị lưu điện
upset [01/ʌp'set/]	[01* ngđtừ upset]\n- làm đổ, đánh đổ, lật đổ; đánh ng\n[02= to upset a bottle] đánh đổ cái chai\n[02= to upset a car] đánh đổ xe\n[02= to upset someone] đánh ng ai\n- (hàng hi) làm lật úp (thuyền...)\n- làm rối tung, làm xáo lộn, làm lộn bậy, làm đo lộn\n[02= to upset a room] làm lộn bậy c căn phòng\n[02= to upset a plan] làm đo lộn kế hoạch\n- làm khó chịu; làm rối loạn (bộ máy tiêu hoá...)\n- làm bối rối, làm lo ngại\n[02= the least thing upsets him] một tí cái gì cũng làm cho anh ấy lo ngại bối rối\n- (kỹ) chồn\n[01* dtừ]\n- sự đổ, sự lật đổ, sự lật úp; sự đánh ng\n- tình trạng lộn xộn, tình trạng rối loạn\n- sự bối rối, sự lúng túng\n- sự c i lộn, sự bất hoà\n- trạng thái nôn nao khó chịu\n- (thể thao) kết qu bất ngờ\n- (kỹ) sự chồn
upsetter [01/ʌp'setə/]	[01* dtừ]\n- xem [03upset] 
upsettingly [01/ʌp'setiηli/]	[01* trạng từ]\n- xem [03upset] 
upshot [01/'ʌp∫ɔt/]	[01* dtừ]\n- the upshot kết qu, kết qu cuối cùng, kết luận\n[04! on the upshot]\n- kết qu là
upside [01/'ʌpsaid/]	[01* dtừ]\n- mặt trên; phần trên
upside-down [01/,ʌpsaid'daun/]	[01* ttừ & phtừ]\n- lộn ngược; đo lộn\n[02= to turn everything upside-down] làm lộn ngược c; làm đo lộn c
upsilon	- epxilon (&#949;) 
upstage [01/,ʌp'steidʒ/]	như [03uppish]
upstager	- xem [03upstage] 
upstairs [01/,ʌp'steəz/]	[01* phtừ]\n- ở trên gác, ở tầng trên\n- lên gác, lên tầng trên\n[02= to walk upstairs] lên gác\n[01* ttừ]\n- (thuộc) tầng trên; ở trên gác, ở tầng trên\n[02= an upstairs room] căn buồng ở tầng trên, căn buồng ở trên gác
upstanding [01/,ʌp'stændiη/]	[01* ttừ]\n- dựng ngược, dựng đứng lên (tóc) ; đứng thẳng, thẳng đứng (người, vật)\n- khoẻ mạnh, chắc chắn\n- (tài chính) cố định, không thay đổi\n[02= upstanding wages] tiền lưng cố định
upstandingness	- xem [03upstanding] 
upstart [01/'ʌpstɑ:t/]	như [03arriviste]
upstate [01/'ʌpsteit/]	[01* dtừ]\n- phần của một bang (thường) nằm về hướng Bắc) không thuộc các thành phố lớn\n[01* ttừ]\n- thuộc vùng đất xa các đô thị\n[01* phtừ]\n- ở vùng nông thôn, thuộc vùng nông thôn
upstream [01/,ʌp'stri:m/]	[01* phtừ]\n- ngược dòng
up-stream [01/'ʌp(') stri:m/]	[01* trạng từ]\n- ngược dòng
upstroke [01/' pstrouk/]	[01* dtừ]\n- nét lên (của chữ viết) 
up-stroke [01/'ʌpstrouk/]	[01* dtừ]\n- nét đi lên (chữ viết) 
upsurge [01/'ʌpsə:dʒ/]	[01* dtừ]\n- đợt bột phát, cn\n[02= an upsurge of anger] cn thịnh nộ
upswing [01/'ʌpswiη/]	[01* dtừ]\n- (+[04in something]) sự tăng tiến; sự tiến bộ; sự chuyển động đi lên, xu hướng đi lên (nhất là đột ngột) 
uptake [01/'ʌpteik/]	[01* dtừ]\n- trí thông minh; sự hiểu\n[02= to be quick in the uptake] (tục) hiểu nhanh, sáng ý\n[02= to be slow in the uptake] (tục) chậm hiểu, tối dạ\n- (kỹ) ống thông hi
upthrow [01/'ʌpθrou/]	[01* dtừ]\n- sự ném lên\n- (địa) sự dịch chuyển vỉa
upthrust [01/'ʌpθrʌst/]	[01* dtừ]\n- (địa) sự nâng lên, sự trồi lên
uptight [01/,ʌp'tait/]	[01* ttừ]\n- (tục)(+about something) bồn chồn, căng thẳng, lo lắng (về tinh thần)\n- (+[04about something]) bực dọc, tức tối\n- (+[04about something])(Mỹ) câu nệ, cứng nhắc (lễ nghi, phong tục) 
uptightness	- xem [03uptight] 
up-to-date [01/,ʌp tə'deit/]	[01* ttừ]\n- (thuộc) kiểu mới nhất, hiện đại (hàng)\n- cập nhật (sổ sách) 
up-to-dateness	- xem [03up-to-date] 
up-to-the-minute [01/,ʌp tə đə 'minit/]	[01* ttừ]\n- mới giờ chót, hết sức hiện đại
uptown [01/,ʌp'taun/]	[01* ttừ]\n- (Mỹ)(thuộc) phố trên; ở phố trên\n[01* phtừ]\n- (Mỹ) ở phố trên ((thường) là phố ở khu không buôn bán) 
uptowner	- xem [03uptown] 
uptrend [01/,ʌp'trend/]	[01* dtừ]\n- khuynh hướng đi lên
upturn [01/'ʌptə:n/]	[01* dtừ]\n- sự tăng, sự lên (giá c)\n- sự khá lên, sự tiến lên
upu	[01* (vt)]\n- Liên minh bưu chính quốc tế ([03Universal Postal Union] ) 
upward [01/'ʌpwəd/]	[01* ttừ]\n- đi lên, hướng lên, lên\n[02= an upward glance] cái nhìn lên\n[01* phtừ] [03upwards] /' pw d/\n- lên, hướng lên, đi lên, về phía trên\n[02= to look upward] nhìn lên\n- hn, trên\n[02= children of five year and upward] trẻ lên năm và trên năm tuổi\n[04! upwards of]\n- hn\n[02= upward of 50 people] hn 50 người
upward mobility [01/'ʌpwəd mou'biləti/]	[01* dtừ]\n- sự ngoi lên, sự tiến lên, sự phất lên
upwardly mobile	- sẵn sàng và có khả năng ngoi lên\n[02= upwardly mobile young executives] những giám đốc điều hành trẻ tuổi có triển vọng tiến xa hơn nữa
upwards [01/'ʌpwədz/]	như [03upward]
upwards of	- (gtừ) nhiều hơn (một con số)\n[02= upwards of a hundred people came to the meeting] hơn một trăm người đã đến dự cuộc họp
upwind [01/,ʌp'wind/]	[01* ttừ, phtừ]\n- theo chiều gió đang thổi
upwing [01/'ʌpwiη/]	[01* dtừ]\n- bước nhảy đột ngột
urachus [01/'juərəkəs/]	[01* dtừ]\n- ống niêu rốn, dây chằng rốn
uraemia [01/juə'ri:miə/]	[01* dtừ]\n- (y) chứng tăng urê-huyết
uranium [01/ju'reiniəm/]	[01* dtừ]\n- (hoá) Urani
uranology	[01* dtừ]\n- thiên văn học
Uranus [01/'ju:rənəs/]	[01* dtừ]\n- (thiên văn) sao Thiên Vương; Thiên Vương tinh
urat	- Một mạch tích hợp dùng để chuyển chuỗi dữ liệu song song bên trong một máy tính thành chuỗi nối tiếp, loại chuỗi dữ liệu cái này sau cái kia dùng trong truyền thông không đồng bộ Quá trình truyền thông nối tiếp khi đã có UART, còn đòi hỏi phải có cổng và modem nối tiếp
urban [01/'ə:bən/]	[01* ttừ]\n- (thuộc) thành phố, (thuộc) thành thị; ở thành phố, ở thành thị\n[02= urban population] nhân dân thành thị
urbane [01/ə:'bein/]	[01* ttừ]\n- lịch sự, tao nh
urbanely [01/ə:'beinli/]	[01* phtừ]\n- lịch sự, tinh tế; hoà nhã
urbanisation [01/,ə:bənai'zei∫n/]	[01* dtừ]\n- sự thành thị hoá\n- sự làm mất tính cách nông thôn
urbanise [01/'ə:bənaiz/]	[01* ngđtừ]\n- thành thị hoá
urbanity [01/ə:'bænəti/]	[01* dtừ]\n- phong cách lịch sự, phong cách tao nh\n- (số nhiều) cử chỉ tao nh
urbanization [01/,ə:bənai'zei∫n/]	[01* dtừ]\n- sự thành thị hoá
urbanize [01/'ə:bənaiz/]	như [03urbanise]
urceolate [01/'ə:siəlit/]	[01* ttừ]\n- (thực vật) hình nhạc
urchin [01/'ə:t∫in/]	[01* dtừ]\n- thằng nhóc; thằng nh i ranh, thằng ranh con\n- đứa trẻ cầu b cầu bất ((thường) street-urchin)\n- (động vật) nhím biển ((thường) sea-urchin) 
urdu [01/'ʊədu:/]	[01* dtừ]\n- một thứ tiếng họ hàng với tiếng Hin-đu nhưng có nhiều từ Ba-tư, được dùng nhiều ở Pa-kit-tan
urea [01/juə'riə/]	[01* dtừ]\n- (hoá) urê
ureter [01/juə'ri:tə/]	[01* dtừ]\n- (giải phẫu) ống dẫn đái
ureteral [01/juə'ri:təl/]	[01* ttừ]\n- xem [03ureter] 
ureteric [01/juə'ri:tərik/]	như [03ureteral]
urethra [01/juə'ri:θrə/]	[01* dtừ]\n- (giải phẫu) ống đái
urethrae [01/juə'ri:θri:/]	[01* dtừ]\n- (phẫu) niệu đạo (ống dẫn nước tiểu từ bàng quang ra ngoài cơ thể) 
urethral	- xem [03urethra] 
uretic [01/juə'retik/]	[01* ttừ]\n- (y) lợi tiểu, lợi niệu\n[01* dtừ]\n- (y) thuốc lợi tiểu, thuốc lợi niệu
urge [01/ə:dʒ/]	[01* dtừ]\n- sự thúc đẩy, sự thôi thúc\n[01* ngđtừ]\n- thúc, thúc giục, giục gi\n[02= to urge the horse onward] thúc ngựa tiến lên\n[02= to urge someone to do something] thúc giục ai làm điều gì\n- cố nài, cố gắng thuyết phục\n[02= the shopkeeper urged me to buy a hat] nhà hàng nài tôi mua một cái mũ\n- nêu ra, đề xuất, by tỏ chủ trưng; dẫn chứng, viện chứng; nhấn mạnh\n[02= to urge the need for economy] nêu lên vấn đề cần thiết phi tiết kiệm; nhấn mạnh sự cần thiết phi tiết kiệm
urgency [01/'ə:dʒənsi/]	[01* dtừ]\n- sự gấp rút, sự cần kíp, sự khẩn cấp, sự cấp bách\n[02= a matter of great urgency] một việc khẩn cấp\n- sự khẩn nài, sự năn nỉ\n[02= to yield to someone's urgency] nhượng bộ trước sự khẩn nài của ai
urgent [01/'ə:dʒənt/]	[01* ttừ]\n- gấp, cần kíp, khẩn cấp, cấp bách\n[02= urgent need] nhu cầu cấp bách\n- khẩn nài, năn nỉ
urgently	- xem [03urgent] 
uric [01/'juərik/]	[01* ttừ]\n- (hoá) uric\n[02= uric acid] axit uric
urinal [01/'juərinl/]	[01* dtừ]\n- (y) bình đái (cho người bệnh)\n- (y) lo đựng nước tiểu (để xét nghiệm)\n- chỗ đi tiểu\n[02= street urinal] chỗ đi tiểu ở đường phố, nhà đi tiểu công cộng
urinary [01/'juərinəri/]	[01* ttừ]\n- (thuộc) nước tiểu
urinate [01/'juərineit/]	[01* nđtừ]\n- đi đái, đi tiểu
urination [01/,juəri'nei∫n/]	[01* dtừ]\n- sự đi đái, sự đi tiểu
urinative	như [03urinator]
urinator	- xem [03urinate] 
urine [01/'juərin/]	[01* dtừ]\n- nước đái, nước tiểu
urinology [01/,juərin'ɔlədʒi/]	như [03urology]
urinoscopy [01/,juəri'nɔskəpi/]	[01* dtừ]\n- phép xét nghiệm nước tiểu
urinous [01/'juərinəs/]	[01* ttừ]\n- thuộc nước tiểu
urn [01/ə:n/]	[01* dtừ]\n- cái lư; cái vạc\n- bình đựng di cốt, bình đựng tro ho táng\n- bình h m trà, bình h m cà phê (ở các tiệm cà phê và căng tin) 
urogenital [01/,juərə'dʒenitl/]	[01* ttừ]\n- (động vật) niệu sinh dục
urologic	- xem [03urology] 
urologist	như [03urologic]
urology [01/juə'ɔlədʒi/]	[01* dtừ]\n- (y) khoa tiết niệu
uroscopy [01/'juərɔskəpi/]	như [03urinoscopy]
ursine [01/'ə:sain/]	[01* ttừ]\n- (y)(thuộc) gấu; như gấu
urticaceaous plant [01/,ə:ti'kei∫əs'pla:nt/]	[01* dtừ]\n- cầy họ gai
urticaceous [01/,ə:ti'kei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ gai
urticaria [01/,ə:ti'keəriə/]	[01* dtừ]\n- (y) chứng mày đay
urticarial	- xem [03urticaria] 
us [01/ʌs, əs/]	[01* đại từ]\n- chúng tôi, chúng ta, chúng mình
