lodgement [01/'lɔdʒmənt/]	[01* dtừ]\n- sự ở trọ, sự tạm trú; sự cho ở trọ, sự cho tạm trú\n- (pháp lý) sự gửi tiền (ở ngân hàng...) ; số tiền gửi\n- sự đệ đơn (kiện)\n- (qsự) công sự giữ tạm (đắp tạm để bảo vệ một vị trí vừa chiếm được)\n- (qsự) vị trí vững chắc\n- cặn, vật lắng xuống đáy\n[02= a lodgement of dirt in a pipe] cặn đất kết lại trong ống
lodger [01/'lɔdʒə/]	[01* dtừ]\n- người ở trọ\n- người thuê nhà, người thuê lại
lodging [01/'lɔdʒiη/]	[01* dtừ]\n- chỗ trọ, chỗ tạm trú\n- (số nhiều) phòng có sãn đồ cho thuê\n- nhà hiệu trưởng (trường đại học Ôc-phớt) 
lodging-house [01/'lɔdʒiη,haus/]	[01* dtừ]\n- nhà có phòng cho thuê
lodging-room [01/'lɔdʒiηru:m/]	[01* dtừ]\n- phòng cho thuê
lodgment [01/'lɔdʒmənt/]	như [03lodgement]
loess [01/'loues/]	[01* dtừ]\n- (địa lý,địa chất) hoàng thổ, đất lớn
loft [01/lɔft/]	[01* dtừ]\n- gác xép\n- giảng đàn (trong giáo đường)\n- chuồng bồ câu; đành bồ câu\n- (thể thao) cú đánh võng lên (bóng gôn)\n[01* ngđtừ]\n- nhốt (bồ câu) trong chuồng\n- (thể thao) đánh võng lên (bóng gôn) 
loftily [01/'lɔftili/]	[01* phtừ]\n- sừng sững\n- cao thượng\n- trịch thượng, kiêu căng
loftiness [01/'lɔftinis/]	[01* dtừ]\n- bề cao, độ cao, chiều cao\n- tính kiêu căng, tính kiêu kỳ, tính kiêu ngạo\n- tính cao thượng, tính cao quý
lofty [01/'lɔfti/]	[01* ttừ]\n- cao, cao ngất\n[02= a lofty stature] dáng người cao lớn\n- kiêu căng, kiêu kỳ, kiêu ngạo\n- cao thượng, cao quý\n[02= a lofty soul] tâm hồn cao thượng
log [01/lɔg/]	[01* dtừ]\n- khúc gỗ mới đốn, khúc gỗ mới xẻ\n[02= in the log] còn chưa xẻ\n- (hàng hải) máy đo tốc độ (tàu)\n- (như) [03log-book]\n- người đần, người ngu, người ngớ ngẩn\n[04! to fall like a log]\n- ngã vật xuống, ngã như trời giáng\n[04! to keep the log rolling]\n- (Mỹ) làm với một nhịp độ nhanh\n[04! roll my log anf I'll roll yours]\n- hây giúp tôi, tôi sẽ giúp lại anh (trong những mưu toan chính trị, trong việc tâng bốc tác phẩm của nhau giữa các nhà phê bình văn học)\n[04! to split the log]\n- (Mỹ),(bóng) giải thích cái gì, cắt nghĩa cái gì\n[01* ngđtừ]\n- chặt (đốn) thành từng khúc\n- (hàng hải) ghi (số dặm đã đi) vào sổ nhật ký hàng hải; đi được (bao nhiêu dặm)\n- (hàng hải) ghi (tên, lỗi của thuỷ thủ) vào sổ phạt; phạt (ai)\n[04! to log off]\n- nhổ lên, đào gốc (cây) 
log off	- rời hệ thống
log on	- nhập vào hệ
logan [01/'lɔgən/]	như [03logan-stone]
loganberry [01/'lougənbri/]	[01* dtừ]\n- <thực> quả mâm xôi
logan-stone [01/'lɔgənstoun/]	[01* dtừ]\n- đá cheo leo
logaoedic [01/,lɔgə'i:dik/]	[01* dtừ]\n- adj\n- câu thơ có nhiều bộ thơ khác nhau
logarithm [01/'lɔgəriθəm/]	[01* dtừ]\n- (toán) loga
logarithmic [01/,lɔgə'riθmik/]	[01* ttừ]\n- (thuộc) loga
logarithmic function [01/lɔgəriđmik 'fʌηk∫ən/]	[01* dtừ]\n- hàm lôga
logarithmically [01/,lɔgə'riθmikəli/]	[01* phtừ]\n- theo lôga, bằng lôga
logarthm	- lôga l. to the base... lôga cơ số..., l. to the base e. lôga tự\n- nhiên, lôga cơ số e, l. to the base ten lôga cơ số qo; to take a l. lấy lôga\n- common l. lôga thập phân\n- complex l. lôga phức\n- hyperbolic l. lôga tự nhiên\n- inverse l. lôga ngược\n- natural l. lôga tự nhiên\n- Naperian l. lôga tự nhiên, lôga Nêpe\n- seven-place l. lôga với bảy chữ số thập phân
