burgomaster [01/'bə:gəmɑ:stə/]	[01* dtừ]\n- thị trường (ở Đức và Hà lan) 
burgonet [01/'bə:gənet/]	[01* dtừ]\n- (sử học) mũ sắt
burgoo [01/bə:'gu:/]	[01* dtừ]\n- (hàng hải),(lóng) cháo đặc
burgundy [01/'bə:gəndi/]	[01* dtừ]\n- rượu vang đỏ buôcgônhơ
burial [01/'beriəl/]	[01* dtừ]\n- việc chôn cất, việc mai táng
burial service [01/'beriəl,sə:vis/]	[01* dtừ]\n- lễ an táng
burial-ground [01/'beriəl'graund/]	như [03cemetery]
burial-mound [01/'beriəl maund/]	[01* dtừ]\n- nấm mồ
burial-service [01/'beriə,sə:vis/]	[01* dtừ]\n- lễ mai táng
buried	- (kỹ) chôn, ngầm (dưới đất) 
buried cable	- (kỹ) cáp chôn, cáp ngầm (dưới đất) 
buried layer	- (kỹ) lớp ngầm
burier	- xem [03bury] 
burin [01/'bjuərin/]	[01* dtừ]\n- dao khắc, dao trổ
burk [01/bə:k/]	[01* dtừ]\n- cũng [02berk, birk]\n- người ngu ngốc
burka [01/'bə:kə/]	[01* dtừ]\n- như [03burkha]\n- áo Buốc-ca (áo của phụ nữ Hồi giáo che cả người và mặt) 
burke [01/bə:k/]	[01* ngđtừ]\n- bịt đi, ỉm đi, che dấu đi (một việc xấu...)\n- thu hồi (một cuốn sách) trước khi phát hành
burl [01/bə:l/]	[01* dtừ]\n- (nghành dệt) chỗ thắt nút (ở sợi chỉ, sợi len)\n[01* ngđtừ]\n- (nghành dệt) gỡ nút (ở sợi chỉ, sợi len) 
burlap [01/'bə:læp/]	[01* dtừ]\n- vải bao bì
burler	- xem [03burl] 
burlesque [01/bə:'lesk/]	[01* dtừ]\n- trò khôi hài, trò hài hước\n- sự chế giễu; sự nhại chơi\n- bài thơ nhại\n- (Mỹ) cuộc biểu diễn có nhiều tiết mục vui nhộn\n[01* ttừ]\n- khôi hài, hài hước\n[01* ngđtừ]\n- chế giễu; nhại chơi
burlesquely	- xem [03burlesque] 
burlesquer	như [03burlesquely]
burlily	- xem [03burly] 
burliness [01/'bə:linis/]	[01* dtừ]\n- tầm vóc vạm vỡ
burly [01/'bə:li/]	[01* ttừ]\n- lực lưỡng, vạm vỡ
burman [01/'bə:mən/]	[01* ttừ]\n- (thuộc) Miến điện\n[01* dtừ]\n- người Miến điện\n- tiếng Miến điện
burmese [01/bə:'mi:z/]	như [03burman]
burn	[01* dtừ]\n- (Ê-cốt)(thơ ca) dòng suối\n[01* dtừ]\n- vết cháy, vết bỏng\n[01* (bất qui tắc) ngđtừ] [02burnt, burned]\n- đốt, đốt cháy, thiêu, thắp, nung; làm bỏng\n[02= to burn coal in a stone] đốt than trong lò\n[02= to burn a candle] thắp cây nến\n[02= to burn clay for pottery] nung đất sét làm đồ gốm\n[02= to burn one's fingers] làm bỏng ngón tay\n- (bóng) chịu hậu quả của sự khinh suất; chuốc lấy vạ vào thân vì dính vào công việc người\n[02= to be burnt to death] bị thiêu chết\n- đóng dấu (tội nhân) bằng sắt nung\n- làm rám, làm sạm (da)\n[02= faces burns by the sun] những bộ mặt rám nắng\n- làm cháy, làm khê (khi nấu ăn)\n- ăn mòn (xit)\n- sử dụng năng lượng nguyên tử (của urani...)\n[01* nđtừ]\n- cháy, bỏng\n[02= dry wood burns easily] củi khô dễ cháy\n[02= the mouth burns with chilli] mồm bỏng ớt\n- (bóng) rừng rực, bừng bừng\n[02= to burn with rage] bừng bừng tức giận\n[02= to burn with impatience] nóng lòng sốt ruột\n- gần tìm thấy, gần tìm ra (trong một số trò chơi của trẻ con)\n- dính chảo, cháy, khê (thức ăn)\n[04! to burn away]\n- đốt sạch, thiêu huỷ, thiêu trụi\n- héo dần, mòn dần\n[04! to burn down]\n- thiêu huỷ, thiêu trụi\n- tắt dần, lụi dần (lửa)\n[02= the fire is burning down] ngọn lửa lụi dần\n[04! to burn into]\n- ăn mòn (xit)\n- khắc sâu vào (trí nhớ...)\n[04! to burn low]\n- lụi dần (lửa)\n[04! to burn out]\n- đốt hết, đốt sạch\n- cháy hết\n[02= the candle burns out] ngọn nến cháy hết\n[02= to be burned out of one's house] nhà bị cháy trụi không có chỗ nương thân\n- đốt (nhà) để cho ai phải ra\n[02= to burn somebopdy out of his house] đốt (nhà) để cho ai phải ra\n[04! to burn up]\n- đốt sạch, cháy trụi\n- bốc cháy thành ngọn (lửa), cháy bùng lên\n- (Mỹ),(lóng) làm phát cáu, làm nổi giận; phát cáu, nổi giận\n- (Mỹ),(lóng) xỉ vả, mắng nhiếc, thậm tệ\n[04! to burn up the road]\n- xem [03road]\n[04! to burn one's boats]\n- qua sông đốt thuyền; làm việc không tính đường thoái\n[04! to burn one's bridges]\n- qua sông phá cầu; cắt hết mọi đường thoái\n[04! to burn the candles at both ends]\n- làm việc hết sức; không biết giữ sức\n[04! to burn daylight]\n- thắp đèn ban ngày, thắp đèn sớm quá (khi trời hãy còn sáng)\n[04! to burn the midnight oil]\n- xem [03oil]\n[04! to burn the water]\n- đi xiên cá bằng đuốc\n[04! to burn the wind (earth))]\n- (Mỹ) chạy nhanh vùn vụt, chạy hết tốc độ\n[04! money burns a hole in one's pocket]\n- tiền chẳng bao giờ giữ được lâu trong túi
burner [01/'bə:nə/]	[01* dtừ]\n- người đốt, người nung ((thường) trong từ ghép)\n[02= a brick burner] người nung gạch\n- đèn\n[02= an oil burner] đèn dầu\n[02= blowpipe burner] đèn xì\n- mỏ đèn
burn-in	- (kỹ) đốt thí nghiệm, kiểm nghiệm vbằng nhiệt độ cao
burn-in period	- (kỹ) thời gian chạy thử
burning [01/'bə:niη/]	[01* dtừ]\n- sự đốt, sự thiêu, sự khê, sự khét (cơm)\n[02= a smell of burning] mùi cháy khét\n- sự nung (gạch) ; mẻ gạch (nung trong lò)\n- (lóng) sự sôi nổi, sự hăng hái, nhiệt tình\n[01* ttừ]\n- đang cháy\n- thiết tha, mãnh liệt, ghê gớm, kịch liệt; cháy cổ (khát) ; rát mặt (xấu hổ)\n[02= burning desire] lòng ham muốn mãnh liệt\n[02= burning thirst] sự khát cháy cổ\n[02= burning shame] sự xấu hổ rát mặt\n- nóng bỏng, nóng hổi, cấp bách\n[02= a burning question] vấn đề nóng hổi; vấn đề được bàn bạc sôi nổi
burningly	- xem [03burning] 
burnish [01/'bə:ni∫/]	[01* dtừ]\n- sự đánh bóng (đồ vàng bạc)\n- nước bóng
burnisher [01/'bə:ni∫ə/]	[01* dtừ]\n- thợ đánh bóng\n- đồ dùng để đánh bóng
burnous [01/bə:'nu:s/]	[01* dtừ]\n- áo choàng trùm kín đầu (của người A-rập) 
burnouse [01/bə:'nu:z/]	như [03burnous]
burnout	- (kỹ) cháy; chập mạch
burnout power	- (kỹ) công suất thiêu cháy
burnsides [01/'bə:n saidz/]	[01* dtừ]\n- ria mép
burnt [01/bə:nt/]	[01* thời quá khứ & động tính từ quá khứ của] [03burn]\n[01* ttừ]\n- bị cháy, bị đốt, khê\n- rám nắng, sạm nắng (da...)\n- nung chín (đất sét...)\n[04! burnt child dreads the fire]\n- xem [03fire] 
burnt lime [01/bə:nt laim/]	như [03quicklime]
burn-up [01/,bə:n'ʌp/]	[01* dtừ]\n- (tiếng lóng) tốc độ nhanh
burp [01/bə:p/]	[01* dtừ]\n- (lóng) sự ợ\n[01* nđtừ]\n- (lóng) ợ\n- (như) [03bur] 
