hobnob	222-19675-B
hobo	222-19814-B
hoboy	222-20028-B
hobson jobson	222-20066-B
hobson s choice	222-20185-B
hobson s choise	222-20311-B
hoc	7-2111-S,365-11837-S
hock	222-20435-B
hockey	222-20659-B,176-19900-S,230-12261-S
hockey stick	222-20747-B
hockshop	222-20827-B
hocus	222-20896-B
hocus pocus	222-21045-B
hod	222-21558-B
hod carrier	222-21677-B
hodden	222-21820-B
hodge	222-21881-B
hodge podge	222-21953-B
hodgkin s disease	222-22194-B
hodiernal	222-22290-B
hodman	222-22361-B
hodograph	222-22544-B
hodometer	222-22622-B
hodoscope	222-22669-B
hoe	222-22758-B,209-28236-S,225-13916-S
hoecake	222-22893-B
hoedown	222-22967-B
hog	222-23097-B,209-15710-S,392-16453-S,392-21661-S,392-23172-S,399-24740-S,407-3317-S,514-39481-S
hog cholera	222-23674-B
hog mane	222-23756-B
hog s back	222-24932-B
hog s pudding	222-24771-B
hog wash	222-25206-B
hog weed	222-25293-B
hog wild	222-23821-B
hogan	222-23876-B
hogback	222-23981-B
hogcote	222-24071-B
hogg	222-24111-B
hoggery	222-24200-B
hogget	222-24325-B
hoggin	222-24371-B
hogging injection logic	111-136-S
hogging logic	111-259-S
hoggish	222-24424-B
hoggishness	222-24534-B
hogmanay	222-24647-B
hogpen	222-24719-B
hogsback	222-24837-B
hogshead	222-24977-B
hogtie	222-25101-B
hogwild	222-25360-B
hohenstaufen	222-25426-B
hohenzollern	222-25662-B
hoi polloi	222-25964-B
hoick	222-26012-B
hoicks	222-26046-B
hoiden	222-26135-B
hoidenish	222-26200-B
hoik	222-26249-B
hoise	222-26421-B
hoist	222-26647-B,12-133-S,442-0-S
hoity toity	222-27120-B
hokey pokey	223-0-B
hokum	223-110-B
holandric	223-287-B
holarctic	223-378-B
hold	223-487-B,100-8020-S,172-20346-S,178-13750-S,179-19662-S,404-9105-S,471-95-S
holdall	223-6223-B
holdback	223-6372-B
holden	223-6525-B
holder	223-6599-B,4-25761-S,55-25851-S,67-20497-S,79-6147-S,79-6369-S,80-24118-S,100-7006-S,194-1549-S,196-17422-S,258-30135-S,263-9751-S,268-23739-S,310-29295-S,311-14110-S,345-22745-S,350-27906-S,361-19188-S,362-6052-S,381-1973-S,397-19538-S,424-2233-S,440-5147-S,468-35872-S,470-13238-S
holdfast	223-6866-B
holding	223-7055-B,392-23216-S
holding company	223-7352-B
holding pattern	223-7435-B
holdout	223-7557-B
holdover	223-7739-B
holdup	223-7868-B
holdup man	223-8044-B
