reindeer [01/'reindiə/]	[01* dtừ]\n- (động vật) tuần lộc
reindeermoss [01/'reindiə,mɔs/]	[01* dtừ]\n- (thực vật) rêu tuần lộc (Bắc cực) 
reinduce [01/ri:in'dju:s/]	[01* ngđtừ]\n- lại xui khiến/dụ dỗ\n- (lý) học cảm ứng lại\n- (logic) qui nạp lại; suy luận lại
reinfect [01/,ri:in'flekt/]	- truyền nhiễm lại; nhiễm lại; tái nhiễm
reinforce [01/,ri:in'fɔ:s/]	[01* ngđtừ]\n- tăng cường, củng cố; tăng viện; tăng thêm sức mạnh\n[02= to reinforce a fortress] củng cố pháo đài\n[02= to reinforce troops at the from] tăng viện cho mặt trận\n[02= to reinforce one's argument] làm cho lý lẽ mạnh thêm lên\n[01* dtừ]\n- cái làm cho vững chắc thêm; đại củng cố\n- (qsự) phần gia tăng nòng (súng đại bác) 
reinforced concrete [01/,ri:in'fɔ:st'kɔnkri:t/]	[01* dtừ]\n- bê tông cốt sắt
reinforcement [01/,ri:in'fɔ:smənt/]	[01* dtừ]\n- sự tăng cường, sự củng cố; sự tăng viện\n- (số nhiều)(qsự) quân tiếp viện
reingratiate [01/,ri:in'grei∫ieit/]	[01* ngđtừ]\n- lấy lại cảm tình, lấy lại sự ưa chuộng\n[02= to reingratiate oneself with someone] làm cho ai có cảm tình với mình
reinhabit [01/,ri:in'hæbit/]	[01* ngđtừ]\n- lại ở, lại cư trú
reinject [01/,ri:in'dʒekt/]	[01* ngđtừ]\n- lại tiêm (thuốc)\n- lại rót vào
reinless [01/'reinlis/]	[01* ttừ]\n- không có dây cương\n- (bóng) không bị kiềm chế, không có sự kiểm soát, không bị bó buộc
reins [01/reinz/]	[01* dtừ s/n]\n- (cổ) quả thận, quả cật\n- chỗ thắt lưng
reinsert [01/,ri:in'sə:t/]	[01* ngđtừ]\n- lại đưa, lại gài, lại lồng vào
reinsman [01/'reinzmən/]	[01* dtừ]\n- (Mỹ, NZ) người cưỡi ngựa đua
reinspection [01/,ri:ins'pek∫n/]	[01* dtừ]\n- sự kiểm tra, sự kiểm duyệt lại
reinstall [01/,ri:in'stɔ:l/]	[01* ngđtừ]\n- phục chức; cho làm lại chức vụ
reinstate [01/,ri:in'steit/]	[01* ngđtừ]\n- phục hồi (chức vụ, quyền lợi) ; lấy lại (sức khoẻ)\n- sắp đặt lại (cho có thứ tự, quy củ) 
reinstatement [01/'ri:in'steitmənt/]	[01* dtừ]\n- sự phục hồi (chức vụ, quyền lợi) ; sự lấy lại (sức khoẻ)\n- sự sắp đặt lại (cho có thứ tự, quy củ) 
reinsurance [01/,ri:in'∫uərəns/]	[01* dtừ]\n- sự bảo hiểm lại
reinsure [01/,ri:in'∫uə/]	[01* ngđtừ]\n- bảo hiểm lại
reintegrate [01/,ri:'intigreit/]	[01* ngđtừ]\n- khôi phục; phục hồi; phục chức
reinter [01/,ri:'intə/]	như [03rebury]
reinthrone [01/,ri:in'θroun/]	[01* ngđtừ]\n- đưa lại lên ngôi vua
reintroduce [01/,ri:ntrə'djus/]	[01* ngđtừ]\n- lại giới thiệu, lại đưa vào
reinvasion [01/,ri:in'veiʒn/]	[01* dtừ]\n- sự xâm nhập lại
reinvestigate [01/,ri:in'vestigeit/]	[01* ngđtừ]\n- lại điều tra, lại nghiên cứu
reinvestment [01/,ri:in'vestmənt/]	[01* dtừ]\n- sự đầu tư lại
reissue [01/,ri:'i∫u:/]	[01* dtừ]\n- sự tái bản, sự phát hành lại\n[01* ngđtừ]\n- tái bản, phát hành lại
reiter [01/'raitə/]	[01* dtừ]\n- (sử học) kỵ binh Đức (vào (thế kỷ) XVI) 
reiterate [01/ri:'itəreit/]	[01* ngđtừ]\n- tóm lại, nói lại, lập lại
reiteration [01/ri:,itə'rei∫n/]	[01* dtừ]\n- sự làm lại, sự nói lại, sự lập lại\n- cái lập lại
reiterative [01/ri:'itərətiv/]	[01* ttừ]\n- lập lại
reiver [01/'ri:və/]	như [03marauder]
reject [01/'ri:dʒekt/]	[01* dtừ]\n- vật bị loại, vật bỏ đi, vật không được chọn\n- người bị loại (trong kỳ tuyển quân...), người bị đánh hỏng thi\n- (thương nghiệp) phế phẩm\n[01* ngđtừ]\n- không nhanh, không chấp thuận, bác bỏ\n[02= to reject someone's demand] bác bỏ yêu câu của ai\n- loại ra, bỏ ra; đánh hỏng (thí sinh)\n- từ chối không tiếp (ai)\n- mửa, nôn ra
rejectable [01/ri'dʒektəbl/]	[01* ttừ]\n- có thể bác bỏ\n- có thể loại b
