rustle [01/'rʌsl/]	[01* dtừ]\n- tiếng kêu xào xạc, tiếng sột soạt\n[01* nđtừ]\n- kêu xào xạc, kêu sột soạt\n[02= the foliage rustled in the light breeze] lá cây xào xạc trong làn gió nhẹ\n- (Mỹ),(tục) vội vã, hối hả\n[01* ngđtừ]\n- làm xào xạc\n- (Mỹ),(tục) ăn trộm (ngựa bò...) 
rustler [01/'rʌslə/]	[01* dtừ]\n- (Mỹ),(tục) người ăn trộm ngựa; người ăn trộm bò
rustless [01/'rʌstlis/]	[01* ttừ]\n- không bị gỉ
rustling [01/'rʌsliη/]	[01* dtừ]\n- sự xào xạc, sự sột soạt\n[02= the rustling of dry leaves] sự xào xạc của lá khô
rustproof [01/'rʌstpru:f/]	như [03rust-free]
rust-proof [01/'rʌst'pru:f/]	[01* ttừ]\n- không gỉ, đã được xử lý để chống gỉ (về kim loại)\n[01* ngđtừ]\n- xử lý (kim loại) để chống gỉ
rust-proofing [01/'rʌst,pru:fiη/]	[01* dtừ]\n- sự chống mòn
rust-resistant [01/'rʌstri'zistənt/]	[01* ttừ]\n- không gỉ; không bị ăn mòn
rusty [01/'rʌsti/]	[01* ttừ]\n- gỉ, han\n- bạc thành màu gỉ sắt (quần áo đen)\n- lỗi thời, lạc hậu, cổ; cùn\n[02= his English is a little rusty] tiếng Anh của hắn cùn rồi\n- khàn, khàn (giọng)\n- giận dữ, cau có, bực tức\n[02= don't get rusty] đừng giận\n[02= to turn rusty] nổi giận, phát cáu\n[02= to cut up rusty] (lóng) nổi giận, phát cáu\n[01* ttừ]\n- ôi (mỡ...) 
rut [01/rʌt/]	[01* dtừ]\n- sự động đực\n[01* nđtừ]\n- động đực\n[01* dtừ]\n- vết lún (của bánh xe)\n- vết đường mòn (đen & bóng)\n[02= to move in a rut] đi theo con đường mòn\n- (kỹ) máng, rãnh\n[01* ngđtừ]\n- làm cho có vết lún; để lại những vết lún trên (đường) 
rutabaga [01/,ru:tə'beigə/]	- <thực> củ cải Thuỵ điển
rutaceae [01/ru:'teisi:/]	[01* dtừ]\n- (thực vật) họ cam
rutaceous [01/ru:'tei∫əs/]	[01* ttừ]\n- thuộc họ cam
ruth [01/ru:θ/]	[01* dtừ]\n- (cổ) lòng thương, lòng trắc ẩn
ruthenium [01/'ru:θi:niəm/]	[01* dtừ]\n- (hoá) Ruteni
ruthful [01/'ru:θfəl/]	[01* ttừ]\n- (cổ) thương xót; động lòng trắc ẩn\n- gây niềm thương xót
ruthless [01/'ru:θlis/]	[01* ttừ]\n- tàn nhẫn, nhẫn tâm
ruthlessly [01/'ru:θlisli/]	[01* phtừ]\n- tàn nhẫn, nhẫn tâm; độc ác, không thương xót\n- liên tục, không ngừng
ruthlessness [01/'ru:θlisnis/]	[01* dtừ]\n- tính tàn nhẫn, tính nhẫn tâm
rutilant [01/'ru:tilənt/]	[01* ttừ]\n- đỏ chói; sáng chói
ruttish [01/'rʌti∫/]	[01* ttừ]\n- dâm đãng; hiếu sắc
rutty [01/'rʌti/]	[01* ttừ]\n- có nhiều vết lún (của bánh xe) 
rux [01/rʌks/]	[01* dtừ]\n-(ngôn ngữ nhà trường),(lóng) cơn giận dữ
rv [01/,ɑ:'vi/]	- vt của [03Revised Version (of the Bible)]\n- bản kinh thánh đã được hiệu ứng
rybbly [01/'rʌbli/]	[01* ttừ]\n- có nhiều gạch vụn bỏ đi, có nhiều đá vụn bỏ đi\n- lát sỏi\n[02= a rybbly path] lối lát sỏi\n- (địa) có nhiều sa khoáng mảnh vụn
rye [01/rai/]	[01* dtừ]\n- (thực vật) lúa mạch đen\n- rượu uytky mạch đen ((cũng) [03rye whisky] ) 
rye-bread [01/'raibred/]	[01* dtừ]\n- bánh mì mạch đen
ryegrass	[01* dtừ]\n- rơm, rạ, bãi cỏ hoang
rye-peck [01/'raipek/]	[01* dtừ]\n- cọc sắt (buộc thuyền...) 
ryot [01/'raiət/]	[01* dtừ]\n- nông dân (Ân-độ) .
s [01/es/]	[01* dtừ] s/n [02Ss, S's]\n- S\n- đường cong hình S; vật hình S
's [01/s, z/]	- (vt) của [02is, has, us, does]\n- (tục)(như) [03is]\n[02= it 's raining] trời mưa\n[02= what 's the matter?] cái gì đấy?\n[02= she 's gone] cô ta đã đi khỏi\n- (tục)(như) [03has]\n[02= he 's done it] anh ấy đã làm việc đó rồi\n- (tục)(như) [03us]\n- let 's go\n- nào chúng ta đi thôi\n- (tục)(như) [03does]\n[02= what 's he say about it?] ý kiến của anh ấy về việc đó như thế nào?
s o s [01/,es, ou'es/]	như [03SOS]
sa [01/,es 'ei/]	[01* (vt)(SA)]\n- (tôn giáo) Đội quân Cứu tế ([03Salvation Army] )\n- (tục) gợi tình ([03sex appeal] )\n- Nam phi ([03South Africa] ) 
saa	- Một bộ các tiêu chuẩn dùng cho việc thông tin giữa các loại máy tính IBM khác nhau, từ máy tính cá nhân cho đến máy tính lớn
sabadilla [01/sæbə'dilə/]	[01* dtừ]\n- (thực vật) cây xe-va-đi (hạt rất độc) 
sabaean [01/sə'biən/]	như [03sabean]
sabaism [01/'seibizəm/]	[01* dtừ]\n- tục thờ sao
sabaoth [01/sæ'beiɔθ/]	[01* dtừ] s/n\n- quân đội\n[02= Lord of sabaoth] thượng đế
sabbat [01/'sæbət/]	[01* dtừ]\n- cuộc họp ban đêm của các phù thủy để tỏ lòng trung thành với quỷ
sabbatarian [01/,sæbə'teəriən/]	[01* dtừ]\n- người Do thái nghỉ ngày Xaba\n- người theo đạo Cơ-đốc nghỉ ngày xaba (như người Do thái)\n[01* ttừ]\n- theo tục nghỉ ngày Xaba
sabbath [01/'sæbəθ/]	[01* dtừ]\n- ngày xaba (ngày nghỉ cuối tuần của Do thái)((cũng) [03sabbath day] )\n- ngày chủ nhật (của đạo Tin lành; hoặc để nói đùa)((cũng) [03sabbath day] )\n- thời kỳ nghỉ\n- cuộc hội họp của các phù thuỷ ma quỷ ((cũng) [03witches sabbath] )\n[04! sabbath-day's journey]\n- quãng đường (độ hơn một kilômét) người Do thái có thể đi trong ngày Xaba)\n- cuộc đi dễ dàng thoải mái
sabbath day [01/'sæbəθ'dei/]	[01* dtừ]\n- ngày xaba; (ngày nghỉ ngơi và thờ phụng Chúa; ngày thứ bảy theo đạo Do thái, ngày chủ nhật theo đạo Cơ đốc giáo) 
sabbath-breaker [01/'sæbəθ,breikə/]	[01* dtừ]\n- người làm việc vào ngày nghỉ lễ
sabbatic [01/sə'bætik/]	[01* ttừ]\n- (thuộc) ngày Xaba\n[04! sabbatical year]\n- năm Xaba (năm nghỉ cày cấy, tha nợ và trả nợ cho người nô lệ ở Do thái, cứ 7 năm một lần)\n- năm nghỉ phép (của một giáo sư để đi nghiên cứu, tham quan...) 
sabbatical [01/sə'bætikl/]	[01* ttừ]\n- (thuộc) ngày Xaba; giống ngày xaba\n- nghỉ phép (phép cấp cho giảng viên đại học để du khảo hoặc nghiên cứu)\n[01* dtừ]\n- thời kỳ được nghỉ phép
sabbatise [01/'sæbətaiz/]	[01* đtừ]\n- theo tục nghỉ ngày xaba
sabbatize [01/'sæbətaiz/]	như [03sabbatise]
sabean [01/sə'biən/]	[01* ttừ]\n- (thuộc) I-ê-mem-cô\n[01* dtừ]\n- người nước I-ê-mem-cô
saber [01/'seibə/]	[01* dtừ]\n- kiếm lưỡi cong (của kỵ binh)\n[02= a sabre cut] nhát kiếm; sẹo vết kiếm\n- (số nhiều)(sử học) kỵ binh; đơn vị kỵ binh\n- cái gạn thuỷ tinh (nóng chảy)\n[04! the sabre]\n- lực lượng quân sự, sự thống trị quân sự\n[04! sabre rattling]\n- sự đe doạ binh đao\n[01* ngđtừ]\n- đâm bằng kiếm, chém bằng kiếm
sabicu [01/'sæbiku:/]	[01* dtừ]\n- (thực vật) cây Xabica (một loại cây ở Cu-ba) 
sabin [01/'sæbin/]	[01* dtừ]\n- xabin (đơn vị hấp thu âm) 
