rotary	394-21740-B,412-223-S
rotary club	394-21781-B
rotary cultivater	394-21936-B
rotary plough	394-22022-B
rotary wing aircraft	394-22100-B
rotate	394-22190-B
rotation	394-22376-B,107-15158-S
rotational	394-22621-B
rotative	394-22772-B
rotator	394-22866-B
rotatoria	394-22942-B
rotatorium	394-23044-B
rotatory	394-23119-B,126-1324-S
rote	394-23459-B
rote learning	394-23561-B
rotegut	394-23638-B
rotenone	394-23717-B
rotiform	394-23917-B
rotisserie	394-23972-B
rotogravure	394-24076-B
rotor	394-24208-B
rotorcraft	394-24336-B
rotortiller	394-24388-B
rotten	394-24452-B
rottenly	394-24876-B
rottenness	394-24956-B
rotter	394-25150-B
rottweiler	394-25285-B
rotula	394-25362-B
rotular	394-25420-B
rotule	394-25487-B
rotund	394-25560-B
rotunda	394-25717-B
rotundate	394-25840-B
rotundifolious	394-25896-B
rotundity	394-25981-B
rotundly	394-26123-B
roturier	394-26305-B
rouble	394-26391-B
roucou	394-26426-B
roue	394-26553-B
rouge	394-26655-B,107-11813-S
rouge et noir	394-26925-B
rough	394-27009-B
rough and ready	394-29821-B,395-452-B
rough and tumble	395-572-B
rough book	394-30100-B
rough cast	395-862-B
rough coated	395-1110-B
rough diamond	395-0-B
rough dry	395-1226-B
rough footed	395-1537-B
rough grained	395-1611-B
rough hew	395-1682-B
rough hewn	395-1808-B
rough house	395-111-B,395-1934-B
rough legged	395-2495-B
rough luck	395-214-B
rough neck	395-3148-B
rough plane	395-3772-B
rough pointed	395-3833-B
rough rider	395-3911-B
rough rolled	395-4057-B
rough spoken	395-4309-B
rough turn	395-4459-B
rough wrought	395-4536-B
roughage	395-281-B
roughed out	395-1310-B
roughen	395-1378-B
roughing	395-2074-B
roughing filter	395-2128-B
roughing machine	395-2203-B
roughing tool	395-2277-B
roughish	395-2353-B
roughly	395-2554-B
roughneck	395-2997-B
roughness	395-3235-B
roughometer	395-3700-B
roughshod	395-4142-B
roulade	395-4604-B
rouleau	395-4672-B
rouleaux	395-4775-B
roulette	395-4816-B,397-3429-S
roumanian	395-4992-B
round	395-5039-B,14-16880-S,200-27487-S,203-20369-S,213-14519-S,288-8108-S,466-16136-S,481-19303-S,519-11338-S
round angle	395-10122-B
round brackets	395-10184-B
round celled	395-12111-B
round dance	395-10256-B
round eared	395-12172-B
round edged	395-12453-B
round eyed	395-12845-B
round house	395-13239-B
round meshed	395-13928-B
round off	395-10054-B
round robin	395-10624-B
round shouldered	395-14071-B
round table	395-10788-B,395-14276-B
round the clock	395-14389-B
round trip	395-11083-B,395-14455-B
round trip ticket	395-14559-B
round turn	395-11252-B
round up	395-14621-B
round wood	395-11413-B
roundabout	395-11467-B
roundabouts	457-30215-S
rounded	395-12283-B,518-2456-S
roundel	395-12514-B
roundelay	395-12646-B
rounder	14-17055-S
rounders	395-12775-B
roundhead	395-12913-B
roundhouse	395-13016-B
rounding	395-13436-B
roundish	395-13548-B
