smaltite [01/'smɔ:l,tɑit/]	[01* dtừ]\n- (khoáng) Smantin, Smantit; quặng coban asenic
smalto [01/'smɔ:lt/]	[01* dtừ & số nhiều]\n- thủy tinh coban; men xanh coban
smaragd [01/smærægd/]	[01* dtừ]\n- ngọc bích
smaragdite [01/smə'rægdɑit/]	[01* dtừ]\n- (khoáng) Smaragdit
smarm [01/smɑ:m/]	[01* ngđtừ]\n- (tục) luồn lọt\n[02= he smarms his way into the upper reaches of a society] hắn luồn lọt lên các tầng lớp cao của xã hội\n- trát thạch cao\n[01* nđtừ]\n- nịnh nọt luồn cúi
smarmy [01/'smɑ:mi/]	[01* ttừ]\n- (tục) xun xoe, nịnh nọt
smart [01/smɑ:t/]	[01* dtừ]\n- sự đau đớn, sự nhức nhối; nỗi đau khổ\n[01* nđtừ]\n- đau đớn, nhức nhối, đau khổ\n[02= finger smart] ngón tay đau nhức\n[02= smoke makes eyes smart] khói làm nhức mắt\n[04! to smart for]\n- bị trừng phạt vì, chịu những hậu quả của\n[01* ttừ]\n- mạnh, ác liệt; mau lẹ, nhanh\n[02= to have a smart skirmish] có một cuộc chạm trán ác liệt\n[02= to go off at a smart pace] bước đi nhanh\n[02= to have a smart box on the ear] bị một cái bạt tai nên thân, bị một cái tát điếng người\n- khéo léo, khôn khéo\n[02= a smart talker] người nói chuyện khéo\n[02= a smart invention] phát minh tài tình\n- nhanh trí; tinh ranh, láu\n[02= a smart officer] sĩ quan nhanh trí\n[02= smart dealing] lối chơi láu cá\n- đẹp sang, thanh nhã, lịch sự\n[02= to look quite smart] trông thật là sang trọng\n[02= smart clothes] quần áo lịch sự\n- diện, bảnh bao, duyên dáng\n[02= smart people] dân ăn diện\n[02= the smart set] giới ăn chơi
smart alec [01/'smɑ:t'ælik/]	như [03smart aleck]
smart aleck [01/'smɑ:t'ælik/]	[01* dtừ]\n- (Mỹ),(tục) người làm ra vẻ tinh khôn\n- người ngông nghênh
smart-alecky [01/'smɑ:t'æliki/]	[01* ttừ]\n- (Mỹ),(tục) làm ra vẻ tinh khôn\n- ngông nghênh
smart-ass [01/'smɑ:t,ɑ:s/]	[01* dtừ & ttừ]\n- bom hướng dẫn bằng laze
smarten [01/'smɑ:tn/]	[01* ngđtừ]\n- làm cho thêm duyên dáng; làm cho bảnh choẹ\n[02= to smarten someone up] làm cho ai bảnh choẹ, làm cho ai thêm duyên dáng\n[02= to smarten oneself up] diện, làm dáng, làm đỏm\n- làm cho mau lẹ, làm cho nhanh nhẹn lên, làm cho hoạt động lên\n[01* nđtừ]\n- tự làm cho bảnh; tự làm cho duyên dáng; tự làm cho bảnh thêm; tự làm cho duyên dáng thêm
smartish [01/'smɑ:ti∫/]	[01* ttừ]\n- (tục) nhanh chóng
smartly [01/'smɑ:tli/]	[01* phtừ]\n- mạnh, ác liệt (về một cú đánh)\n- mạnh, gây gắt (lời phê bình)\n- mau lẹ, nhanh\n- (Mỹ) khéo léo, tài tình, tỏ ra có trí thông minh\n- nhanh trí; tinh ranh, láu\n- thanh nhã, lịch sự, bảnh bao, gọn gàng\n- diện, đúng mốt, lịch sự, sang trọng
smart-money [01/'smɑ:t'mʌni/]	[01* dtừ]\n- tiền bồi thường
smartness [01/'smɑ:tnis/]	[01* dtừ]\n- sự mạnh, sự ác liệt; sự mau lẹ\n- sự khéo léo, sự tài tình\n- sự tinh ranh, sự láu\n- vẻ sang trọng, vẻ thanh nhã, vẻ lịch sự\n- vẻ bảnh bao, vẻ duyên dáng
smarty-pants [01/'smɑ:ti,pænts/]	[01* dtừ & số nhiều]\n- xem [03smart alec] 
smash [01/smæ∫/]	[01* dtừ]\n- sự vỡ ra từng mảnh; sự đập vỡ ra từng mảnh; tiếng vỡ xoảng\n- sự va mạnh, sự đâm mạnh vào\n[02= there's a smash on the road] có tai nạn xe đâm nhau ở đường cái\n- (thể thao) cú đập mạnh (quần vợt)\n- cú đấm mạnh, cú đấm thôi sơn\n- sự phá sản, sự thua lỗ liên tiếp\n- rượu mạnh ướp đá\n- (thực vật) sự thành công lớn\n[01* ngđtừ]\n- đập tan ra từng mảnh\n- (thể thao) đập mạnh (bóng)\n- phá, phá tan; đập tan (kế hoạch), làm tan rã (quân địch)\n[02= to smash a record] phá một kỷ lục\n- làm phá sản\n[01* nđtừ]\n- vỡ tan ra từng mảnh\n- va mạnh vào, đâm mạnh vào\n[02= car smashes into a tree] xe ôtô đâm mạnh vào cây\n- thất bại, phá sản (kế hoạch)\n- (lóng) lưu hành bạc đồng giả\n[04! to smash in]\n- phá mà vào, đột nhập vào\n[02= to smash in a door] phá cửa mà vào\n[04! to smash up]\n- đập tan ra từng mảnh; vỡ tan ra từng mảnh\n[01* phtừ]\n- sầm một cái\n[02= the car ran smash into the tram] chiếc ô tô đâm đánh sầm một cái vào xe điện
smash-and-grab	[01* ttừ]\n- cướp phá
smash-and-grab raid [01/'smæ∫ənd'græb'reid/]	[01* dtừ]\n- sự cướp phá\n- cuộc cướp phá (một cửa hàng) 
smashed [01/'smæ∫t/]	[01* ttừ]\n- say rượu
