rue [01/ru:/]	[01* dtừ]\n- (thực vật) cây cửu lý hương\n- (cổ) sự ăn năn, sự hối hận\n[01* ngđtừ]\n- hối hận, ăn năn, hối tiếc
ruefescence [01/ru:'fesəns/]	[01* dtừ]\n- tình trạng ruefescent
ruefescent [01/ru:'fesənt/]	[01* ttừ]\n- đỏ hồng
rueful [01/'ru:fl/]	[01* ttừ]\n- buồn bã, buồn rầu, rầu rĩ, phiền muộn\n[02= a rueful look] vẻ mặt rầu rĩ\n- đáng thương, thảm thương, tội nghiệp
ruefully [01/'ru:fəli/]	[01* phtừ]\n- buồn bã, buồn rầu, rầu rự, phiền muộn\n- đáng thương, thảm não, tội nghiệp
ruefulness [01/'ru:flnis/]	[01* dtừ]\n- vẻ buồn bã, vẻ buồn rầu, vẻ rầu rĩ, vẻ phiền muộn\n- vẻ đáng thương, vẻ thảm thương, vẻ tội nghiệp
rue-raddy [01/'ru:rædi/]	[01* dtừ]\n- dây kéo quàng vai (dây quàng vào vai để kéo vật gì) 
ruff [01/'rʌf/]	[01* dtừ]\n- cổ áo xếp nếp (châu Âu, (thế kỷ) 16)\n- khoang cổ (ở loài chim, loài thú)\n- (động vật) bồ câu áo dài\n- (đánh bài) trường hợp cắt bằng bài chủ, sự cắt bằng bài chủ\n[01* đtừ]\n- (đánh bài) cắt bằng bài chủ
ruffed [01/rʌft/]	[01* ttừ]\n- có cổ khoang (chim, thú) 
ruffian [01/'rʌfiən/]	[01* dtừ]\n- đứa côn đồ, tên vô lại, tên lưu manh
ruffianish [01/'rʌfiəni∫/]	[01* ttừ]\n- hung ác; côn đồ; tàn bạo
ruffianism [01/'rʌfiənizəm/]	[01* dtừ]\n- tính côn đồ, tính vô lại, tính lưu manh
ruffle [01/'rʌfl/]	[01* dtừ]\n- diềm xếp nếp, diềm đăng ten tổ ong (cổ áo, tay áo)\n- lằn gợn, sóng gợn lăn tăn\n[02= ruffle on the surface of the water] sóng gợn lăn tăn trên mặt nước\n- khoang cổ (ở loài chim, loài thú)\n- sự mất bình tĩnh\n- hồi trông rền nhẹ\n- (hiếm) sự xáo động\n[02= a life without ruffle] một cuộc sống không xáo động, một cuộc sống êm đềm\n- (hiếm) cuộc cãi lộn\n[01* ngđtừ]\n- làm rối, làm xù lên\n[02= to ruffle someone's hair] là rối tóc ai\n[02= to ruffle up its feathers] xù lông lên\n- làm gợn sóng lăn tăn\n[02= to ruffle the surface of the water] làm cho mặt nước gợn sóng lăn tăn\n- làm xáo động, làm mất vẻ thanh bình\n- làm trái ý, làm mếch lòng, chọc tức; làm mất bình tĩnh\n[02= to ruffle someone's feelings] làm mếch lòng ai\n- kết diềm xếp nếp, kết diềm đăng ten tổ ong (vào cổ áo, tay áo)\n[01* nđtừ]\n- rối, xù (tóc, lông)\n- gợn sóng lăn tăn (mặt nước)\n- bực tức; mất bình tĩnh\n- nghênh ngang, vênh váo, ngạo mạn; hung hăng, gây gỗ\n[02= to ruffle it out] vênh váo, ngạo mạn
ruffler [01/'rʌflə/]	[01* dtừ]\n- người nghênh ngang, người vênh váo lên mặt ta đây, người ngạo mạn; người hung hăng, người hay gây gỗ
rufous [01/'ru:fəs/]	[01* ttừ]\n- đỏ hoe, hung hung đỏ
rug [01/rʌg/]	[01* dtừ]\n- thảm (trải bậc cửa, nền nhà...)\n- mền, chăn\n[02= as snug as a bug in a rug] ấm như nằm trong chăn
ruga [01/'ru:gə/]	[01* dtừ] s/n [02rugae]\n- nếp nhăn
rugae [01/'ru:dʒi/]	[01* dtừ] s/n\n- xem [03ruga] 
rugal [01/'ru:gəl/]	[01* ttừ]\n- thuộc nếp nhăn
rugate [01/'ru:git/]	[01* ttừ]\n- có nếp nhăn
rugby [01/'rʌgbi/]	[01* dtừ]\n- (thể thao) môn bóng bầu dục ((cũng) [03rugby fooball] ) 
rugby football [01/'rʌgbi'futbɔ:l/]	[01* dtừ]\n- <thể> môn bóng bầu dục
rugby league [01/'rʌgbi'li:g/]	[01* dtừ]\n- (Rugby League) dạng chơi bóng bầu dục có tính chất bán chuyên nghiệp, mỗi đội có 13 cầu thủ
rugby union [01/'rʌgbi'ju:niən/]	[01* dtừ]\n- (Rugby Union) dạng chơi bóng bầu dục nghiệp dư, mỗi đội có 15 cầu thủ
rugged [01/'rʌgid/]	[01* ttừ]\n- gồ ghề, lởm chởm, xù xì\n[02= rugged ground] đất gồ ghề\n[02= rugged country] miền đồi núi lởm chởm\n[02= rugged bark] vỏ cây xù xì\n- thô lỗ, thô kệch, không đều (nét mặt)\n[02= rugged features] nét mặt thô\n- nghiêm khắc, hay gắt, hay quàu quạu\n- vất vả, khó nhọc, gian khổ, gian truân; khổ hạnh\n[02= rugged life] đời sống gian truân\n- trúc trắc, chối tai\n[02= rugged verses] những câu thơ trúc trắc\n- khoẻ mạnh, vạm vỡ
ruggedly [01/'rʌgidli/]	[01* phtừ]\n- gồ ghề, lởm chởm, xù xì, lổn nhổn\n- vạm vỡ; khoẻ mạnh\n- có vẻ thô; không tế nhị, không dịu dàng, thô kệch (nét mặt)\n- nghiêm khắc, hay gắt, hay nổi cáu\n- vất vả, khó nhọc, gian khổ, gian truân; khổ hạnh\n- trúc trắc, chối tai
ruggedness [01/'rʌgidnis/]	[01* dtừ]\n- sự gồ ghề, sự lởm chởm, sự xù xì\n- sự thô kệch, sự thô\n- tính nghiêm khắc; tính hay gắt, tính quàu quạu\n- sự khó nhọc, sự gian khổ, sự gian truân (cuộc sống) ; tính khổ hạnh\n- sự trúc trắc, sự chối tai\n- vẻ khoẻ mạnh, dáng vạm vỡ
rugger [01/'rʌgə/]	như [03rugby]
rugose [01/'ru:gous/]	như [03rugous]
rugosity [01/ru:'gɔsiti/]	[01* dtừ]\n- tình trạng nhăn nheo
rugous [01/'ru:gəs/]	[01* ttừ]\n- nhăn nhéo\n[02= rugose forehead] trán nhăn nheo
rugulose [01/'rju:gjulous/]	[01* ttừ]\n- hơi nhăn nheo
ruin [01/ruin/]	[01* dtừ]\n- sự đổ nát, sự suy đồi\n[02= to bumble (lie, lay) in ruin] đổ nát\n- sự tiêu tan\n[02= the ruin of one's hope] sự tiêu tan hy vọng\n- sự phá sản, sự thất bại; nguyên nhân phá sản, nguyên nhân đổ nát\n[02= to bring somebody to ruin] làm cho ai bị phá sản\n[02= to cause the ruin of...] gây ra sự đổ nát của...\n- ((thường) số nhiều) tàn tích; cảnh đổ nát, cảnh điêu tàn\n[02= the ruins of Rome] tàn tích của thành La mã\n[01* ngđtừ]\n- làm hỏng, làm đổ nát, tàn phá\n- làm suy nhược, làm xấu đi\n[02= to ruin someone's health] làm suy nhược sức khoẻ của ai\n[02= to ruin someone's reputation] làm mất thanh danh của ai\n- làm phá sản\n[02= to ruin oneself in gambling] phá sản vì cờ bạc\n- dụ dỗ, cám dỗ, làm mất thanh danh, làm hư hỏng (con gái)\n[01* nđtừ]\n- (thơ ca) ngã rập mặt xuống đất\n- đổ sập xuống, sụp đổ
ruinate [01/'ru:ineit/]	[01* ngđtừ]\n- hủy hoại; hủy diệt
ruination [01/,ru:i'nei∫n/]	[01* dtừ]\n- sự tan nát, sự sụp đổ, sự tiêu ma\n[02= the ruination one's good name] sự tiêu ma danh tiếng\n- sự phá sản
ruinous [01/'ru:inəs/]	[01* ttừ]\n- đổ nát\n- tàn hại, gây tai hại, làm thất bại, làm phá sản
ruinously [01/'ru:inəsli/]	[01* phtừ]\n- đổ nát\n- tàn hại, gây tai hại, làm thất bại, làm phá sản
rulable [01/'ru:ləbl/]	[01* ttừ]\n- có thể cai quản, có thể chi phối\n- thuận theo qui tắc
rule [01/ru:l/]	[01* dtừ]\n- phép tắc, quy tắc, nguyên tắc; quy luật; điều lệ, luật lệ\n[02= the rule of the road] luật đi đường\n[02= standing rules] điều lệ hiện hành (của một hội, công ty...)\n[02= grammar rules] những quy tắc ngữ pháp\n- thói quen, lệ thường\n[02= as a rule] theo thói quen, theo lệ thường\n[02= by rule of thumb] theo kinh nghiệm\n[02= to make it a rule to gets up early] đặt thành cái lệ dậy sớm\n- quyền lực\n- sự thống trị\n[02= under the rule of...] dưới sự thống trị cử...\n- thước (có) chia độ (của thợ mộc)\n- (pháp lý) quyết định của toà án; lệnh của toà án\n- (ngành in) thước (để) ngăn dòng; filê, cái gạch đầu dòng\n[02= em rule] gạch đầu dòng\n[02= en rule] gạch ngắn, gạch nối\n[04! to do things by rule]\n- làm việc theo nguyên tắc, làm việc có phương pháp\n[04! by rule and line]\n- rất đúng, rất chính xác\n[04! gag rule]\n- (Mỹ) chính sách khoá miệng không cho tự do ngôn luận\n[04! the golden rule]\n- xem [03golden]\n[04! hard and fast rule]\n- nguyên tắc cứng rắn, nguyên tắc bất di bất dịch\n[04! out of rule]\n- trái quy tắc, sai nguyên tắc\n[04! there is no rule without an exception]\n- không có nguyên tắc nào là không có ngoại lệ\n[01* ngđtừ]\n- cai trị, trị vì, thống trị; chỉ huy, điều khiển\n[02= to rule a nation] thống trị một nước\n- kiềm chế, chế ngự\n[02= to rule one's passions] kiềm chế dục vọng\n- ((thường) dạng bị động) chỉ dẫn, hướng dẫn, khuyên bảo\n[02= to be ruled by someone] theo sự hướng dẫn của ai, theo lời khuyên của ai\n- (pháp lý) quyết định, ra lệnh\n- kẻ (giấy) bằng thước\n[01* nđtừ]\n- cai trị, trị vì, thống trị, cầm quyền\n[02= to rule over a nation] thống trị một nước\n[02= to rule by love] lấy đức mà cai trị\n- thể hiện (ở một mức nào đó, ở một trạng thái nào đó)\n[02= prices rule high] giá cả lên cao\n[02= crops rule good] mùa màng tốt\n[04! to ruke off]\n- (thương nghiệp) đóng sổ, kết toán\n[04! to rule out]\n- loại trừ, bác bỏ\n[04! to rule the roast (roots)]\n- (cổ) làm bá chủ hoành hành, làm vương làng tướng\n[04! to rule with a heavy (high) hand]\n[04! to rule with a rod of iron]\n- thống trị bằng bàn tay sắt, độc tài, độc đoán
ruled	- kẻ
ruleless [01/'ru:lis/]	[01* ttừ]\n- không theo qui tắc
ruler [01/'ru:lə/]	[01* dtừ]\n- người thống trị, người chuyên quyền; vua, chúa\n- cái thước kẻ\n- thợ kẻ giấy; máy kẻ giấy
rulership [01/'ru:lə∫ip/]	[01* dtừ]\n- sự thống trị\n- quyền lực
ruling [01/'ru:liη/]	[01* dtừ]\n- sự cai trị, sự trị vì, sự thống trị; sự chỉ huy, sự điều khiển\n- sự quyết định (của quan toà...)\n- sự kẻ (giấy)\n[01* ttừ]\n- thống trị; cai trị, cầm quyền; chỉ huy, chỉ đạo; điều khiển; chiếm ưu thế, trội hơn cả\n[02= ruling circles] giới cầm quyền\n[02= ruling passion] sự say mê mạnh nhất; động cơ (chi phối mọi hành động)\n- hiện hành\n[02= ruling prices] giá cả hiện hành
rulley [01/'ruli/]	[01* dtừ]\n- xe bò, bốn bánh
rum [01/rʌm/]	[01* dtừ]\n- rượu rum\n- rượu mạnh\n[01* ttừ]\n- (lóng) kỳ quặc, kỳ dị\n[02= a rum fellow] một gã kỳ quặc\n- nguy hiểm, khó chơi\n[02= a rum customer] một thằng cha nguy hiểm khó chơi, một con vật nguy hiểm
rum butter [01/rʌm'bʌtə/]	[01* dtừ]\n- bơ có pha rượu rum
