down	138-18290-B,59-11881-S,59-12312-S,81-3347-S,82-13981-S,83-8452-S,88-18902-S,103-10367-S,105-7361-S,118-16790-S,127-16107-S,140-8468-S,140-8853-S,147-8570-S,163-15985-S,198-1406-S,200-9946-S,203-14321-S,214-21192-S,214-22908-S,226-23138-S,227-2008-S,260-32521-S,267-25535-S,269-7836-S,275-23326-S,282-21310-S,371-34961-S,379-6037-S,391-27555-S,396-32538-S,396-39234-S,396-42441-S,414-15823-S,418-24447-S,419-7153-S,422-7016-S,434-9047-S,436-5433-S,442-7207-S,442-19886-S,453-9946-S,456-23760-S,460-34122-S,460-34723-S,472-29085-S,481-15972-S,503-20477-S,504-8119-S,514-33165-S
down and out	138-23334-B
down bow	138-23563-B
down calver	138-22945-B
down collar	62-32358-S
down draught	138-23951-B
down east	138-23019-B
down hearted	138-24679-B
down keeper	203-34154-S
down link	138-23135-B
down market	138-25468-B
down payment	138-23173-B
down radar	274-15107-S
down s syndrome	138-26559-B
down strike	422-7152-S,441-20903-S
down stroke	138-27353-B
down swing	138-27430-B
down syndrome	138-23246-B
down time	138-23294-B
down to earth	138-27759-B
down transformer	442-19952-S
downbeat	138-23443-B
downcast	138-23646-B
downer	138-24027-B,453-10185-S
downfall	138-24107-B
downfield	138-24275-B
downflow	138-24373-B
downgrade	138-24472-B
downhaul	138-24543-B
downhearted	138-24609-B
downhill	138-24764-B
downing street	138-25033-B
downland	138-25306-B
download	138-25367-B
downloadalbe	138-25430-B
downmost	138-25546-B
downpipe	138-25633-B
downpour	138-25734-B
downright	138-25813-B
downrightness	138-26369-B
downriver	138-26438-B
downs	138-26511-B
downstairs	138-26670-B
downstate	138-26947-B
downstater	138-27074-B
downstream	138-27169-B
downstroke	138-27226-B
downthrow	138-27564-B
downtime	138-27631-B
downtown	138-27842-B
downtrend	138-28207-B
downtrodden	139-0-B
downturn	139-95-B
downward	139-190-B
downward compatible	139-463-B
downwards	139-521-B
downwind	139-808-B
downy	139-882-B
dowry	139-1167-B
dowse	139-1246-B
dowser	139-1382-B
dowsing rod	139-1496-B
doxology	139-1579-B
doxy	139-1687-B
doyen	139-1802-B
doyenne	139-1954-B
doyley	139-2004-B
doyly	139-2040-B
doz	139-2091-B
doze	139-2123-B
dozen	139-2277-B,213-11239-S,273-21718-S
dozenth	139-2770-B
dozer	139-2826-B,394-7308-S
dozy	139-2894-B
dphil	139-2964-B
dpp	139-3054-B
dr	139-3166-B
drab	139-3505-B,312-9487-S
drabbet	139-3828-B
drabble	139-3890-B
drably	139-4062-B
drabness	139-4125-B
drabs	140-10796-S
dracaena	139-4200-B
drachm	139-4283-B
drachma	139-4469-B
drachmae	139-4570-B
draco	139-4632-B
draconian	139-4701-B
draconic	139-4749-B
draff	139-4870-B
draft	139-5012-B,41-10022-S,269-25420-S
draft beer	139-6417-B
draft card	139-6492-B
draft copy	139-6169-B
draft dodger	139-6572-B
draft dodging	139-6668-B
draft horse	139-6215-B
draft mode	139-6289-B
draft quality	139-6327-B
draft version	139-6375-B
draftee	139-6762-B
drafter	139-6828-B
drafting	139-6872-B,92-2733-S
draftsman	139-6931-B
drafty	139-7139-B
drag	139-7199-B,279-13764-S
drag anchor	139-9365-B
drag chain	139-9418-B
drag hunt	139-10262-B
drag net	139-9216-B,139-10421-B
drag race	139-9302-B
dragee	139-9587-B
draggle	139-9665-B
draggle tail	139-9868-B
draggle tailed	139-10046-B
draghound	139-10188-B
dragline	139-10341-B
dragoman	139-10516-B
dragon	139-10639-B,178-26489-S,261-9362-S,334-21679-S,427-4884-S
dragon fly	139-11269-B
dragon s blood	139-11680-B
dragon s teeth	139-11757-B
dragon tree	139-11838-B
dragonet	139-11066-B
dragonfish	139-11138-B
dragonfly	139-11204-B
dragonish	139-11351-B
dragonnade	139-11416-B
dragoon	139-11939-B
dragsman	139-12207-B
dragster	139-12289-B
drail	139-12339-B
drain	139-12417-B,12-5983-S,57-3376-S,193-20883-S,211-416-S,437-20343-S
drain board	139-14148-B
drain current	139-13461-B
drain ditch	139-14223-B
drain impedance	197-8691-S
drain pipe	139-14574-B
drain pipes	139-14724-B
drainage	139-13504-B,247-17554-S,515-29884-S
drainage area	139-13956-B
drainage basin	139-13809-B,139-14016-B
drainage ditch	139-13864-B
drainage tube	139-14075-B
drainer	139-14306-B,75-17330-S
draining board	139-14391-B
drainpipe	139-14512-B
drake	139-14818-B,178-26574-S
drakes	141-25838-S
dram	139-15008-B,139-15086-B
dram drinker	139-17291-B
dram shop	139-17343-B
drama	139-15235-B,260-7195-S,461-20614-S
dramatic	139-15388-B
dramatic irony	139-15608-B
dramatically	139-15720-B
dramatics	139-15785-B
dramatis personae	139-15993-B
dramatisation	139-16144-B
dramatise	139-16222-B
dramatist	139-16270-B
dramatist unities	139-16353-B
dramatization	139-16518-B
dramatize	139-16721-B
dramaturge	139-16980-B
dramaturgic	139-17032-B
dramaturgist	139-17149-B
dramaturgy	139-17206-B
drang	448-26433-S
drank	139-17390-B
drape	139-17411-B
draper	139-17716-B,270-22931-S
draperied	139-17800-B
drapery	139-17930-B
drastic	139-18233-B
drastically	139-18420-B
drat	139-18514-B
dratted	139-18770-B
draught	139-18837-B,138-23951-S,295-22801-S,415-19268-S,424-10661-S
draught beer	139-20109-B
draught hole	139-20230-B
draught horse	139-20329-B
draught marks	139-20497-B
draught proof	139-20590-B
draughtboard	139-20167-B
draughtiness	139-20402-B
draughtsman	139-20713-B
draughtsmanship	139-20798-B
draughty	139-20885-B
draw	139-20978-B,178-9126-S
draw frame	139-22114-B
draw hole	139-22289-B
draw plate	139-32710-B
draw string	139-21010-B
draw tongs	139-32895-B
draw vice	139-32944-B
draw well	139-33013-B
drawable	139-21067-B
drawback	139-21185-B
drawbar	139-21478-B
drawbridge	139-21542-B
drawee	139-21599-B
drawer	139-21691-B,55-28168-S,100-19267-S,299-17361-S,435-4458-S,471-29621-S
drawerful	139-21965-B
drawers	139-22027-B,43-10796-S,75-25270-S,479-21870-S
drawgear	139-22202-B
drawhook	139-22342-B
drawing	139-22392-B,31-15296-S,39-18979-S,118-16964-S,270-22142-S,350-17665-S,515-6368-S
drawing account	139-22770-B
drawing bench	139-23188-B
drawing block	139-23277-B
drawing board	139-22844-B,139-23348-B
drawing card	139-22883-B
drawing knife	139-23408-B
