elchee [01/'elt∫i/]	[01* dtừ]\n- sứ thần, đại sứ
eld [01/eld/]	[01* dtừ (cổ) ; (thơ ca)]\n- tuổi da mồi tóc bạc\n- thời xưa, thuở xưa
elder [01/'eldə/]	[01* ttừ]\n- nhiều tuổi hơn\n[02= elder brother] anh\n[01* dtừ]\n- người nhiều tuổi hơn\n- (số nhiều) bậc huynh trưởng\n[01* dtừ]\n- (thực vật) cây cơm cháy
elderberry [01/'eldəbri/]	[01* dtừ]\n- <thực> quả cây cơm cháy
elderliness	- xem [03elderly] 
elderly [01/'eldəli/]	[01* ttừ]\n- sắp già
eldership	- xem [03elder] 
eldest [01/'eldist/]	[01* ttừ]\n- cả (anh, chị), nhiều tuổi nhất
eldorado [01/,eldə'rɒ : dəʊ/]	[01* dtừ] s/n [03eldorados]\n- xứ Eldorado - vùng đất tưởng tượng giàu có\n- nơi phong phú thịnh vượng hoặc may mắn (vùng đất lý tưởng) 
eldritch [01/'eldrit∫/]	[01* ttừ]\n- (Ê-cốt) kỳ quái, xấu như ma
eleaticism [01/,eli'ætisizm/]	[01* dtừ]\n- học thuyết Ê-lê
elecampane [01/,elikæm'pein/]	[01* dtừ]\n- (thực vật) cây thổ mộc hương\n- kẹo thổ mộc hương
elect [01/i'lekt/]	[01* ttừ]\n- chọn lọc\n- đã được chọn, đã được bầu (nhưng chưa nhậm chức...)\n[02= preseident elect] tổng thống mới được bầu (chưa nhậm chức)\n[04! the elect]\n- (tôn giáo) những người được Chúa chọn (lên thiên đường)\n[01* ngđtừ]\n- chọn\n- bầu\n- quyết định\n[02= he elected to remain at home] nó quyết định ở lại nhà
electability [01/ilektə'biliti/]	[01* dtừ]\n- khả năng được chọn, khả năng được bầu
election [01/i'lek∫n/]	[01* dtừ]\n- sự chọn\n- sự bầu cử; cuộc tuyển cử\n[02= a general election] cuộc tổng tuyển cử\n- (tôn giáo) sự chọn lên thiên đường
electioneer [01/i,lek∫ə'niə/]	[01* dtừ]\n- người vận động bầu cử\n[01* nđtừ]\n- vận động bầu cử
electioneerer	- xem [03electioneer] 
electioneering [01/i,lek∫ə'niəriη/]	[01* dtừ]\n- hoạt động nhằm tác động đến cử tri trong một cuộc bầu cử bằng cách vận động, đọc diễn văn...; cuộc vận động bầu cử
elective [01/i'lektiv/]	[01* tính từ]\n- được chọn lọc bằng cách bầu cử\n[02= an elective office] cơ quan do dân bầu ra; cơ quan dân cử\n- có quyền bầu cử\n[02= an elective assembly] một hội đồng có quyền bầu cử\n- (từ Mỹ,nghĩa Mỹ) (về một khoá học trong trường đại học) không bắt buộc; có thể lựa chọn\n[02= elective subjects] các môn học tự chọn\n- không cấp thiết\n[02= elective surgery] giải phẫu không cấp thiết\n[01*danh từ]\n- (từ Mỹ,nghĩa Mỹ) khoá học hoặc môn học tự chọn\n[02= she is taking French as an elective next year] sang năm cô ấy học tiếng Pháp như một môn tự chọn
electively	- xem [03elective] 
electiveness	như [03electively]
elector [01/i'lektə/]	[01* ttừ]\n- cử tri, người bỏ phiếu\n- (sử học), Đức tuyển hầu\n- (Mỹ) người dự đại hội đại biểu cử tri (để bầu tổng thống) 
electoral [01/i'lektərəl/]	[01* ttừ]\n- (thuộc) sự bầu cử; (thuộc) cử tri\n[02= electoral system] chế độ bầu cử\n[02= electoral law] luật bầu cử\n[02= electoral college] (Mỹ) đại hội đại biểu cử tri (để bầu tổng thống) 
electorally	- xem [03electoral] 
electorate [01/i'lektərit/]	[01* dtừ]\n- toàn bộ cử tri\n- khu bầu cử\n- (sử học), Đức địa vị tuyến hầu; thái ấp của tuyến hầu
electoress [01/i'lektəris/]	[01* dtừ]\n- nữ cử tri\n- tuyển hầu phu nhân
electorship [01/i'lektə∫ip/]	[01* dtừ]\n- tư cách cử tri
electra complex [01/i'lektrə, kɔmpleks/]	[01* dtừ]\n-(phần tầm) phức cảm Electra, ham muốn tình dục của con gái với cha mình
electress [01/i'lektris/]	[01* dtừ]\n- nữ cử tri
electric [01/i'lektrik/]	[01* ttừ]\n- (thuộc) điện, có điện, phát điện\n[02= electric light] ánh sáng điện\n[02= an electric torch] đèn pin\n- làm náo động, làm sôi nổi
electric arc [01/i'lektrik'ɑ:k/]	[01* dtừ]\n- (lý) cung lửa điện, hồ quang điện
electric bell	- (kỹ) chuông điện
electric blanket [01/i'lektrik'blæηkit/]	[01* dtừ]\n- chăn điện
electric breakdown	- (kỹ) sự cố hỏng điện
electric carrier signal	- (kỹ) tín hiệu mang điện
electric chair [01/i'lektrik't∫eə/]	[01* dtừ]\n- ghế điện (để xử tử)\n- sự xử tử bằng ghế điện
electric charge [01/i'lektrik't∫a:dʒ/]	- (kỹ) điện tích
electric chimes [01/i'lektrik 't∫aimz/]	[01* dtừ]\n- chuông điện
electric circuit	- (kỹ) mạch điện
electric clock	- (kỹ) đồng hồ điện
electric conductivity	- (kỹ) tính dẫn điện
electric constant	- (kỹ) hằng số điện
electric controller	- (kỹ) bộ điều khiển bằng điện
electric coupling	- (kỹ) cái ghép điện
electric current	- (kỹ) dòng điện
electric discharge	- (kỹ) phóng điện
electric eel [01/i'lektrik'i:l/]	[01* dtừ]\n- (động vật) cá điện (ở Nam mỹ) 
electric eye [01/i'lektrik'ai/]	[01* dtừ]\n- mắt điện (để điều khiển một số bộ phận máy...) 
electric eye button	- (kỹ) nút mắt điện
electric field [01/i'lektrikfi:ld/]	[01* dtừ]\n- điện trường
electric flux density	- (kỹ) mật độ điện thông
electric furnace [01/i'lektrik'fə:nis/]	[01* dtừ]\n- lò điện
electric generator	- (kỹ) máy phát điện
electric guitar [01/i'lektrikgi'tɑ:/]	[01* dtừ]\n- (âm nhạc) Ghita điện
electric industry	- (kỹ) công nghiệp điện
electric intensity	- (kỹ) cường độ điện
electric interference	- (kỹ) nhiễu điện
electric lamp	- (kỹ) đèn điện
electric lead	- (kỹ) dây dẫn điện
electric light	- (kỹ) ánh sáng điện; đèn điện
electric line	- (kỹ) đường dây điện
electric lock [01/i'lektrik 'lɔk/]	[01* dtừ]\n- khoá điện
electric motor	- (kỹ) động cơ điện
electric needle [01/i'lektrik'ni:dl/]	[01* dtừ]\n- (y) kim điện
electric network	- (kỹ) mạng điện
electric polarization	- (kỹ) sự phân cực bằng điện
electric potential	- (kỹ) điện thế
electric power supply	- (kỹ) nguồn cung cấp điện lực
electric razor [01/i'lektrik'reizə(r) /]	[01* dtừ]\n- dụng cụ cạo râu chạy bằng điện
electric resonance	- (kỹ) cộng hưởng điện
electric shield	- (kỹ) vỏ chắn điện
electric shock [01/i'lektrik∫ɔ:k/]	- (kỹ) va chạm điện, điện giật
electric soldering iron	- (kỹ) mỏ hàn điện
electric steel [01/i'lektrik'sti:l/]	[01* dtừ]\n- thép lò điện
electric storm [01/i'lektrikstɔ:m/]	[01* dtừ]\n- sự xáo trộn khí quyển làm phát sinh dòng điện
electric tachometer	- (kỹ) chuyển tốc kế chạy điện
electric transducer	- (kỹ) bộ biến hoán điện
electric valve	- (kỹ) van điện
electric wave filter	- (kỹ) bộ lọc sóng điện
electric(al)	- (vật lí)(thuộc) điện
electrical [01/i'lektrikəl/]	[01* ttừ]\n- (thuộc) điện
electrical energy	- (kỹ) năng lượng điện
electrical engineering	- (kỹ) kỹ thuật điện
electrical equipment	- (kỹ) thiết bị điện
electrical ignition	- (kỹ) mồi điện
electrical installation	- (kỹ) lắp điện; thiết bị điện
electrical instrument	- (kỹ) dụng cụ điện
electrical neutrality	- (kỹ) tính trung hòa điện
electrical noise	- (kỹ) tiếng ồn điện, nhiễu điện
electrical schematic	- (kỹ) sơ đồ điện
electrical sheath	- (kỹ) vỏ bọc cách điện
electrical specification	- (kỹ) quy định (về) điện
electrically [01/i'lektrikəli/]	như [03obliquely]
electrically alterable read-only memory (EAROM)	- (kỹ) bộ nhớ chỉ đọc đổi điện được
electrically erasable and programmable ROM (EEPROM)	- (kỹ) bộ nhớ chỉ đọc tẩy và thảo chương được (bằng điện) 
electrician [01/ilek'tri∫n/]	[01* dtừ]\n- thợ lắp điện; thợ điện
electricity [01/i,lek'trisiti/]	[01* dtừ]\n- điện, điện lực\n[02= static electricity] tĩnh điện\n[02= magnetic electricity] điện tử\n[02= positive electricity] điện dương\n[02= negastive electricity] điện âm\n- điện học
electricity meter	- (kỹ) đồng hồ đo điện
electricute [01/i'lektrikjut/]	[01* ngđtừ]\n- dùng điện tử để xử tử
electricution [01/i,lektri'kju∫n/]	[01* dtừ]\n- sự dùng điện để xử tử
electrifiable	như [03electrifier]
electrification [01/i,lektrifi'kei∫n/]	[01* dtừ]\n- sự nhiễm điện\n- sự cho điện giật\n- sự điện khí hoá
electrifier	- xem [03electrify] 
electrify [01/i'lektrifai/]	như [03electrise]
electrifyingly	như [03electrifier]
electrine [01/i'lektrin/]	[01* dtừ]\n- hổ phách
electrise [01/i'lektraiz/]	[01* ngđtừ]\n- cho nhiễm điện\n- cho điện giật\n- điện khí hoá\n- (bóng) làm giật nảy người, kích thích
electrization [01/i,lektri'zeiʃn/]	[01* dtừ]\n- sự nhiễm điện
electrize [01/i'lektraiz/]	như [03electrise]
electro [01/i'lektrou/]	- (tục)(vt) của [03electroplate]\n- (tục)(vt) của [03electrotype] 
electroacoustic	- (kỹ) điện âm
electroacoustic transducer	- (kỹ) bộ biến hoán điện âm
electro-acoustics [01/i'lektrouə'ku:stiks/]	[01* dtừ, s/n dùng như số ít]\n- điện âm học
electro-analysis [01/i'lektrouə'nælisis/]	[01* dtừ]\n- phép phân tích học
electro-biology [01/i'lektroubai'ɔlədʒi/]	[01* dtừ]\n- điện sinh vật học, môn sinh vật điện
electrocardiogram [01/i'lektrou'kɑ:diəgræm/]	như [03electro-cardiogram]
electro-cardiogram [01/i'lektrou'kɑ:diəgræm/]	[01* dtừ]\n- (y) biểu đồ điện tim, điện tâm đồ
electrocardiograph [01/i'lektrou'kɑ:diəgrɑ:f/]	như [03electro-cardiograph]
electro-cardiograph [01/i'lektrou'kɑ:diəgrɑ:f/]	[01* dtừ]\n- máy ghi điện tim
electrochemical [01/i'lektrou'kemikəl/]	như [03electro-chemical]
electro-chemical [01/i'lektrou'kemikəl/]	[01* ttừ]\n- (thuộc) điện hoá học
electrochemistry [01/i'lektrou'kemistri/]	[01* dtừ]\n- điện hoá học, môn hoá học điện
electro-chemitry [01/i'lektrou'kemistri/]	như [03electrochemistry]
electroconductivity	- (kỹ) tính điện dẫn; sự dẫn điện
electro-convulsive [01/i'lektroukən'vʌlsiv/]	[01* ttừ]\n- co giật do chạm điện
electrocutaneous feedback	- phản hồi dòng điện lên da
electrocute [01/i'lektrəkju:t/]	[01* ngđtừ]\n- xử tử bằng điện\n- giật chết (điện) 
electrocution [01/i,lektrə'kju:∫n/]	[01* dtừ]\n- sự xử tử bằng điện\n- sự bị điện giật chết
electrode [01/i'lektroud/]	[01* dtừ]\n- cực, cực điện
electrode AC resistance	- (kỹ) điện trở dòng xoay chiều điện cực
electrode potential	- (kỹ) thế điện cực
electrodeposit [01/i'lektroudi'pɔzit/]	[01* ngđtừ]\n- làm kết tủa bằng điện
electrodeposition [01/i'lektrou,dipɔ'zi∫n/]	[01* dtừ]\n- sự kết tủa bằng điện
