flag list	180-19733-B
flag of truce	180-17482-B
flag officer	180-19977-B
flag operand	180-17573-B
flag pole	180-20143-B
flag rank	180-20354-B
flag register	180-17618-B
flag station	180-21197-B
flag wagging	180-21407-B
flag waver	180-21494-B
flag waving	180-21585-B
flagella	180-17982-B
flagellant	180-18030-B
flagellate	180-18186-B
flagellation	180-18323-B
flagellator	180-18426-B
flagellatory	180-18556-B
flagelliform	180-18643-B
flagellum	180-18717-B
flageolet	180-18846-B
flageoletist	180-18964-B
flagfish	180-19042-B
flagginess	180-19117-B
flagging	180-19231-B
flaggy	180-19355-B
flagitious	180-19413-B
flagitiousness	180-19512-B
flagman	180-19832-B
flagon	180-20067-B
flagrancy	180-20196-B
flagrant	180-20452-B
flagrante delicto	180-20588-B
flagrantly	180-20843-B
flagship	180-20918-B
flagstaff	180-21021-B
flagstation	180-21069-B
flagstone	180-21336-B
flail	180-21673-B
flair	180-21813-B,178-27612-S
flak	180-21928-B
flake	180-22040-B,427-28847-S
flake knife	180-22413-B
flakes	428-13034-S
flakiness	180-22501-B
flaky	180-22577-B
flam	180-22667-B,182-10615-S
flambe	180-22735-B
flambeau	180-22907-B
flambeaux	180-23021-B
flamboyance	180-23065-B
flamboyancy	180-23119-B
flamboyant	180-23269-B
flamboyantly	180-23601-B
flame	180-23679-B,273-22071-S
flame arc	180-24771-B
flame cells	180-24823-B
flame colour	180-24894-B
flame projector	180-25260-B
flame proof	180-25326-B
flame resisting	180-25382-B
flame thrower	180-25540-B
flameholder	180-24958-B
flameless	180-25028-B
flamen	180-25093-B
flamenco	180-25192-B
flamer thrower	180-25464-B
flaming	180-25599-B
flamingo	180-25997-B
flamingoes	180-26138-B
flammability	180-26186-B
flammable	180-26348-B,305-4575-S
flammenwerfer	180-26413-B
flammulated	180-26483-B
flamy	180-26565-B
flan	180-26628-B
flanerie	180-26692-B
flaneur	180-26772-B
flange	180-26892-B
flange joint	180-27240-B
flange machine	180-27421-B
flange mounted	180-27492-B
flanged	180-27158-B
flangeless	180-27324-B
flanger	180-27566-B
flank	180-27672-B
flanker	180-28067-B
flanned	226-12699-S
flannel	180-28259-B,170-5128-S,226-12762-S
flannelet	180-28630-B
flannelette	180-28680-B
flannelled	180-28745-B
flap	180-28845-B,71-19963-S,104-25510-S,182-13788-S,184-9934-S,349-22968-S,460-6161-S,521-1853-S
flap covered	180-29443-B
flap door	180-29593-B
flap eared	181-0-B
flap hat	181-154-B
flapdoodle	180-29508-B
flaperons	181-70-B
flapjack	181-222-B
flapper	181-314-B
flapperdom	181-660-B
flapping	181-729-B
flaps	143-21221-S
flare	181-792-B,327-15245-S
flare back	181-1477-B
flare bomb	181-1579-B
flare path	181-1651-B
flare up	181-1785-B
flaring	181-2013-B
flash	181-2148-B,221-22406-S,225-23971-S,341-12529-S,418-17609-S
flash board	181-4438-B
flash bulb	181-4499-B
flash card	181-4096-B,181-4579-B
flash cube	181-4683-B
flash flood	181-4926-B
flash forward	181-5024-B
flash house	181-5301-B
flash light	181-5949-B
flash memory	181-4157-B
flash point	181-6268-B
flashback	181-4218-B
flasher	181-4813-B
flashgun	181-5184-B
flashily	181-5389-B
flashiness	181-5458-B
flashing	181-5586-B
flashing point	181-5810-B
flashlamp	181-5870-B
flashman	181-6063-B
flashover	181-6145-B
flashy	181-6358-B
flask	181-6509-B,221-22529-S,355-18196-S,467-2242-S,505-10661-S,505-10988-S
flasket	181-6779-B
flast	181-7027-B
flasvescent	181-7086-B
flat	181-7170-B,103-6335-S,206-10319-S,297-15185-S,413-26172-S,414-434-S,448-10880-S
