retrieve [01/ri'tri:v/]	[01* ngđtừ]\n- lấy lại, tìm lại được (vật đã mất) ; tìm và mang (con vật bị bắn) về (chó săn)\n- khôi phục lại được (tiếng tăm) ; phục hồi được (công việc làm ăn) ; xây dựng lại được (cơ nghiệp)\n[02= to retrieve one's fortunes] xây dựng lại được cơ nghiệp\n- bù đắp được (sự mất mát, tổn thất) ; sửa chữa được (lỗi lầm)\n- (+[04 from]) cứu thoát khỏi (tình thế khốn quẫn, cái chết chắc chắn...)\n- nhớ lại được\n[01* nđtừ]\n- tìm và nhặt đem về (chó săn) 
retriever [01/ri'tri:və/]	[01* dtừ]\n- người thu nhặt (cái gì)\n- chó săn biết tìm và nhặt con vật bị bắn đem về
retrimming	- (điều khiển học) điều chỉnh lại, làm lại
retro-	- tiền tố có nghĩa\n- quay về quá khứ\n- retrospect\n- sự hồi tưởng quá khứ\n- lùi lại\n- retroflex\n- uốn lưỡi\n- retrocede\n- thụt lùi\n- ở phía sau\n- retrograde\n- thoái hoá
retroact [01/,retrou'ækt/]	[01* nđtừ]\n- phản ứng\n- chạy lùi trở lại\n- tác dụng ngược lại, phản tác dụng\n- (pháp lý) có hiệu lực trở về trước (một đạo luật...) 
retroaction [01/,retrou'æk∫n/]	[01* dtừ]\n- sự phản ứng\n- sự chạy lùi trở lại\n- tác dụng ngược lại, phản tác dụng\n- (pháp lý) hiệu lực trở về trước (của một đạo luật...) 
retroactive [01/,retrou'æktiv/]	[01* ttừ]\n- (pháp lý) có hiệu lực trở về trước
retroactive inhibition [01/,retrou'æktiv,inhi'bi∫n/]	[01* dtừ]\n-(tầm lý) sự ức chế do những hiểu biết tiếp nhận từ trước
retroactively [01/,retrou'æktivli/]	[01* phtừ]\n- có hiệu lực từ một thời điểm trong quá khứ\n- <pháp> có hiệu lực trở về trước
retroactivity [01/,retrouæk'tivəti/]	[01* dtừ]\n- (pháp lý) tính có hiệu lực trở về trước
retrobuccal [01/'retrou'bʌkəl/]	[01* ttừ]\n- thuộc đáy-khoang miệng
retrobulbar [01/,retrou'bʌlbə/]	[01* ttừ]\n- sau cầu mắt; sau hành tủy
retrocaecal [01/,retrou'si:kəl/]	[01* ttừ]\n- (phẫu) sau ruột tịt
retrocede [01/,retrou'si:d/]	[01* nđtừ]\n- lùi lại\n- (y) lặn vào trong\n[01* ngđtừ]\n- nhượng lại (đất đai), trả lại
retrocedence [01/,retrou'si:dəns/]	[01* dtừ]\n- sự lùi lại\n- (y) sự lặn vào trong
retrocedent [01/,retrou'si:dənt/]	[01* ttừ]\n- lùi lại\n- (y) lặn vào trong
retrocerebral [01/,retrou'seribrəl/]	[01* ttừ]\n- sau hạch não
retrocervical [01/,retrou'sə:vikəl/]	[01* ttừ]\n- sau cổ tử cung
retrocession [01/,retrou'se∫n/]	[01* dtừ]\n- động tác lùi\n- (pháp lý) sự nhượng lại, sự trả lại\n- (y) sự lặn vào trong
retrocessive [01/,retrou'sesiv/]	[01* ttừ]\n- lùi lại, thụt lùi\n- nhượng lại, trả lại
retrochoir [01/'retroukwaiə/]	[01* dtừ]\n- bộ phận trong nhà thờ lớn ở sau điện thờ
retrocollic [01/,retrou'kɔlik/]	[01* ttừ]\n- sau cổ
retrocurved [01/,retrou'kə:vd/]	[01* ttừ]\n- cong ngược
retrod [01/,ri:'troud/]	[01* ngđtừ] [03retrod] /'ri:'trɔd/, [03retrodden] /'ri:'trɔdn/\n- lại giẫm lên, lại đạp lên, giày xéo một lần nữa\n- đi theo (một con đường...) một lần nữa
retrodden [01/'ri:'tred/]	như [03retrod]
retrodeviation [01/,retroudi:vi'ei∫n/]	[01* dtừ]\n- sự lệch ngược
retrofit [01/re'troufit/]	[01* ngđtừ]\n- trang bị thêm những bộ phận mới (máy bay) 
retrofixation [01/retroufik'sei∫n/]	[01* dtừ]\n- sự gắn ngược, cố định ngược
