shunting [01/'∫ʌntiη/]	[01* dtừ]\n- (đường sắt) sự rẽ đường, sự tránh đường\n- (điện học) sự mắc mạch sun
shush [01/∫u∫/]	[01* thán từ]\n- im lặng! im đi!\n[01* ngđtừ]\n- bảo ai im lặng
shut [01/∫ʌt/]	[01* đtừ]\n- đóng, khép, đậy, nút, nhắm, gập, ngậm\n[02= to shut a door] đóng cửa\n[02= to shut a book] gập sách\n[02= to shut one's mouth] ngậm miệng lại, câm miệng\n[02= to shut one's eyes] nhắm mắt\n- kẹp, chẹt\n[04! to shut down]\n- kéo (cửa) xuống; đóng cửa (nhà máy)\n- (Mỹ),(tục) chấm dứt, hết sức hạn chế\n[04! to shut in]\n- giam, nhốt\n- bao, bao bọc, che\n[04! to shut off]\n- khoá (máy nước) ; tắt, ngắt, cắt (điện)\n- ngăn cách ra; tách ra khỏi\n[04! to shut out]\n- không cho vào\n[02= to shut somebody out] không cho ai vào\n- loại trừ (khả năng)\n[04! to shut to]\n- đóng chặt\n[04! to shut up]\n- đóng chặt, khoá chặt\n- giam, nhốt\n- cất, giấu (của)\n- huộc 7 phĩu chĩu pĩu không tiếp ai\n[04! to shut the door upon something]\n- không xét đến việc gì; làm cho không thực hiện được việc gì\n[04! to shut one's ears (one's eyes) to something]\n- bịt tai (nhắm mắt) làm ngơ cái gì\n[04! to shut up shop]\n- xem [03shop]\n[04! shut up!]\n- câm mồm!
shut-down [01/'∫ʌt'daun/]	[01* dtừ]\n- sự đóng cửa thôi kinh doanh
shutdown [01/'ʃʌt,daun/]	- sự đóng cửa, sự kết thúc
shut-eye [01/'∫ʌt'ai/]	[01* dtừ]\n- (Mỹ),(lóng) giấc ngủ
shut-in [01/'∫ʌt'in/]	[01* ttừ]\n- không ra ngoài được (vì ốm yếu...)\n[01* dtừ]\n- người tàn tật ốm yếu không ra ngoài được
shut-off [01/'∫ʌt'ɔf/]	[01* dtừ]\n- cái ngắt, cái khoá\n- sự dừng
shut-out [01/'∫ʌt'aut/]	[01* dtừ]\n- sự đóng cửa nhà máy không cho công nhân vào làm (để gây sức ép)\n- (thể thao) sự ngăn chặn không cho đối phương làm bàn
shutter [01/'∫ʌtə/]	[01* dtừ]\n- cửa chớp, cánh cửa chớp\n[02= to put up the shutters] đóng cửa hàng, thôi kinh doanh, giải nghệ\n- (nhiếp ảnh) cửa chập\n[01* ngđtừ]\n- lắp cửa chớp\n- đóng cửa chớp
shuttering [01/'∫ʌtəriη/]	[01* dtừ]\n- ván khuôn; ván cốt pha
shutterless [01/'∫ʌtəlis/]	[01* ttừ]\n- không có cửa chớp
shuttle [01/'∫ʌtl/]	[01* dtừ]\n- con thoi\n- đtừ\n- qua lại như con thoi; làm cho qua lại như con thoi
shuttle bus [01/'∫ʌtl'bʌs/]	[01* dtừ]\n- xe buýt chạy đường ngắn
shuttle diplomacy [01/'∫ʌtl di'plouməsi/]	[01* dtừ]\n- sự ngoại giao con thoi (thuật <nggiao> đòi hỏi nhà <nggiao> đi lại tới lui giữa hai nhóm liên minh) 
shuttle service [01/'∫ʌtl'sə:vis/]	[01* dtừ]\n- ngành xe lửa phục vụ đường ngắn
shuttle train [01/'∫ʌtl'trein/]	[01* dtừ]\n- xe lửa chạy đường ngắn
shuttlecock [01/'∫ʌtlkɔk/]	[01* dtừ]\n- quả cầu lông
shy [01/∫ai/]	[01* ttừ]\n- nhút nhát, bẽn lẽn, e thẹn\n[02= to be shy of doing something] dè dặt không muốn làm việc gì\n- khó tìm, khó thấy, khó nắm\n- (lóng) thiếu; mất\n[02= I'm shy 3d] tôi thiếu ba đồng; tôi mất ba đồng\n[01* dtừ]\n- sự nhảy sang một bên, sự tránh, sự né\n- (tục) sự ném, sự liệng\n[04! to have a shy at]\n- cố bắn trúng (mục tiêu) ; cố lấy cho được (cái gì)\n- thử chế nhạo (ai)\n[01* đtừ]\n- nhảy sang một bên, né, tránh\n- (tục) ném, liệng
shyer [01/'∫aiə/]	[01* dtừ]\n- người bẽn lẽn
shylock [01/'∫ailɔk/]	[01* dtừ]\n- kẻ cho vay nặng lãi
shyly [01/'∫aili/]	[01* phtừ]\n- nhút nhát, bẽn lẽn, e thẹn
shyness [01/'∫ainis/]	[01* dtừ]\n- tính nhút nhát, tính bẽn lẽn, tính e thẹn
shyster [01/'∫aistə/]	[01* dtừ]\n- (lóng) luật sự thủ đoạn, luật sự láu cá\n- người không có lương tâm nghề nghiệp
si [01/si:/]	[01* dtừ]\n- (âm nhạc) xi
si unit [01/si: 'junit/]	[01* dtừ]\n- hệ thống đơn vị quốc tế (vt) của [03Systeme international d'Unités] bao gồm mét, kilô, giầy...
sial [01/'saiəl/]	[01* dtừ]\n- vỏ sial (vỏ ngoài cùng trái đất) 
sialogogic [01/,saiələ'gɔdʒik/]	[01* ttừ]\n- (y) lợi nước bọt
sialogogue [01/sai'æləgɔg/]	[01* dtừ]\n- (y) thuốc lợi nước bọt
sialoid [01/'saiəlɔid/]	[01* ttừ]\n- dạng nước bọt
siamang [01/'saiəmæη/]	[01* dtừ]\n- (động vật) vượn mực (trong nhóm thấp nhất của khỉ dạng người) 
siamese [01/,saiə'mi:z/]	[01* ttừ]\n- (thuộc) Thái lan\n[01* dtừ, s/n không đổi]\n- người Thái lan\n- tiếng Thái lan
siamese cat [01/,saiə'mi:z'kæt/]	[01* dtừ]\n- mèo Xiêm, mèo Thái lan (loài mèo phương Đông có lông ngắn màu nhợt, có mặt, tai, đuôi và chân đen hơn) 
Siamese twins [01/,saiə'mi:z'twinz/]	[01* dtừ]\n- anh em sinh đôi có cơ thể dính vào nhau cách này hay cách khác
sib [01/sib/]	[01* ttừ]\n- (Ê-cốt) có họ hàng với, có bà con với\n[01* dtừ]\n- (Ê-cốt) anh; chị; em
siberian [01/sai'biəriən/]	[01* ttừ]\n- (thuộc) Xi-bia (còn gọi là Xi-bê-ri)\n[01* dtừ]\n- người Xi-bia
sibilance [01/'sibiləns/]	như [03sibilancy]
sibilancy [01/'sibilənsi/]	[01* dtừ (ngôn)]\n- tính chất âm xuýt\n- âm xuýt
sibilant [01/'sibilənt/]	[01* ttừ]\n- (ngôn) xuýt (âm)\n[01* dtừ]\n- (ngôn) âm xuýt
sibilate [01/'sibileit/]	[01* đtừ]\n- (ngôn) đọc thành âm xuýt
sibilation [01/,sibi'lei∫n/]	[01* dtừ]\n- (ngôn) sự đọc thành âm xuýt
sibling [01/'sibliη/]	[01* dtừ]\n- anh (chị, em) ruột
sibship [01/'sib∫ip/]	[01* dtừ]\n- anh chị em ruột
sibyl [01/'sibl/]	như [03sybil]
sibylline [01/si'bəlain, si'bilain/]	[01* ttừ]\n- (thuộc) sấm truyền; (thuộc) sự tiên tri thần bí
sic [01/sik/]	[01* phtừ]\n- đúng như nguyên văn ((thường) viết trong ngoặc đơn bên một câu trích dẫn tuy có chứa đựng sai sót hoặc vô lý nhưng vẫn được sao đúng nguyên văn) 
siccative [01/'sikətiv/]	[01* dtừ]\n- chất làm mau khô; mau khô\n[02= siccative oil] dầu mau khô\n[01* dtừ]\n- chất làm mau khô
sice [01/sais/]	[01* dtừ]\n- mặt sáu, mặt lục (của con súc sắc)\n[01* dtừ (Anh-Ấn)]\n- người giữ ngựa\n- xà ích
sick [01/sik/]	[01* ttừ]\n- ốm, đau; ốm yếu; (Mỹ) khó ở, thấy kinh\n[02= a sick man] người ốm\n[02= to be sick of a fever] bị sốt\n[02= to be sick of love] ốm tương tư\n- buồn nôn\n[02= to feel (turn) sick] buồn nôn, thấy lợm giọng\n[02= to be sick] nôn\n- (hàng hải) cần sửa lại, cần chữa lại\n[04! sick (and tried) of]\n[04! sick to death of]\n- (tục) chán, ngán, ngấy\n[02= to be sick of doing the same work] chán ngấy vì cứ làm mãi một công việc\n[04! sick at (about)]\n- (tục) đau khổ, ân hận\n[02= to be sick at failing to pass the examination] đau khổ vì thi trượt\n[04! sick for]\n- nhớ\n[02= to be sick for home] nhớ nhà, nhớ quê hương\n[01* ngđtừ]\n- xuýt (chó)((thường),(mỉa mai) để ra lệnh cho chó săn)\n[02= sick him!] sục đi!
sick-bay [01/'sikbei/]	[01* dtừ]\n- bệnh xá trên tàu thuỷ
sick-bed [01/'sik'bed/]	[01* dtừ]\n- giường bệnh\n- tình trạng ốm đau; tình trạng tàn phế
sick-benefit [01/'sik'benifit/]	[01* dtừ]\n- tiền trợ cấp ốm đau
sick-call [01/'sik'kɔ:l/]	[01* dtừ]\n- (qsự) hiệu kèn gọi lính ốm
sicken [01/'sikən/]	[01* đtừ]\n- cảm thấy ốm, có triệu chứng ốm\n[02= to be sickening for the flue] thấy người khó chịu muốn cúm\n- cảm tháy buồn nôn, kinh, tởm, ghê tởm,\n- thấy mệt mỏi, thấy chán nản, thất vọng
sickening [01/'sikniη/]	[01* ttừ]\n- làm lợm giọng, kinh tởm, ghê tởm\n[02= a sickening sight] một cảnh tượng kinh tởm\n- làm chán nản, làm thất vọng
sicker [01/'sikə/]	[01* ttừ, phtừ]\n- yên ổn; chắc chắn
sick-flag [01/'sik'flæg/]	[01* dtừ]\n- cờ vàng (báo hiệu có bệnh dịch ở một khu vực, ở trên tàu thuỷ) 
sickheadache [01/'sik 'hedeik/]	[01* dtừ]\n- chứng đau đầu nôn mửa
sickish [01/'siki∫/]	[01* ttừ]\n- hơi ốm; hơi buồn nôn
sickle [01/'sikl/]	[01* dtừ]\n- cái liềm\n- (thiên văn)(Sickle) chòm sao Sư tử
sickle cell [01/'sikle'sel/]	[01* dtừ]\n- hồng huyết cầu hình lưỡi liềm (nhất là thấy trong bệnh thiếu máu di truyền nặng) 
sick-leave [01/'sik'li:v/]	[01* dtừ]\n- phép nghỉ ốm\n- thời gian nghỉ ốm
sickle-feather [01/'sikl'leđə/]	[01* dtừ]\n- (động vật) lông seo (ở đuôi gà sống) 
sickle-man [01/'siklmən/]	[01* dtừ]\n- người gặt hái
sickliness [01/'siklinis/]	[01* dtừ]\n- tình trạng đau yếu, tình trạng bệnh hoạn\n- sự xanh xao\n- mùi tanh, mùi buồn nôn
sick-list [01/'sik'list/]	[01* dtừ]\n- (quân, hải...) danh sách người ốm\n[02= to be on the sick-list] bị ốm
sickly [01/'sikli/]	[01* ttừ]\n- hay ốm, có vẻ ốm yếu, đau yếu; gầy yếu\n- xanh, xanh xao\n[02= sickly complexion] nước da xanh\n- độc; tanh, làm buồn nôn\n[02= sickly climate] khí hậu độc\n[02= sickly mell] mùi tanh làm buồn nôn\n- uỷ mị, ẻo lả, ốm yếu (tình cảm)\n[01* ngđtừ]\n- bao phủ một màu bệnh hoạn; bao phủ một màu tang tóc\n- làm cho bệnh hoạn
sickness [01/'siknis/]	[01* dtừ]\n- sự đau yếu; bệnh hoạn\n- bệnh\n[02= falling sickness] (cổ) bệnh động kinh\n- sự buồn nôn; sự nôn mửa
sickness benefit [01/'siknis'benifit/]	[01* dtừ]\n- trợ cấp ốm đau (do nhà nước trả) 
sick-out [01/'sikaut/]	[01* dtừ]\n- (Mỹ) cuộc đình công tập thể lấy cớ là ốm
sick-pay [01/'sik'pei/]	[01* dtừ]\n- tiền lương trả cho một nhân viên nghỉ ốm
sick-room [01/'sik'rum/]	[01* dtừ]\n- buồng bệnh
