artful [01/'ɑ:tful/]	[01* ttừ]\n- xảo quyệt, lắm mưu mẹo; tinh ranh\n- khéo léo (người) ; làm có nghệ thuật (đồ vật) 
artfully [01/'ɑ:tfuli/]	như [03artistically]
artfulness [01/'ɑ:tfulnis/]	[01* dtừ]\n- tính xảo quyệt, sự lắm mưu mẹo; sự tinh ranh\n- sự khéo léo
arthopodan [01/'a:θrə,pɔdən/]	[01* dtừ]\n- động vật chân khớp
arthral [01/'a:θrəl/]	[01* ttừ]\n- thuộc khớp
arthritic [01/ɑ:'θritik/]	[01* ttừ]\n- (y)(thuộc) viêm khớp
arthritically	- xem [03arthritis] 
arthritis [01/ɑ:'θraitis/]	[01* dtừ]\n- (y) viêm khớp
arthrobranchiae [01/,a:θrə'bræn,kiə/]	[01* dtừ]\n- (động vật) mang khớp
arthrodesis [01/a:'θrɔdisis/]	[01* dtừ] s/n [02arthrodeses]\n- (y) thủ thuật làm cứng khớp
arthrogenous [01/,a:θrə'dʒenəs/]	[01* ttừ]\n- tạo đốt; hình thành đốt; chia đốt
arthromere [01/'a:θrəmiə/]	[01* dtừ]\n- (sinh học) đốt khớp; đốt thân (động vật có chân đốt) 
arthropathy [01/a:'θrɔpəθi/]	[01* dtừ]\n- (y) bệnh khớp
arthrophyte [01/,a:θrə'fait/]	[01* dtừ]\n- thực vật phân đốt, có đốt
arthropod [01/'ɑ:θrəpɔd/]	[01* dtừ]\n- (động vật) động vật chân đốt
arthropodal [01/'a:θrə,pɔdəl/]	[01* ttừ]\n- có chân khớp
arthropodous	- xem [03arthropod] 
arthropterous [01/'a:θrɔpterəs/]	[01* ttừ]\n- có tia vây khớp, phân đốt
arthrosis [01/ɑ:'θrousis/]	[01* dtừ]\n- (phẫu) khớp
arthrospore [01/'a:θrə,spɔ:/]	[01* dtừ]\n- (thực vật) bào tử chia đôi, bào tử đốt
arthrostracous [01/,a:θrəs'trei∫əs/]	[01* ttừ]\n- có mảnh vỏ khớp
arthrous [01/'a:θrəs/]	[01* ttừ]\n- có khớp
artichoke [01/'ɑ:tit∫ouk/]	[01* dtừ]\n- (thực vật) cây atisô
article [01/'ɑ:tikl/]	[01* dtừ]\n- bài báo\n[02= leading article] bài xã luận\n- điều khoản, mục\n[02= articles of apprenticeship] điều khoản học việc (trong giao kèo)\n[02= article of faith] tín điều\n- đồ, thức, vật phẩm; hàng\n[02= articles of daily necessity] những thức cần thiết cho đời sống hằng ngày\n[02= an article of food] đồ ăn\n[02= an article of clothing] đồ mặc\n[02= article of luxury] hàng xa xỉ\n- (ngôn) mạo từ\n[02= definite article] mạo từ hạn định\n[02= indefinite article] mạo từ bất định\n[04! in the article of death]\n- lúc chết, lúc tắt thở\n[01* ngđtừ]\n- đặt thành điều khoản, đặt thành mục\n- cho học việc theo những điều khoản trong giao kèo\n[02= articled apprentice] người học việc theo giao kèo\n- (pháp lý) buộc tội; tố cáo\n[02= to article against someone for something] tố giác ai về việc gì; buộc tội ai về cái gì
article of faith	[01* dtừ]\n- điểm cơ bản trong tín ngưỡng tôn giáo của ai; tín điều; một niềm tin vững chắc
articulacy	- xem [03articulate] 
articular [01/ɑ:'tikjulə/]	[01* ttừ]\n- (thuộc) khớp
articularly	- xem [03articular] 
articulate [01/ɑ:'tikjulit/]	[01* ttừ]\n- có khớp, có đốt\n- đọc rõ ràng, phát âm rõ ràng\n- (kỹ) có bản lề; có khớp nối\n[01* đtừ]\n- nối bằng khớp; khớp lại với nhau\n- đọc rõ ràng; phát âm rõ ràng, nói rõ ràng
articulated vehicle [01/ɑ:'tikjulitid'vi:ikl/]	[01* dtừ]\n- xe có những đoạn nối nhau bằng khớp mềm dẻo để dễ quay
articulately [01/ɑ:'tikjulitli/]	[01* phtừ]\n- rõ ràng, rành mạch
articulateness [01/ɑ:'tikjulitnis/]	[01* dtừ]\n- sự phát âm rõ ràng và rành mạch
articulation [01/ɑ:,tikju'lei∫n/]	[01* dtừ]\n- (phẫu) khớp\n- sự nối bằng khớp; sự khớp lại với nhau\n- cách đọc rõ ràng; cách phát âm rõ ràng\n- phụ âm\n- (kỹ) trục bản lề\n- (kỹ) độ rõ (phát âm) ; khớp nối
articulation index	- (kỹ) độ nghe rõ
articulation testing	- (kỹ) thử độ rõ phát âm
articulatory	- xem [03articulation] 
artifact [01/'ɑ:tifækt/]	[01* dtừ]\n- sự giả tạo, giả tượng\n- <khcổ> đồ tạo tác (do người tiền sử tạo ra, để phân biệt với những đồ vật lấy sẵn trong thiên nhiên) 
artifactual	- xem [03artifact] 
artifice [01/'ɑ:tifis/]	[01* dtừ]\n- mẹo, mưu mẹo, gian ngoan, ngón gian xảo\n- tài khéo léo, kỹ xảo\n- cái được sáng chế ra một cách tài tình; cái được sáng chế tinh xảo
artificer [01/ɑ:'tifisə/]	[01* dtừ]\n- người sáng chế, người phát minh\n- thợ thủ công, thợ khéo\n- (qsự) thợ sửa chữa vũ khí\n- (hàng hải) thợ máy
artificial [01/,ɑ:ti'fi∫əl/]	[01* ttừ]\n- nhân tạo\n[02= artificial silk] lụa nhân tạo\n[02= artificial respiration] hô hấp nhân tạo\n- không tự nhiên, giả tạo; giả\n[02= artificial flowers] hoa giả\n[02= artificial smile] nụ cười giả tạo
artificial cognition	- (kỹ) nhận thức nhân tạo
artificial intelligence (AI)	- (kỹ) trí năng nhân tạo
artificial language	- (kỹ) ngôn ngữ nhân tạo
artificial line	- (kỹ) đường dây giả, đường dây nhân tạo
artificial voice	- (kỹ) tiếng nói nhân tạo/giả nhân
artificiality [01/,ɑ:tifi∫i'æliti/]	[01* dtừ]\n- tinh chất nhân tạo\n- tính chất không tự nhiên, tính chất giả tạo
artificialize [01/,ɑ:ti'fi∫əlaiz/]	[01* ngđtừ]\n- làm mất tự nhiên, làm thành giả tạo
artificially [01/,ɑ:ti'fi∫əli/]	[01* phtừ]\n- giả tạo, không tự nhiên, gượng gạo
artificialness [01/,ɑ:ti'fi∫əlnis/]	như [03artificiality]
artillerist [01/ɑ:'tilərist/]	như [03artilleryman]
artillery [01/ɑ:'tiləri/]	[01* dtừ]\n- (qsự) pháo\n[02= heavy artillery] trọng pháo\n- pháo binh\n- khoa nghiên cứu việc sử dụng pháo
