hers [01/hə:z/]	[01* đại từ sở hữu]\n- cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy\n[02= a friend of hers] một người bạn của cô ấy
herself [01/hə:'self/]	[01* đại từ phản thân]\n- tự nó, tự cô ta, tự chị ta, tự bà ta, tự mình\n[02= she hurt herself] cô ấy tư mình làm mình đau\n- chính nó, chính cô ta, chính chị ta, chính bà ta\n[02= she herself told me] chính cô ta đã nói với tôi\n[02= I should like to see Mrs B herself] tôi muốn được gặp đích thân bà B
hertz [01/hə:ts/]	[01* dtừ]\n- (lý) Héc
hertzian wave [01/'hə:tsiən'weiv/]	[01* dtừ]\n- (raddiô) sóng Héc
he's [01/hi:z/]	- (vt) của [02he is, he has] 
hesitance [01/'hezitəns/]	như [03hesitancy]
hesitancy [01/'hezitənsi/]	[01* dtừ]\n- sự tự do, sự ngập ngừng, sự lưỡng lự, sự không nhất quyết ((cũng) [03hesitation] ) 
hesitant [01/'hezitənt/]	[01* ttừ]\n- do dự, ngập ngừng, lưỡng lự, không nhất quyết
hesitantly [01/'hezitəntli/]	[01* phtừ]\n- do dự, ngại ngùng, lưỡng lự
hesitate [01/'heziteit/]	[01* nđtừ]\n- do dự, ngập ngừng, lưỡng lự, không nhất quyết
hesitatingly [01/'heziteitiɳli/]	[01* phtừ]\n- do dự, ngập ngừng, lưỡng lự, không nhất quyết
hesitation [01/,hezi'tei∫n/]	[01* dtừ]\n- (như) [03hesitance]\n- (Mỹ) sự nói ngắc ngứ, sự nói ấp úng
hesitative [01/'heziteitiv/]	như [03hesitant]
hesperian [01/hes'piəriən/]	[01* ttừ]\n- (thơ ca) ở phương tây, ở phương đoài
hesperidin [01/hes'peridin/]	[01* dtừ]\n- (hoá) hetperidin
hesperidium [01/,hespə'ridiəm/]	[01* dtừ] s/n [03hesperidia]\n- quả có múi
hesperus [01/'hespərəs/]	[01* dtừ]\n- sao Hôm
hessian [01/'hesiən/]	[01* dtừ]\n- vải bao bố (bằng gai, đay) 
hessian boots [01/'hesiən'bu:ts/]	[01* dtừ]\n- giày ống cao cổ
hessian fly [01/'hesiən'flai/]	[01* dtừ]\n- ruồi nhỏ (phá hoại mùa màng ở Mỹ) 
hessonite [01/'hesənait/]	[01* dtừ]\n- (khoáng) exonit
hest [01/hest/]	[01* dtừ]\n- (cổ)(như) [03behest] 
