lone hand	273-17933-B
lone wolf	273-18015-B
loneliness	273-18148-B
lonely	273-18263-B
lonely hearts	273-18302-B
loner	273-18425-B
lonesome	273-18493-B
lonesomeness	273-18688-B
long	273-18774-B,115-16660-S,226-6221-S,303-13693-S,517-12204-S
long acting	274-1637-B
long ago	274-1721-B
long awaited	274-2258-B
long barrelled	274-2408-B
long bill	274-2484-B
long bond	274-2626-B
long bone	274-2710-B
long case clock	274-2914-B
long cherished	274-2998-B
long clothes	274-3138-B
long coats	273-21567-B
long decayed	274-3226-B
long descended	274-3294-B
long distance	274-3380-B
long division	273-21637-B
long dozen	273-21718-B
long drawn	274-3454-B
long drawn out	274-3582-B
long drink	273-21774-B
long eared	274-3821-B
long ears	273-21866-B
long face	273-21925-B
long finger	273-22006-B
long flame	273-22071-B
long focus	273-22134-B
long greens	273-22203-B
long hair	273-22279-B,274-4283-B
long haired	274-4331-B
long haul	273-22463-B
long headed	274-4577-B
long hop	273-22889-B
long house	273-22987-B
long hundred weight	273-23061-B
long johns	273-23202-B
long jump	273-23260-B
long legs	113-4355-S
long life	274-5409-B
long limbed	274-5523-B
long lived	274-5587-B
long liver	274-5643-B
long odds	273-23329-B
long pig	273-23438-B
long playing	273-23561-B,274-5802-B
long pull	273-23687-B
long range	274-5963-B
long run	273-23784-B
long service	273-23833-B
long shot	273-23911-B
long sight	273-24123-B
long sighted	274-6372-B
long sightedness	274-6477-B
long since	274-0-B
long sleeved	274-6605-B
long standing	274-6872-B
long staple	274-357-B
long suffering	274-7111-B
long suit	274-424-B
long tailed	274-534-B
long term	274-7208-B
long time	274-7285-B
long timer	274-601-B
long tom	274-757-B
long ton	274-834-B
long tongued	274-7348-B
long trousers	274-918-B
long vacation	274-985-B
long view	274-1092-B
long waisted	274-1198-B
long wall	274-1285-B
long wave	274-1435-B,274-7520-B
long weekend	274-1519-B
long winded	274-7635-B
long windedness	274-7720-B
long wooled	274-7867-B
longan	274-1971-B
longanimity	274-2051-B
longanimous	274-2186-B
longboat	274-2556-B
longbow	274-2766-B
longbowman	274-2842-B
longdrawnout	274-3519-B
longe	274-3757-B
longer	274-3876-B
longeron	274-4008-B
longest	274-4071-B
longeval	274-4093-B
longevity	274-4157-B
longevous	274-4219-B
longhand	274-4487-B
longhole	274-4677-B
longicaudal	274-4741-B
longicorn	274-4807-B
longing	274-4867-B
longingly	274-4953-B
longingness	274-5021-B
longish	274-5134-B
longitude	274-5184-B
longitudinal	274-5268-B
longitudinally	274-5346-B
longobard	274-5709-B
longprimer	274-5913-B
longshore	274-6066-B
longshoreman	274-6181-B
longsome	274-6676-B
longsomeness	274-6787-B
longstop	274-7008-B
longue	73-16307-S
longueur	274-7430-B
longways	274-7555-B
longwise	274-7823-B
loo	274-7936-B
looby	274-8008-B
loofah	274-8084-B
looie	274-8148-B
look	274-8207-B,302-19520-S
look alike	274-14998-B
look down radar	274-15107-B
look in	274-15622-B
look out	274-15989-B
look over	274-16658-B
look see	274-16744-B
look through	274-16881-B
look up	274-16968-B
looker	274-15206-B,46-22376-S,204-19355-S
looker on	274-15332-B
lookers on	274-15574-B
lookie	514-6195-S
looking	188-6007-S,204-19430-S,232-10788-S,303-4579-S,310-2224-S,310-3202-S,518-829-S
looking for	274-15832-B
looking glass	274-15928-B
looks	204-17118-S
lookup	274-17034-B
loom	274-17161-B,214-20784-S,254-5265-S,355-24401-S,403-765-S
loom state	274-17678-B
loomery	274-17618-B
loon	274-17744-B
loony	274-17961-B
loony bin	274-18055-B
loop	274-18125-B,83-8093-S,83-8239-S,90-2933-S,103-23067-S,151-17077-S,154-7412-S,154-7476-S,165-3472-S,174-2446-S,314-16072-S,418-17956-S
loop aerial	274-18862-B
loop antenna	274-18672-B
loop carrier system	128-13501-S
loop coupled	274-18734-B
loop hole	274-19107-B
loop light	274-19284-B
loop line	274-19349-B
loop stitch	274-19476-B
loop worm	274-18809-B
looped	274-18932-B
looper	274-18986-B
loopy	274-19557-B
loose	274-19678-B,185-21843-S
loose bodied	274-23048-B
loose box	274-23132-B
loose change	274-22182-B
loose covers	274-22256-B
loose end	274-22344-B
loose fitting	274-23226-B
loose joined	274-22637-B
loose leaf	274-23314-B
loose limbed	274-22911-B
loose tongued	274-24836-B
loosely	274-23483-B
loosen	274-23556-B
looseness	274-24009-B
loosening	274-24607-B
loosestrife	274-24736-B
loot	274-24913-B
looter	274-25214-B
lop	274-25253-B
lop eared	274-25956-B
lop sided	274-26547-B
lop sidedness	274-26655-B
lope	274-25702-B
lope eared	274-25828-B
lope ears	274-25890-B
lophobranch	274-26021-B
lophodont	274-26105-B
lophophore	274-26187-B
lopper	274-26279-B
lopping	274-26316-B
loppy	274-26484-B
lopstick	274-26776-B
loquacious	274-26878-B
loquaciously	274-26998-B
loquaciousness	274-27073-B
loquacity	274-27131-B
loquat	274-27179-B
lor	274-27260-B
loran	274-27326-B
lorcha	274-27454-B
lord	274-27538-B,103-340-S,265-20491-S,406-19813-S,514-30039-S
lord advocate	274-28579-B
lord chamberlain	274-28666-B
lord chancellor	274-28771-B
lord chief justice	274-28869-B
lord high admiral	274-28976-B
lord high chancellor	274-29066-B
lord in waiting	274-29709-B
lord justice	274-29158-B
lord justiceof appeal	274-29241-B
lord lieutenant	274-29349-B
lord president	274-29419-B
lord president of the council	274-29515-B
lord protector	274-29636-B
lord s day	274-30283-B
lord s prayer	274-30345-B
lord s table	274-30607-B
lordliness	274-29796-B
lordling	274-29925-B
lordly	274-30000-B
lordosis	274-30147-B
lordotic	274-30212-B
lords	226-10101-S
lords spiritual	274-30468-B
lords temporal	274-30668-B
lordship	274-30822-B
lore	274-31128-B,55-614-S
lorgnette	274-31424-B
lorgnon	274-31505-B
lorica	274-31582-B
loricate	274-31721-B
lorication	274-31803-B
lorikeet	274-31919-B
lorimer	274-31991-B
loriner	274-32100-B
loriot	274-32156-B
loris	274-32209-B
lorn	274-32312-B,275-15946-S
lornness	275-16046-S
