mouse-hole [01/'maushoul/]	[01* dtừ]\n- hang chuột
moveableness [01/'mu:vəblnis/]	[01* dtừ]\n- tính di động, tính có thể di chuyển
moveless [01/mu:vlis/]	[01* ttừ]\n- bất động, cứng đờ, chết cứng
movement [01/'mu:vmənt/]	[01* dtừ]\n- sự chuyển động, sự vận động, sự cử động, sự hoạt động\n[02= to lay without movement] bất động\n[02= to play lacks movement] vở kịch thiếu hẳn sự hoạt động\n- động tác, cử động\n[02= a graceful movement] một động tác duyên dáng\n- hoạt động, hành động (của một người, một nhóm)\n[02= to watch someone's movements] theo dõi hoạt động của ai\n- (qsự) sự di chuyển, sự vận động\n- phong trào, cuộc vận động\n[02= the national liberation movement] phong trào giải phóng dân tộc\n[02= the movement of patriotic emulation] phong trào thi đua yêu nước\n- bộ phận hoạt động (của một bộ máy)\n[02= the movement of a clock] bộ phận hoạt động của đồng hồ\n- tình cảm, mối cảm kích, mối xúc động\n[02= a movement of anfer] cơn giận\n- (âm nhạc) phần\n[02= the first movement of a symphony] phần thứ nhất của bản giao hưởng\n- sự tiến triển (của một bài thơ, một câu chuyện...)\n- sự biến động (của thị trường...)\n- sự đi ngoài, sự ra ỉa
mover [01/'mu:və/]	[01* dtừ]\n- động cơ, động lực\n[02= prime mover] động lực đầu tiên; nguồn năng lượng\n- người đề xuất ý kiến, người đưa ra đề nghị
movie [01/'mu:vi/]	[01* dtừ]\n- (tục) phim xi nê\n- rạp chiếu bóng\n- (số nhiều) ngành phim ảnh; nghệ thuật phim xi nê\n[02= to go to the movies] đi xem phim
movie house [01/'mu:vihaus/]	[01* dtừ]\n- (Mỹ),(tục) rạp chiếu bóng
moviedom	[01* dtừ]\n- như [03filmdom] 
moviegoer [01/'mu:vi,gouə/]	[01* dtừ]\n- người đi xem chiếu bóng
moviegoing [01/'mu:vi,gouiη/]	[01* dtừ]\n- sự đi xem chiếu bóng
movieland [01/'mu:vilænd/]	[01* dtừ]\n- nơi sản xuất nhiều phim\n- công nghiệp phim
moviemaker [01/'mu:vi,meikə/]	[01* dtừ]\n- nhà sản xuất nhiều phim\n- nhà đạo diễn phim
moving [01/'mu:viη/]	[01* ttừ]\n- động, hoạt động\n- cảm động, gợi mối thương tâm, làm mủi lòng\n[02= a moving sight] một cảnh thương tâm
moving picture [01/'mu:viɳ'piktʃə/]	[01* dtừ]\n- (Mỹ) phim điện ảnh
moving staircase [01/'mu:viη'steəkeis/]	[01* dtừ]\n- cầu thang tự động
movingly [01/'mu:viηli/]	[01* trạng từ]\n- xem [03moving] 
movingness [01/'mu:viηnis/]	[01* dtừ]\n- xem [03moving]\n- chỉ tính chất
mow [01/mou/]	[01* dtừ]\n- đống, đụn (rơm, rạ, cỏ khô) ; cót, cây (thóc)\n- nơi để rơm rạ\n[01* dtừ]\n- cái bĩu môi, cái nhăn mặt\n[01* nđtừ]\n- bĩu môi, nhăn mặt\n[01* ngđtừ mowed; mowed; mown]\n- cắt, gặt (bằng liềm, hái)\n[04! to mow down]\n[04! to mow off]\n- cắt (cỏ)\n- (bóng) hạ xuống như rạ, tàn sát, làm chết như rạ (bệnh dịch...) 
mower [01/'mouə/]	[01* dtừ]\n- thợ cắt, thợ gặt\n- máy cắt, máy gặt
mowing-machine [01/'mouiηmə,∫i:n/]	[01* dtừ]\n- máy cắt, máy gặt
mown [01/moun/]	[01* động tính từ quá khứ của] [03mow] 
moxa [01/'mɔksə/]	[01* dtừ]\n- bông để cứu (đốt da)\n- cây ngải cứu
moxie [01/'mɔksi/]	[01* dtừ]\n- (lóng) tính sôi nổi; tính sinh động\n- sự can đảm, sự gan dạ
mozzarella [01/mɒtsə'relə/]	[01* dtừ]\n- một loại phó mát của ý
MP [01/'empi:/]	[01* dtừ]\n- nghị sĩ (Member of Parliament)\n- quân cảnh (military police)\n- cảnh sát di chuyển bằng ngựa (mounted police) 
mpc	- Tiêu chuẩn đối với phần cứng và phần mềm đa phương tiện do MPC Consortium cùng hợp tác xây dựng
mpg [01/,empi'dʒi:/]	- dặm/galông (mile per gallon) 
mph [01/,em pi: 'eitʃ/]	- (vt) [03miles per hour]+ dặm mỗi giờ
MPhil [01/em'fil/]	- thạc sĩ triết học (Master of Philosophy)\n[02= to be an MPhil in history] là thạc sĩ sử học
Mr [01/'mistə/]	[01* dtừ]\n- vt của [03mister] 
MRBM [01/em a: bi: 'em/]	- tên lửa đạn đạo tầm trung (medium - range ballistic missile) 
MRC [01/,em a: 'si:/]	- (vt)(Anh) [03Medical Research Council] + Hội đồng nghiên cứu y học
Mrs [01/'misiz/]	[01* dtừ]\n- vt của [03mistress] 
Ms [01/'miz/]	- Microsoft
MSc [01/,em es 'si:/]	- thạc sĩ khoa học (Master of Science)\n[02= to have an MSc in mathematics] có bằng thạc sĩ toán học\n[02= to be an MSc in theoretical physics] là thạc sĩ vật lý lý thuyết
MS-DOS [01/emes'dɒs/]	- viết tắt của [03Microsoft Disk Operating System] 
mss	[01* (vt), số nhiều là MSS]\n- bản thảo ([03manuscript] ) 
MST [01/,em es'ti:/]	- giờ tiêu chuẩn vùng núi (Mountain Standard Time) 
mt	[01* dtừúi (mount)]\n- núi (mount) 
mth	- (vt)(Mỹ mo)(số nhiều mths; Mỹ mos) [03month] + tháng, 6 mths old + 5 tháng tuổi
mu	- muy (à) 
mu ltiplicative	- nhân
much [01/mʌt∫/]	[01* ttừ more; most]\n- nhiều, lắm\n[02= much water] nhiều nước\n[02= much time] nhiều thì giờ\n[02= there is so much pleasure in reading] đọc sách rất thú vị\n[04! to be too much for]\n- không địch nổi (người nào về sức mạnh)\n[01* phtừ]\n- nhiều, lắm\n[02= I found him much altered] tôi thấy hắn thay đổi nhiều\n- hầu như\n[02= much of a size] hầu như cùng một cỡ\n[04! much the same]\n- như nhau, chẳng khác gì nhau\n[02= they are much the same in arithmetic] về môn số học thì chúng nó cũng như nhau\n[04! twice (three times...) as much]\n- bằng hai (ba...) chừng nầy, gấp hai (ba...) thế\n[02= you can take twice as much] anh có thể lấy gấp hai thế\n[04! not so much as]\n- ngay cả đến... cũng không\n[02= he never so much as touched a book] ngay đến quyển sách nó cũng không bao giờ mó đến\n[01* dtừ]\n- nhiều lắm, phần nhiều, phần lớn\n[02= much of what your say is true] phần lớn những điều anh nói là đúng sự thật\n[04! to make much of]\n- lợi dụng nhiều được\n- coi trọng\n[04! to think much of]\n- coi trọng, đánh giá cao\n[04! to be not much of a musician]\n- là một nhạc sĩ chẳng có tài gì lắm\n[04! that much]\n- chừng ấy, chừng nấy\n[02= I have only done that much so far] cho đến bây giờ tôi mới làm được chừng nấy\n[04! this much]\n- chừng này
muchness [01/'mʌt∫nis/]	[01* dtừ]\n- to be much of a muchness như nhau, chẳng khác gì nhau, cũng thế thôi
mucilage [01/'mju:silidʒ/]	[01* dtừ]\n- (sinh vật) chất nhầy
mucilaginous [01/,mju:si'lædʒinəs/]	[01* ttừ]\n- (sinh vật) nhầy
muck [01/mʌk/]	[01* dtừ]\n- phân chuồng\n- (tục) rác rưởi; đồ ô uế, đồ nhớp nhúa, đồ kinh tởm\n- (tục) tình trạng bẩn tưởi\n[02= ti be all a muck; to be in a muck] bẩn tưởi\n- tạp chất (ở quặng)\n[04! to be all of a muck of sweat]\n- nhớp nháp mồ hôi, đẫm mồ hôi\n[04! to make a muck of]\n- làm bẩn, làm nhơ, làm hỏng\n[01* ngđtừ]\n- làm bẩn, làm nhơ\n[02= to muck one's hands] làm bẩn tay\n- (tục)(+ up) làm hư, làm hỏng, phá rối\n[02= to muck up one's aải] làm hỏng việc, làm rối việc\n- lấy hết tạp chất (ở quặng)\n[01* nđtừ (lóng)]\n- (+[04 about]) đi lêu lổng\n- làm những việc vô ích
mucker [01/'mʌkə/]	[01* dtừ]\n- (lóng) cái ngã\n[02= to come a mucker] ngã, thất bại\n- người thô lỗ\n[04! to go a mucker]\n- tiêu liều, xài phí; mắc nợ đìa ra
muckle [01/'mʌkl/]	như [03mickle]
muck-rake [01/'mʌkreik/]	[01* dtừ]\n- cái cào phân, cái cào bùn
muckspreader [01/mʌk'spreader/]	[01* dtừ]\n- máy dùng để bón phân
muckup [01/'mʌkʌp/]	- xem [03muck-up] 
muck-up [01/'mʌkʌp/]	[01* dtừ]\n- tình trạng lộn xộn, bẩn thỉu
muckworm [01/'mʌkwə:m/]	[01* dtừ]\n- giòi (ở phân)\n- kẻ hà tiện, kẻ keo kiệt, kẻ bủn xỉn, kẻ biển lận\n- đứa bé cầu bơ cầu bất, đứa bé lang thang đầu đường xó chợ
mucky [01/'mʌki/]	[01* ttừ]\n- bẩn thỉu, nhớp nhúa
mucosity [01/mju:'kɔsiti/]	[01* dtừ]\n- chất nhớt
mucous [01/'mju:kəs/]	[01* ttừ]\n- nhầy\n[02= the mucous membrane] màng nhầy
mucus [01/'mju:kəs/]	[01* dtừ]\n- nước nhầy
mud [01/mʌd/]	[01* dtừ]\n- bùn (đen & bóng)\n[02= to fling mud at somebody] ném bùn vào ai; (bóng) nói xấu ai, bôi nhọ ai\n[04! to stick in the mud]\n- bảo thủ; chậm tiến, lạc hậu\n[01* ngđtừ]\n- vấy bùn, trát bùn lên\n- làm đục, khuấy đục\n[01* nđtừ]\n- chui xuống bùn
mud flat [01/'mʌdflæt/]	[01* dtừ]\n- bâi đất lầy thoai thoải; lòng hồ cạn
mud hut [01/'mʌd,hʌt/]	[01* dtừ]\n- túp lều đơn sơ đắp bằng bùn khô cứng
mud pack [01/'mʌdpæk/]	[01* dtừ]\n- mỹ phẩm dưỡng da dưới dạng bột nhão
mud-bath [01/'mʌdbɑ:θ/]	[01* dtừ]\n- (y) sự tắm bùn (để chữa bệnh tê thấp) 
mudded [01/mʌdid/]	[01* ttừ]\n- bị vấy bùn, bị bôi bẩn
muddily [01/mʌdili/]	[01* trạng từ]\n- một cách tù mù/không rõ ràng\n- bẩn, vẩn đục
muddiness [01/'mʌdinis/]	[01* dtừ]\n- tình trạng lầy lội, tình trạng bẩn thỉu, tình trạng nhớp nhúa\n- trạng thái xám xịt; trạng thái đục ngầu, trạng thái vẩn đục\n- tính đần độn, tính u mê, tính ngu đần
