surveyor [01/sə:'veiə/]	[01* dtừ]\n- viên thanh tra, người kiểm sát\n- (Mỹ) nhân viên thuế quan (chuyên kiểm sát số lượng và giá trị hàng nhập)\n- người chuyên vẽ bản đồ địa hình
surveyor-level [01/'sə:veiə'levəl/]	[01* dtừ]\n- máy thủy chuẩn
surveyorship [01/sə:'veiə∫ip/]	[01* dtừ]\n- chức thanh tra
survival [01/sə'vaivl/]	[01* dtừ]\n- sự sống sót\n- người còn lại; vật sót lại (của một thời kỳ đã qua) ; tàn dư, tan tích\n[04! survival of the fittes]\n- (sinh vật) sự sống sót của các cá thể thích nghi (trong chọn lọc tự nhiên) ; quá trình chọn lọc tự nhiên\n- sự khôn sống mống chết
survive [01/sə'vaiv/]	[01* ngđtừ]\n- sống lâu hơn\n[02= to survive one's contemporaries] sống lâu hơn những người cùng thời\n- sống qua, qua khỏi được\n[02= to survive all perils] sống qua mọi sự nguy hiểm\n[01* nđtừ]\n- sống sót, còn lại, tồn tại
survivor [01/sə'vaivə/]	[01* dtừ]\n- người sống sót
survivorship [01/sə'vaivə∫ip/]	[01* dtừ]\n- tình trạng là người sống sót\n- (pháp lý) quyền kiêm hưởng (của người cùng thuê sau khi người kia đã chết) 
sus [01/sʌs/]	như [03suss]
susceptance [01/sə'septəns/]	[01* dtừ]\n- điện nạp\n[02= inductive susceptance] điện nạp cảm tính
susceptibility [01/sə,septə'biləti/]	[01* dtừ]\n- tính nhạy cảm, tính dễ xúc cảm\n- (số nhiều) điểm dễ bị chạm nọc
susceptible [01/sə'septəbl/]	[01* ttừ]\n- dễ bị; dễ mắc; dễ bị ảnh hưởng; dễ bị tổn thương\n- nhạy cảm; dễ xúc cảm; dễ bị ảnh hưởng bởi tình cảm\n- có thể chịu đựng; có thể được
susceptibleness [01/sə'septiblnis/]	[01* dtừ]\n- xem [03susceptibility] 
susceptibly [01/sə'septibli/]	[01* phtừ]\n- xem [03susceptible] 
susceptive [01/sə'septiv/]	[01* ttừ]\n- nhận cảm; nhạy cảm
susceptivity [01/səsep'tiviti/]	[01* dtừ]\n- khả năng cảm nhận; tính nhạy cảm
susi [01/'su:si/]	[01* dtừ]\n- vải sọc (Ân độ) 
suspect [01/sə'spekt/]	[01* ttừ]\n- đáng ngờ, khả nghi; bị tình nghi\n[01* dtừ]\n- người khả nghi; người bị tình nghi\n[01* ngđtừ]\n- nghi, ngờ, nghi ngờ, hoài nghi\n[02= to suspect danger] ngờ có nguy hiểm\n[02= to suspect somebody of a crime] nghi người nào phạm tội\n[02= to suspect the authenticity of the evidence] hoài nghi tính xác thực của chứng cớ
suspecter [01/sə'spektə/]	[01* dtừ]\n- người ngờ vực
suspend [01/sə'spend/]	[01* ngđtừ]\n- treo lơ lửng\n- đình chỉ, hoãn; treo giò (ai)\n[02= to suspend a newspaper] đình bản một tờ báo\n[02= to suspend a judgement] hoãn xét xử
suspend animation	[01* dtừ]\n- sự chết giả; tình trạng sống mà không có ý thức
suspended [01/sə'spendid/]	[01* ttừ]\n- lơ lửng; huyền phù\n[02= suspended sentence] án tù treo; án treo
suspended animation [01/sə'spendid,æni'mei∫n/]	[01* dtừ]\n- tình trạng sống nhưng không có ý thức; chết giả\n[02= the whole project is in suspended animation while we wait for permission to proceed] toàn bộ đề án đang bị treo giò trong khi chúng tôi đợi giấy phép khởi công
suspender [01/sə'spendə/]	[01* dtừ]\n- cái móc treo\n- (số nhiều) dây đeo quần; dây móc bít tất
suspender belt [01/sə'spendə'belt/]	[01* dtừ]\n- đai để móc bít tất (đồ lót của phụ nữ giống như cái thắt lưng đeo quanh eo, có dây để treo giữ căng bít tất) 
suspense [01/sə'spens/]	[01* dtừ]\n- tình trạng chờ đợi, tình trạng hồi hộp, tình trạng chưa quyết định\n[02= to keep somebody in suspense] để ai trong tình trạng chờ đợi\n- (pháp lý) sự tạm hoãn, sự đình chỉ; sự treo quyền
suspensibility [01/sə,spensi'biləti/]	[01* dtừ]\n- sự có thể treo được
suspensible [01/sə'spensibl/]	[01* ttừ]\n- có thể treo được
suspension [01/sə'spen∫n/]	[01* dtừ]\n- sự treo\n- sự đình chỉ, sự ngưng lại; sự đình chỉ công tác; sự đình bản (một tờ báo...)\n[02= suspension of hostilities] sự đình chiến\n- (hoá) thể vẩn
suspension bridge [01/sə'spen∫n'bridʒ/]	[01* dtừ]\n- cầu treo
suspension point [01/sə'spen∫n'pɔint/]	[01* dtừ]\n- dấu chấm lửng
suspension railway [01/səs'pen∫n'reilwei/]	[01* dtừ]\n- đường xe lửa trên giá cao
suspensive [01/sə'spensiv/]	[01* ttừ]\n- tạm thời; tạm đình\n[02= suspensive veto] sự phủ quyết tạm thời\n- lưỡng lự, do dự, không quyết định
suspensively [01/sə'spensivli/]	[01* phtừ]\n- xem [03suspensive] 
suspensoid [01/sə'spensɔid/]	[01* ttừ]\n- dạng treo; lơ lửng; huyền phù\n[01* dtừ]\n- thể dạng treo; lơ lửng; huyền phù
suspensor [01/sə'spensə/]	[01* dtừ]\n- dây treo\n- (sinh học) cuống noãn
suspensory [01/sə'spensəri/]	[01* ttừ]\n- treo\n[02= suspensory bandage] băng treo
suspensory ligament [01/sə'spensəri'ligəmənt/]	[01* dtừ]\n-(phẫu) dầy treo
suspicion [01/sə'spi∫n/]	[01* dtừ]\n- sự ngờ, sự nghi ngờ, sự ngờ vực\n[02= his honesty is above suspicion] tính chân thật của anh ta thì không ai còn có thể nghi ngờ\n[02= on suspicion] vì nghi ngờ, vì ngờ vực\n[02= under suspicion] bị nghi ngờ\n- tí, chút\n[02= a suspicion of pepper] một tí hạt tiêu\n[01* ngđtừ]\n- (tiếng địa phương) nghi ngờ, ngờ vực
suspicional [01/sə'spi∫nəl/]	[01* ttừ]\n- thuộc nghi ngờ; ngờ vực
suspicious [01/sə'spi∫əs/]	[01* ttừ]\n- đáng ngờ, khả nghi; ám muội, mập mờ (thái độ...)\n[02= under suspicious circumstances] trong những điều kiện đáng ngờ\n- đa nghi, hay nghi ngờ, hay ngờ vực
