responsions [01/ri'spɔn∫ənz/]	[01* dtừ s/n]\n- kỳ thi ngày xưa yêu cầu để vào trường đại học Oxford
restif [01/'restif/]	[01* ttừ]\n- xem [03restive] 
restiform [01/'restifɔ:m/]	[01* ttừ]\n- dạng thừng
resting [01/'restiη/]	[01* ttừ]\n- (thực vật) nghỉ ngơi; có vẻ không sinh trưởng; (sinh vật) không hoạt động tích cực\n[02= resting nerve cell] tế bào não không hoạt động tích cực
resting-place [01/'restiηpleis/]	[01* dtừ]\n- nơi nghỉ ngơi\n[02= one's last resting-place] nơi nghỉ cuối cùng, nấm mồ
resting-spore [01/'restiη,spɔ:/]	[01* dtừ]\n- (thực vật) bào tử nghỉ ngơi
restitute [01/'restitju:t/]	[01* đtừ]\n- (nghĩa hiếm) hoàn lại\n- bồi thường\n- hồi phục
restitution [01/,resti'tju:∫n/]	[01* dtừ]\n- sự hoàn lại, sự trả lại (vật bí mật) ; sự bồi thường\n[02= to make restitution] bồi thường\n- (lý) sự hồi phục (trạng thái cũ) 
restive [01/'restiv/]	[01* ttừ]\n- khó bảo; ngang bướng, cứng đầu cứng cổ (người)\n- bất kham (ngựa) 
restively [01/'restivli/]	[01* phtừ]\n- không yên, bồn chồn\n- khó bảo, khó dạy; ngang bướng, cứng đầu cứng cổ (người)\n- bất kham, khó dạy (ngựa) 
restiveness [01/'restivnis/]	[01* dtừ]\n- tính khó bảo; tính ngang bướng, tính cứng đầu cứng cổ (người)\n- tính bất kham (ngựa) 
restless [01/'restlis/]	[01* ttừ]\n- không nghỉ, không ngừng\n- không yên, luôn luôn động đậy, hiếu động\n- không nghỉ được, không ngủ được, thao thức; bồn chồn, áy náy\n[02= a restless night] một đêm thao thức\n[02= he looked restless all the time] anh ta trông có vẻ bồn chồn sốt ruột
restlessly [01/'restlisli/]	[01* phtừ]\n- không ngừng, không nghỉ\n- không nghỉ được, không ngủ được, thao thức\n- bồn chồn, áy náy, không yên, luôn luôn động đậy, hiếu động
restlessness [01/'restlisnis/]	[01* dtừ]\n- sự không nghỉ\n- sự luôn luôn động đậy, sự hiếu động\n- sự không ngủ được, sự thao thức; sự bồn chồn, sự áy náy
restock [01/,ri:'stɔk/]	[01* ngđtừ]\n- chứa đầy (bằng những thứ mới, thứ khác để thay thế những thứ đã bán, đã dùng)\n- bổ sung, cung cấp thêm
restorable [01/ris'tɔ:rəbl/]	[01* ttừ]\n- có thể hồi phục lại; có thể khôi phục lại
restoration [01/,restə'rei∫n/]	[01* dtừ]\n- sự hoàn lại, sự trả lại (vật gì mất)\n- sự sửa chữa, sự tu bổ lại; sự xây dựng lại như cũ\n- sự phục hồi (chức vị...)\n- sự khôi phục, sự hồi phục; sự lập lại\n[02= the restoration of health] sự hồi phục sức khoẻ\n[02= the restoration of peace] sự lập lại hoà bình\n- (the restoration) thời kỳ khôi phục chế độ quân chủ (ở Anh, 1660)\n- hình tạo lại (của một con vật đã tuyệt giống, của một công trình xây dựng đã đổ nát) 
restorationism [01/,restə'rei∫nizm/]	[01* dtừ]\n- thuyết thượng đế cứu vớt mọi người (cả người phạm tội lỗi) 
restorationist [01/,restə'rei∫nist/]	[01* dtừ]\n- người theo restorationism
restorative [01/ri'stɔ:rətiv/]	[01* ttừ]\n- làm hồi phục sức khoẻ; bổ\n- làm hổi tỉnh lại\n[01* dtừ]\n- thuốc bổ; thức ăn bổ\n- thuốc làm hồi tỉnh lại
re-store [01/'ri:stɔ:/]	[01* ngđtừ]\n- lại tích trữ
restore [01/ri'stɔ:/]	[01* ngđtừ]\n- hoàn lại, trả lại\n[02= to restore something to someone] trả lại vật gì cho ai\n- sửa chữa lại, phục hồi lại, xây dựng lại như cũ (toà nhà, bức tranh...)\n- phục (chức)\n[02= to restore someone to his former post] phục hồi lại chức vị cho người nào\n- đặt lại chỗ cũ\n[02= to restore something to its place] đặt lại vật gì vào chỗ cũ\n- khôi phục lại, hồi phục (sức khoẻ...) ; lập lại\n[02= to restore one's health] hồi phục sức khoẻ\n[02= to restore peace] lập lại hoà bình\n- tạo lại (hình dạng của một con vật đã tuyệt giống, một công trình xây dựng đã đổ nát) 
restorer [01/ris'tɔ:rə/]	[01* dtừ]\n- người hoàn lại, người trả lại\n- người sửa chữa, người tu sửa lại như cũ (một bức tranh...)\n- người khôi phục lại; cái làm hồi phục lại ((thường) trong từ ghép)\n[02= hair restorer] thuốc mọc tóc\n- (kỹ) máy hồi phục
re-strain [01/'ri:'strein/]	[01* ngđtừ]\n- căng lại
restrain [01/ri'strein/]	[01* ngđtừ]\n- ngăn trở; cản trở, ngăn giữ\n[02= to restrain someone from doing harm] ngăn giữ ai gây tai hại\n- kiếm chế, nén, dằn lại; hạn chế\n[02= to restrain one's stemper] nén giận\n[02= to restrain oneself] tự kiềm chế mình\n- cầm giữ, giam (những người bị bệnh thần kinh) 
restrained [01/ris'treind/]	[01* ttừ]\n- bị kiềm chế, bị nén lại, bị dằn lại; tự chủ được\n[02= restrained anger] cơn giận bị nén lại\n- dè dặt, thận trọng\n[02= in restrained terms] bằng những lời lẽ dè dặt\n- giản dị; có chừng mực, không quá đáng (văn)\n[02= restrained style] văn giản dị; văn có chừng mực
restrainer [01/ri:'streinə/]	[01* dtừ]\n- chất hãm (hiện ảnh) 
restraint [01/ri'streint/]	[01* dtừ]\n- sự ngăn giữ, sự kiềm chế\n[02= to put a restraint on someone] kiềm chế ai\n- sự hạn chế, sự gò bó, sự câu thúc\n[02= the restraints of poverty] những sự câu thúc của cảnh nghèo\n- sự gian giữ (người bị bệnh thần kinh)\n- sự dè dặt, sự giữ gìn, sự thận trọng, sự kín đáo\n[02= to speak without restraint] ăn nói không giữ gìn, ăn nói sỗ sàng\n[02= to fling aside all restraint] không còn dè dặt giữ gìn già cả\n- sự giản dị; sự có chừng mực, sự không quá đáng (văn)\n- sự tự chủ được, sự tự kiềm chế được
re-strengthen [01/ri:'streηθən/]	[01* ngđtừ]\n- củng cố thêm; tăng cường thêm
restrict [01/ri'strikt/]	[01* ngđtừ]\n- hạn chế, giới hạn, thu hẹp\n[02= to restrict the use of alcohol] hạn chế việc dùng rượu\n[02= to be restricted to a diet] phải ăn kiêng
restricted [01/ris'triktid/]	[01* ttừ]\n- bị hạn chế, bị giới hạn, bị thu hẹp
restriction [01/ri'strik∫n/]	[01* dtừ]\n- sự hạn chế, sự giới hạn, sự thu hẹp\n[02= without restriction] không hạn chế\n[02= to impose restrictions] buộc phải hạn chế, bắt phải giới hạn\n[02= to lift restriction] bãi bỏ những hạn chế
restrictionism [01/ris'trik∫nizm/]	[01* dtừ]\n- chính sách hạn chế (thương nghiệp) 
restrictionist [01/ris'trik∫nist/]	[01* ttừ]\n- thuộc restrictionism\n[01* dtừ]\n- người theo restrictionism
restrictive [01/ri'striktiv/]	[01* ttừ]\n- hạn chế, giới hạn, thu hẹp\n[02= restrictive practices] biện pháp hạn chế (sản xuất công nghiệp...) 
restrictive practices [01/ri'striktiv'præktisiz/]	[01* dtừ]\n- các biện pháp chế tài (cản trở hiệu quả sản xuất trong (công nghiệp)) 
restrictively [01/ri'striktivli/]	[01* phtừ]\n- hạn chế, giới hạn\n- (ngôn) hạn định (một mệnh đề, cụm từ quan hệ) 
restrictiveness [01/ri'striktivnis/]	[01* dtừ]\n- sự hạn chế, sự giới hạn\n- (ngôn) sự hạn định (một mệnh đề, một cụm từ quan hệ) 
restrike [01/'ri:,straik/]	[01* dtừ]\n- đồng tiền hay huy hiệu dập theo một mẫu trước đây
rest-room [01/'rest'rum/]	[01* dtừ]\n- nhà vệ sinh công cộng (tại rạp hát, cửa hàng) 
restructure [01/,ri:'strʌkt∫ə/]	[01* ngđtừ]\n- cơ cấu lại; tổ chức lại; sắp xếp lại
restructuring [01/,ri:'strʌktəriη/]	[01* dtừ]\n- sự tổ chức lại, sự cơ cấu lại, sự sắp xếp lại
rest-stop [01/rest stɔp/]	[01* dtừ]\n- như [03lay-by] 
resublime [01/ri:sə'blaim/]	[01* ngđtừ]\n- thăng hoa; tái thăng hoa
resubmit [01/ri:sʌb'mit/]	[01* ngđtừ]\n- lại phục tùng\n- lại đưa ra đề nghị
result [01/ri'zʌlt/]	[01* dtừ]\n- kết quả\n[02= without result] không có kết quả\n- (toán) đáp số\n[01* nđtừ (+ from)]\n- do bởi, do mà ra\n[02= poverty resulting from the arms race] sự nghèo nàn do chạy đua vũ trang gây ra\n- (+[04 in]) dẫn đến, đưa đến, kết quả là\n[02= his recklessness resulted in failure] sự liều lĩnh khinh suất của hắn đã dẫn đến thất bại
resultant [01/ri'zʌltənt/]	[01* ttừ]\n- kết quả\n- (lý),(toán) tổng hợp\n[02= resultant force] lực tổng hợp, hợp lực\n[02= resultant law] luật phân phối tổng hợp\n- (lý),(toán) lực tổng hợp, hợp lực
resultful [01/ri'zʌltful/]	[01* ttừ]\n- có kết quả, có hiệu quả
résumé [01/'rezju:mei/]	[01* dtừ]\n- bản tóm tắt\n[02= to give résumé of the evidence, plot, meeting] làm bản tóm tắt về bằng chứng, âm mưu, cuộc họp; (Mỹ) lý lịch, (cũng curriculum vitae
resume [01/ri'zju:m/]	[01* ngđtừ]\n- lấy lại, chiếm lại, hồi phục lại\n[02= to resume one's spirits] lấy lại tinh thần, lấy lại can đảm\n[02= to resume a territory] chiếm lại một lãnh thổ\n- lại bắt đầu, lại tiếp tục (sau khi nghỉ, dừng)\n[02= to resume work] lại tiếp tục công việc\n- tóm tắt lại, nêu điểm chính
resummons [01/'ri:'sʌmənz/]	[01* dtừ]\n- sự triệu lại\n- (pháp lý) trát đòi lần thứ hai
resumption [01/ri'zʌmp∫n/]	[01* dtừ]\n- sự lấy lại, sự chiếm lại, sự hồi phục lại\n- sự bắt đầu lại, sự tiếp tục lại (sau khi ngừng) 
resupinate [01/ri'sju:pinit/]	[01* ttừ]\n- (thực vật) lộn ngược
resupine [01/ri'sjupain/]	[01* ttừ]\n- nằm ngữa
resupply [01/,ri:sʌ'plai/]	[01* ngđtừ]\n- cung cấp lại
resurface [01/,ri:'sə:fis/]	[01* ngđtừ]\n- làm lại bề mặt, đặt lại lớp mới (con đường)\n- nổi lên lại; lại nổi lên mặt nước (tàu ngầm) 
re-surface [01/'ri:'sə:fis/]	[01* ngđtừ]\n- làm láng bóng lại (mặt, giây...)\n- rải nhựa lại (một đường...)\n[01* nđtừ]\n- lại nổi lên mặt nước (tàu ngầm...) ; lại nổi lên trên mặt
resurge [01/ri:'sə:dʒ/]	[01* nđtừ]\n- sống lại (người chết)\n- lại nổi lên, lại mọc lên
resurgence [01/ri'sə:dʒəns/]	[01* dtừ]\n- sự lại nổi lên; sự lại mọc lên\n- sự sống lại
resurgent [01/ri'sə:dʒənt/]	[01* ttừ]\n- lại nổi lên; lại mọc lên\n- sống lại
resurrect [01/,rezə'rekt/]	[01* ngđtừ]\n- (tục) làm sống lại, phục hồi lại (những phong tục cũ, những thói quen cũ...) ; gợi lại (kỷ niệm cũ)\n- khai quật (xác chết)\n- (hiếm) làm sống lại, cải tử hoàn sinh (người) 
resurrection [01/,rezə'rek∫n/]	[01* dtừ]\n- sự làm sống lại, sự phục hồi lại (những phong tục cũ, những thói quen cũ...) ; sự phục hưng (nghệ thuật cũ...) ; sự gợi lại (kỷ niệm cũ...)\n- sự khai quật xác chết\n- (tôn giáo)(Resurrection) lễ Phục sinh
resurrection man [01/,rezə'rek∫n'mæn/]	[01* dtừ]\n- người đào trộm xác chết (để bán cho các nhà phẫu thuật ở nước Anh xưa) 
resurrection pie [01/,rezə'rek∫n'pai/]	[01* dtừ]\n- trường, (lóng) bánh nướng làm bằng nhân thịt thừa
resurrectionary [01/,rezə'rek∫ənəri/]	[01* ttừ]\n- làm sống lại; làm cho hồi sinh
resurrectionist [01/,rezə'rek∫nist/]	như [03resurrection man]
resurvey [01/ri:sə:'vei/]	[01* ngđtừ]\n- nghiên cứu lại; quan trắc lại; đo vẽ lại\n[01* dtừ]\n- sự nghiên cứu lại; sự quan trắc lại; sự đo vẽ lại
resuscitate [01/ri'sʌsiteit/]	[01* đtừ]\n- làm sống lại, làm tỉnh lại; sống lại\n[02= to resuscitate a drowned man] làm sống lại một người chết đuối\n- làm cho rõ nét lại, làm cho được chuộng lại
