responsions [01/ri'spɔn∫ənz/]	[01* dtừ s/n]\n- kỳ thi ngày xưa yêu cầu để vào trường đại học Oxford
retimber [01/ri:'timbə/]	[01* ngđtừ]\n- chống lại (hầm lò)\n- chữa lại vì lò
retime [01/ri:'taim/]	[01* ngđtừ]\n- chỉnh lại thời điểm; tính lại thời gian\n- định lại giờ
retin- [01/retin/]	- hình thái ghép có nghĩa là võng mạc\n- retinosis\n- sự thoái hoá võng mạc
retina [01/'retinə/]	[01* dtừ, s/n [03retinas] /'retinəz/, [03retinae] /'retini:/\n- (phẫu) màng lưới, võng mạc (mắt) 
retinacula [01/,reti'nækjulə/]	[01* dtừ] s/n\n- xem [03retinaculum] 
retinaculum [01/,reti'nækjuləm/]	[01* dtừ] s/n [02retinacula]\n- (động vật) móc cánh; mấu móc
retinae [01/'retini:/]	như [03retina]
retinal [01/'retinl/]	[01* ttừ]\n- (phẫu)(thuộc) màng lưới, (thuộc) võng mạc (mắt) 
retinalla [01/re'tinələ/]	[01* dtừ]\n- (phẫu) lưới tơ thần kinh
retinene [01/'retini:n/]	[01* dtừ]\n- retinen; võng tố; chất lưới
retinerved [01/,reti'nə:vd/]	[01* ttừ]\n- có gân mạng lưới
retinitis [01/,reti'naitis/]	[01* dtừ]\n- (y) viêm màng lưới, viêm võng mạc
retinoid [01/'retinɔid/]	[01* ttừ]\n- dạng lưới
retinopathy [01/,reti'nɔpəθi/]	[01* dtừ]\n- (y) bệnh màng lưới
retinophore [01/'retinəfɔ:/]	[01* dtừ]\n- tế bào lưới (mắt động vật chân khớp) 
retinoscope [01/'retinəskoup/]	[01* dtừ]\n- (y) kính soi màng lưới
retinoscopy [01/reti'nɔskoupi/]	[01* dtừ]\n- sự soi màng lưới
retinosis [01/'retinousis/]	[01* dtừ]\n- sự thoái hoá võng mạc
retinue [01/'retinju:/]	[01* dtừ]\n- đoàn tuỳ tùng
retire [01/ri'taiə/]	[01* nđtừ]\n- rời bỏ, đi ra, rút về, lui về (một nơi nào kín đáo...)\n[02= to retire from the room] ra khỏi căn phòng\n[02= to retire from the world] rời bỏ thế tục, sống ẩn dật; đi tu\n[02= to retire for the night; to retire to bed] đi ngủ\n[02= to retire into oneself] thu vào cái vỏ của mình mà sống\n- đi ngủ ((cũng) [03to retire to bed] )\n- thôi việc; về hưu\n[02= to retire from business] thôi không kinh doanh nữa\n[02= to retire on a pension] về hưu\n[02= retiring pension] lương hưu trí\n[02= retiting age] tuổi về hưu\n- (qsự) rút lui\n- thể bỏ cuộc\n[02= to retire from the race] bỏ cuộc đua\n[01* ngđtừ]\n- cho về hưu (công chức)\n- (qsự) cho rút lui\n- (tài chính) rút về, không cho lưu hành (một loại tiền...)\n[01* dtừ]\n- (qsự) hiệu lệnh rút lui\n[02= to sound the retire] thổi kèn ra lệnh rút lui
retired [01/ri'taiəd/]	[01* ttừ]\n- ẩn dật, xa lánh mọi người\n[02= a retired life] cuộc sống ẩn dật\n- hẻo lánh, ít người qua lại\n[02= a retired sopt] nơi hẻo lánh\n- đã về hưu; đã thôi (làm việc, buôn bán, kinh doanh...)\n[02= a retired officer] một sĩ quan về hưu\n[02= retired pay] lương hưu trí
retirement [01/ri'taiəmənt/]	[01* dtừ]\n- sự ẩn dật\n[02= to live in retirement] sống ẩn dật\n- nơi hẻo lánh, nơi ẩn dật\n- sự về hưu, sự thôi (làm việc kinh doanh...)\n- (qsự) sự rút lui\n- (thể thao) sự bỏ cuộc\n- (tài chính) sự rút về, sự không cho lưu hành (một loại tiền...) 
retirement age [01/ri'taiəmənt'eidʒ/]	[01* dtừ]\n- tuổi về hưu
retiring [01/ri'taiəriη/]	[01* ttừ]\n- xa lánh mọi người, không thích xuất đầu lộ diện\n- kín đáo; khiêm tốn\n- dành cho người về hưu\n[02= a retiring allowance] tiền trợ cấp cho người về hưu
retiring-room [01/ri'taiəriη,ru:m/]	[01* dtừ]\n- phòng nghỉ ngơi
retisolution [01/,retisə'lu:∫n/]	[01* dtừ]\n- sự hoà tan thể lưới
retispersion [01/reti'spə:∫n/]	[01* dtừ]\n- sự phân tán thể lưới
retold [01/ri:'tould/]	[01* ngđtừ]\n- nói lại, kể lại, thuật lại
retook [01/'ri:'teik/]	[01* dtừ]\n- (điện ảnh) sự quay lại (một cảnh)\n- cảnh quay lại\n[01* ngđtừ] [03retook] /'ri:'tuk/, [03retaken] /'ri:'teikn/\n- lấy lại, chiếm lại (một đồn luỹ)\n- bắt lại (người tù)\n- (điện ảnh) quay lại (một cảnh) 
retool [01/ri:'tu:l/]	[01* ngđtừ]\n- trang bị lại; trang bị lại công cụ
retort [01/ri'tɔ:t/]	[01* dtừ]\n- sự trả miếng, sự trả đũa; sự vặn lại; sự đập lại, sự bắt bẻ lại, sự câi lại, sự đối đáp lại\n- lời vặn lại, lời đập lại, lời câi lại, lời đối đáp lại\n[01* đtừ]\n- trả miếng, trả đũa, vặn lại; đập lại, bắt bẻ lại, câi lại, đối đáp lại (lý lẽ...)\n[02= to retort a charge on someone] tố cáo trả lại ai\n[01* dtừ]\n- (hoá) bình cổ cong\n[01* ngđtừ]\n- chưng (cất) bằng bình cổ cong
retorted [01/ri'tɔ:tid/]	[01* ttừ]\n- cong queo, vặn vẹo
