polyphagia [01/,pɔli'feidʒjə/]	[01* dtừ]\n- (y) chứng ăn nhiều\n- (động vật) lối ăn tạp
polyphagian	- xem [03polyphagia] 
polyphagous [01/pɔ'lifəgəs/]	[01* ttừ]\n- (y) ăn nhiều\n- (động vật) ăn tạp
polyphase [01/'pɔlifeiz/]	[01* ttừ]\n- (điện học) nhiều pha
polyphasic [01/,pɔli'feizik/]	[01* ttừ]\n- nhiều giai đoạn, nhiều pha, nhiều kỳ
polyphasy [01/pɔli'feizi/]	[01* dtừ]\n- xem [03polyphasic] 
polyphone [01/'pɔlifoun/]	[01* dtừ]\n- từ nhiều âm
polyphonic [01/,pɔli'fɔnik/]	như [03polyphonous]
polyphonically	- xem [03polyphonic] 
polyphonous [01/pə'lifənəs/]	[01* ttừ]\n- nhiều âm\n- (âm nhạc) phức điệu
polyphonously	- xem [03polyphony] 
polyphony [01/pə'lifəni/]	[01* dtừ]\n- tính nhiều âm\n- (âm nhạc) tính phức điệu
polyphyletic [01/pɔli:fi'letik/]	[01* ttừ]\n- (sinh vật) nhiều nguồn gốc, nhiều dạng tổ tiên
polyphyllous [01/,pɔli'filəs/]	[01* ttừ]\n- (thực vật) loạn lá
polypi [01/'pɔlipai/]	[01* dtừ, s/n [03polypi] /'pɔlipai/, [03polypuses] /'pɔlipəsiz/\n- (y) bệnh polip
polypidom [01/'pɔlipəri/]	[01* dtừ, s/n [03polypidom] /pɔ'lipidəm/\n- nền bám của polip
polypite [01/'pɔlipait/]	[01* dtừ]\n- Polip cá thể, polip sống riêng rẽ
polyplanetic [01/pɔliplə'netik/]	[01* ttừ]\n- (sinh vật) nhiều kỳ động, nhiều giai đoạn động
polyplast [01/'pɔliplæst/]	[01* dtừ]\n- (hoá) cao phân tử
polyplastic [01/pɔli'plæstik/]	[01* ttừ]\n- dẻo; dễ nặn
polyplicate [01/pɔli'plaikeit/]	[01* ttừ]\n- nhiều nếp; nhiều nếp gấp
polyploid [01/'pɔliplɔid/]	[01* ttừ]\n- (sinh vật) đa hội
polyploidigen [01/,pɔli'plɔidəgen/]	[01* dtừ]\n- chất gây đa bội
polyploidization [01/,pɔliplɔidi'zei∫n/]	[01* dtừ]\n- sự tạo thể đa bội
polyploidy	- xem [03polyploid] 
polypnea [01/pɔ'lipni:ə/]	[01* dtừ]\n- (y) chứng thở gấp
polypod [01/'pɔlipɔd/]	[01* ttừ]\n- (động vật) nhiều chân\n[01* dtừ]\n- (động vật) động vật nhiều chân
polypodia [01/pɔli'poudiə/]	[01* dtừ]\n- tật nhiều chân, tật thừa chân
polypody [01/'pɔlipədi/]	[01* dtừ]\n- (thực vật) giống dương xỉ ổ tròn
polypoid [01/'pɔlipɔid/]	như [03polypous]
polypous [01/'pɔlipəs/]	[01* ttừ]\n- (thuộc) polip; giống polip\n- (y)(thuộc) bệnh polip
polypropylene [01/,pɒli'prəʊpi,li:n/]	[01* dtừ]\n- polipropilen
polypus [01/'pɔlipəs/]	như [03polypi]
polyrhizal [01/pɔli'rizəl/]	[01* ttừ]\n- (thực vật) nhiều rễ; có rễ chùm
polysaccharide [01/,pɒli'ækə,raid/]	[01* dtừ]\n- polisaccarit
polysaprobit [01/pɔlisə'proubait/]	[01* ttừ]\n- (sinh vật) sống ở nước rất bẩn, sống ở trong nước thối rữa
polysemantic [01/,pɔlisi'mæntik/]	[01* ttừ]\n- nhiều nghĩa (từ) 
polysemous [01/pɔli'si:məs/]	[01* ttừ]\n- (ngôn) đa nghĩa; nhiều nghĩa
polysemy [01/'pɔlisimi/]	[01* dtừ]\n- tính nhiều nghĩa (của từ) 
polysensivity [01/pɔlisen'siviti/]	[01* dtừ]\n- tính nhạy cảm với nhiều loại kích thích
polysepalous [01/,pɔli'sipələs/]	[01* ttừ]\n- (thực vật) nhiều lá đài
polysiphonic [01/pɔlisai'fɔnik/]	[01* ttừ]\n- (kỹ) nhiều xifon, nhiều ống hút
polysomaty [01/pɔli'souməti/]	[01* dtừ]\n- (sinh vật) tính đa thể bội
polysomic [01/pɔli'soumik/]	[01* ttừ]\n- (sinh vật) nhiều thể nhiễm sắc đa bội
polyspast [01/'pɔlispæst/]	[01* dtừ]\n- (kỹ) Palăng
polyspermous [01/pɔli'spəməs/]	[01* ttừ]\n- có nhiều hạt, có nhiều tinh trùng
polysporous [01/pɔli'spɔ:rəs/]	[01* ttừ]\n- (thực vật) có nhiều hạt, có nhiều bào tử
polystelic [01/pɔli'stelik/]	[01* ttừ]\n- (thực vật) có nhiều trung trụ
polystome [01/'pɔlistoum/]	[01* ttừ]\n- (động vật) nhiều mồm\n[01* dtừ]\n- (động vật) động vật nhiều mồm
polystyrene [01/.pɔli'stairi:n/]	[01* dtừ]\n- polixetiren (loại nhựa chắc, nhẹ có tính cách điện, nhiệt tốt dùng làm các đồ chứa đựng) 
polysyllabic [01/,pɔlisi'læbik/]	[01* ttừ]\n- nhiều âm tiết (từ) 
polysyllabically	- xem [03polysyllabic] 
polysyllable [01/'pɔlisiləbl/]	[01* dtừ]\n- từ nhiều âm tiết
polysyllogisme [01/pɔli'silɔdʒizm/]	[01* dtừ]\n- (logic học) tam đoạn luận phức
polysymmetrical [01/pɔlisi'metrikəl/]	[01* ttừ]\n- đối xứng nhiều mặt phẳng
polysynaptic [01/,pɔlisi'næptik/]	[01* ttừ]\n- có nhiều khớp thần kinh
polysyndetic [01/,pɔlisin'detik/]	[01* ttừ]\n- (văn học) dùng phép lặp liên từ
polysyndeton [01/,pɔlisin'detən/]	[01* dtừ]\n- phép lặp liên từ
polysynthetic [01/,pɔlisin'θetik/]	[01* ttừ]\n- hỗn nhập (ngôn ngữ) 
polytechnic [01/,pɔli'teknik/]	[01* ttừ]\n- bách khoa\n[01* dtừ]\n- trường bách khoa
polytene [01/'pɔliti:n/]	[01* dtừ]\n- (sinh vật) giai đoạn nhiều sợi
polytheism [01/'pɔliθi:izəm/]	[01* dtừ]\n- thuyết nhiều thần; đạo nhiều thần
polytheist [01/'pɔliθi:ist/]	[01* dtừ]\n- người theo thuyết nhiều thần; người theo đạo nhiều thần
polytheistic [01/,pɔliθi:'istik/]	[01* ttừ]\n- (thuộc) thuyết nhiều thần; (thuộc) đạo nhiều thần
polythelia [01/pɔli'θeliə/]	[01* dtừ]\n- (y) tật nhiều vú
polythen [01/,pɔliθi:'istik/]	[01* dtừ]\n- Politen (một loại chất dẻo) 
polythene [01/'pɔliθi:n/]	[01* dtừ]\n- Politen (một loại nhựa tổng hợp được dùng dưới dạng lá mềm dẻo, trong suốt chống thấm nước, cách điện) 
polytocous [01/pə'litəkəs/]	[01* ttừ]\n- đẻ nhiều trứng/ nhiều con\n- nhiều quả; sai quả
polytonal [01/pɔli'tounl/]	[01* ttừ]\n- (âm nhạc) nhiều giọng
polytonality [01/pɔlitou'næliti/]	[01* dtừ]\n- (âm nhạc) hiện tượng nhiều giọng
polytope	- hình đa diện, pôlitôp
polytopic [01/pɔli'tɔpik/]	[01* ttừ]\n- (sinh vật) nhiều nơi ở; nhiều vùng
polytrichia [01/pɔli'trikiə/]	[01* dtừ]\n- (y) chứng rậm lông
polytrichous [01/pɔli'trikəs/]	[01* ttừ] (y) rậm lông
polytrophia [01/pɔli'troufiə/]	[01* dtừ]\n- sự ăn quá mức
polytrophic [01/pɔli'trɔfik/]	[01* ttừ]\n- nhiều nguồn, nhiều loại thức ăn
polytropic [01/pɔli'trɔpik/]	[01* ttừ]\n- nhiều hướng; thăm nhiều loại hoa (côn trùng) 
polytype [01/'pɔlitaip/]	[01* dtừ]\n- cấu trúc tinh thể có nhiều dạng
polytypic [01/pɔli'taipik/]	[01* ttừ]\n- nhiều kiểu
