dig [01/dig/]	[01* dtừ]\n- sự đào, sự bới, sự xới, sự cuốc (đất)\n- sự thúc; cú thúc\n[02= to give someone a dig in the ribs] thúc vào sườn ai\n- sự chỉ trích cay độc\n[02= a dig at someone] sự chỉ trích ai cay độc\n- (khảo cổ học)(tục) sự khai quật\n- (Mỹ),(tục) sinh viên học gạo\n[01* ngđtừ dug]\n- đào bới, xới, cuốc (đất...)\n[02= to dig a hole] đào một cái lỗ\n[02= to dig potatoes] bới khoai\n- thúc, án sâu, thọc sâu\n[02= to dig a strick into the sand] ấn sâu cái gậy xuống cát\n[02= to dig somebody in the ribs] thúc vào sườn ai\n- moi ra, tìm ra\n[02= to dig the truth out of somebody] moi sự thật ở ai\n- (Mỹ),(lóng) chú ý tới\n- (Mỹ),(lóng) hiểu rõ\n[01* nđtừ]\n- đào bới, xới, cuốc\n[02= to dig for gold] đào tìm vàng\n- ((thường) +[02into]), for moi móc, tìm tòi, nghiên cứu\n[02= to dig for information] moi móc tin tức\n[02= to dig into an author] nghiên cứu tìm tòi ở một tác giả\n- (Mỹ),(tục) học gạo\n[04! to dig down]\n- đào (chân tường...) cho đổ xuống\n[04! to dig for]\n- moi móc, tìm tòi\n[04! to dig from]\n- đào lên, moi lên\n[04! to dig in (into)]\n- thúc, ấn sâu, thọc (cái thúc ngựa, đầu mũi kiếm...)\n- chôn vùi\n[02= to dig oneself in] ẩn mình (bằng cách đào hàm trú ẩn...)\n[04! to dig out]\n- đào ra, moi ra, khai quật; tìm ra\n[02= to dig out a secret] moi ra được một điều bí mật\n[04! to dig up]\n- xới (đất) ; đào lên, bới lên (khoai...)\n- (Mỹ),(lóng) nhận, lĩnh (tiền)\n[04! to dig a pit for someone]\n- xem [03pit] 
digametic [01/,daigə'metik/]	[01* ttừ]\n- có hai kiểu giao tử; thuộc giao tử khác dạng, dị giao tử
digamist [01/'digəmist/]	[01* dtừ]\n- người tái hôn, người tái giá, người đi bước nữa
digamma	- đigama
digamous [01/'digəməs/]	[01* ttừ]\n- tái hôn, tái giá, đi bước nữa
digamy [01/'digəmi/]	[01* dtừ]\n- sự tái hôn, sự tái giá, sự đi bước nữa
digastric [01/dai'gæstrik/]	[01* ttừ]\n- (phẫu) hai thân (cơ)\n[02= digastric muscle] cơ hai thân\n[01* dtừ]\n- (phẫu) cơ hai thân; cơ hàm dưới
digen [01/dai'dʒen/]	[01* dtừ]\n- gen kép
digenesis [01/dai'dʒenəsis/]	[01* dtừ]\n- (sinh học) sự phát sinh xen kẽ thế hệ
digenetic [01/daidʒə'netik/]	[01* ttừ]\n- xen kẽ thế hệ
