disc-harrow [01/'disk,hærou/]	[01* dtừ]\n- <nông> bừa dựa
dischronous [01/dis'krɔnəs/]	[01* ttừ]\n- sai thời gian
disci [01/'disi/]	[01* dtừ] s/n [03disci]\n- (thể thao) đĩa
disciform [01/'disifə:m/]	[01* ttừ]\n- dạng đĩa
disciple [01/di'saipl/]	[01* dtừ]\n- môn đồ, môn đệ, học trò\n- (tôn giáo) tông đồ của Giê-xu; đồ đệ của Giê-xu
disciplinable [01/'disiplinəbl/]	[01* ttừ]\n- có thể khép vào kỷ luật, có thể đưa vào kỷ luật
disciplinal [01/'disiplinəl/]	[01* ttừ]\n- (thuộc) kỷ luật; có tính chất kỷ luật
disciplinarian [01/,disipli'neəriən/]	[01* dtừ]\n- người giữ kỷ luật\n[02= a good disciplinarian] người giữ kỷ luật tốt\n[02= a bad disciplinarian] người giữ kỷ luật kém\n[02= a strict disciplinarian] người nghiêm chỉnh tôn trọng kỷ luật\n[02= to be no disciplinarian] không tôn trọng kỷ luật
disciplinary [01/'disiplinəri/]	[01* ttừ]\n- (thuộc) kỷ luật; để đưa vào kỷ luật\n- có tính chất rèn luyện trí óc; để rèn luyện trí óc
discipline [01/'disiplin/]	[01* dtừ]\n- kỷ luật\n[02= to keep under strict discipline] bắt theo kỷ luật nghiêm ngặt\n[02= a breach of discipline] sự phạm kỷ luật\n- sự rèn luyện trí óc\n- nhục hình; sự trừng phạt\n- (tôn giáo) sự hành xác (để tỏ sự ăn năn)\n- (cổ), quân sự luyện tập\n- (cổ) môn học\n[01* ngđtừ]\n- khép vào kỷ luật, đưa vào kỷ luật\n- rèn luyện\n- trừng phạt, đánh đập
disciplined [01/'disiplind/]	[01* ttừ]\n- có kỷ luật\n[02= a disciplined mind] đầu óc có kỷ luật
discipular [01/di'sipjulə/]	[01* ttừ]\n- (thuộc) môn đồ, (thuộc) môn đệ, (thuộc) học trò, (thuộc) đồ đệ
disc-jockey [01/'disk,dʒɔki/]	[01* dtừ]\n- (Mỹ),(lóng) người giới thiệu đĩa hát (trong chương trình ca nhạc ở đài phát thanh) 
disclaim [01/dis'kleim/]	[01* ngđtừ]\n- từ bỏ (quyền lợi...)\n- không nhận, chối\n[01* nđtừ]\n- từ bỏ quyền lợi
disclaimer [01/dis'kleimə/]	như [03disclamation]
disclamation [01/,disklə'mei∫n/]	[01* dtừ]\n- sự từ bỏ (quyền lợi)\n- sự không nhận, sự chối
disclose [01/dis'klouz/]	[01* ngđtừ]\n- mở ra; vạch trần ra, để lộ ra
disclosure [01/dis'klouʒə/]	[01* dtừ]\n- sự mở ra; sự vạch trần ra, sự để lộ ra\n- cái bị vạch trần ra, cái bị để lộ ra
disco [01/'diskou/]	[01* dtừ]\n- sự khiêu vũ theo các điệu nhạc pop ghi băng
discoboli [01/dis'kɔbəli/]	như [03discobolus]
discobolus [01/dis'kɔbələs/]	[01* dtừ] s/n [03discoboli]\n- lực sĩ ném đĩa (Hy lạp xưa) ; tượng lực sĩ ném đĩa
discographical [01/diskə'græfikəl/]	[01* ttừ]\n- cũng [03discographic]\n- xem [03discography] chỉ thuộc về
discographically [01/diskə'græfikəli/]	[01* phtừ]\n- xem [03discography] chỉ thuộc về
discography [01/dis'kɔgrəfi/]	[01* dtừ]\n- danh sách miêu tả các đĩa hát\n- danh sách đầy đủ các đĩa hát của một ca sĩ hay của một nhóm ca sĩ\n- lịch sử âm nhạc đưa vào đĩa
discoid [01/'diskɔid/]	[01* ttừ]\n- hình đựa
discoidal [01/'diskɔidəl/]	[01* ttừ]\n- có hình đĩa
discoil [01/'diskɔid/]	[01* ttừ]\n- hình đĩa
discolor [01/dis'kʌlə/]	như [03discolour]
discoloration [01/dis,kʌlə'rei∫n/]	như [03discolouration]
discolorment [01/dis'kʌləmənt/]	như [03discolouration]
discolour [01/dis'kʌlə/]	[01* ngđtừ]\n- đổi màu; làm bẩn màu; làm bạc màu\n[01* nđtừ]\n- bị đổi màu; bị bẩn màu; bị bạc màu
discolouration [01/dis,kʌlə'reiʃn/]	[01* dtừ]\n- sự đổi màu; sự bẩn màu; sự bạc màu\n- sự làm đổi màu; sự làm bẩn màu; sự làm bạc màu
discolourment [01/dis'kʌləmənt/]	như [03discolouration]
discombobulate [01/,diskəm'bɔbjuleit/]	[01* ngđtừ]\n- (Mỹ) làm cho lúng túng
discomfit [01/dis'kʌmfit/]	[01* ngđtừ]\n- đánh bại\n- làm hỏng, làm thất bại (kế hoạch...)\n- làm bố rối, làm lúng túng; làm chưng hửng
discomfiture [01/dis'kʌmfit∫ə/]	[01* dtừ]\n- sự thất bại (trong trận đánh)\n- sự làm hỏng, sự làm thất bại (kế hoạch) ; sự hỏng, sự thất bại (kế hoạch)\n- sự làm bối rối, sự làm lúng túng; sự làm chưng hửng; sự bối rối, sự lúng túng; sự chưng hửng
discomfort [01/dis'kʌmfət/]	[01* dtừ]\n- sự khó ở; sự khó chịu, sự bực bội\n- sự không an tâm, sự băn khoăn lo lắng, sự buồn phiền\n- sự thiếu tiện nghi, sự bất tiện\n[01* ngđtừ]\n- làm khó chịu, làm bực bội\n- không an tâm, làm băn khoăn lo lắng, làm buồn phiền
discomfortable [01/dis'kʌmfətəbl/]	[01* ttừ]\n- thiếu tiện nghi, bất tiện
discommend [01/,diskə'mend/]	[01* ngđtừ]\n- bảo thôi; khuyên đừng (làm gì) 
discommode [01/,diskə'moud/]	[01* ngđtừ]\n- làm khó chịu, làm rầy\n- làm bất tiện
discommodity [01/,diskə'mɔditi/]	[01* dtừ]\n- sự khó chịu, điều khó chịu\n- sự bất tiện, điều bất tiện
discommon [01/dis'kɔmən/]	[01* ngđtừ] ((cũng) [03discommons] )\n- rào (khu đất công)\n- không cho phép (người buôn thầu) bán hàng cho học sinh nữa
discommons [01/dis'kɔmənz/]	[01* ngđtừ]\n- (như) [03discommon]\n- truất khẩu phần ăn hằng ngày theo giá quy định (của học sinh đại học Ôc-phớt và Căm-brít) 
discompose [01/,diskəm'pouz/]	[01* ngđtừ]\n- làm mất bình tĩnh, làm bối rối, làm xáo động\n- làm lo lắng, làm lo ngại
discomposedly [01/,diskəm'pouzidli/]	[01* phtừ]\n- mất bình tĩnh, bối rối, xáo động\n- lo lắng, lo ngại
discomposingly [01/,diskəm'pouziηli/]	[01* phtừ]\n- làm mất bình tĩnh, làm bối rối, làm xáo động\n- làm lo lắng, làm lo ngại
discomposure [01/,diskəm'pouʒə/]	[01* dtừ]\n- sự mất bình tĩnh, sự bối rối, sự xáo động\n- sự lo lắng, sự lo ngại
