1 byte character	1-59-B
1 byte character code	1-100-B
1 byte character set	1-150-B
1 byte character string	1-200-B
1 to many relationship	1-0-B
17	300-26862-S
2	293-21286-S,317-11611-S
2 way device	1-509-B
232 interface	147-8249-S
25 connector	115-19707-S
2d	1-256-B
2d configuration	1-326-B
2d image	1-395-B
2d module two dimensional module	1-444-B
3d	1-564-B
3d calculation	1-631-B
3d configuration	1-695-B
3d image	1-780-B
4	115-21854-S
4th generation language	1-871-B
7 bit ascii code	1-943-B
7 bit ascii code set	1-986-B
8 bit character	1-1038-B
8 bit character code	1-1079-B
8 bit character set	1-1129-B
8 bit character string	1-1179-B
8 bit microcomputer	1-1235-B
8 bit microprocessor	1-1321-B
8 bit personal computer	1-1375-B
90	447-34550-S
a	1-1444-B,38-9087-S
a b c	1-2621-B
a b c book	1-2537-B
a back	343-4525-S
a banc	74-10571-S
a bancs	74-10709-S
a bas	1-2857-B
a blanket	136-8895-S
a block	77-8832-S
a bomb	2-6104-B
a boo	334-1274-S
a boy	33-2157-S
a brac	58-13956-S
a c	1-5285-B
a capplla	1-2906-B
a chip	92-6006-S
a crown	213-7794-S
a d	1-4865-B,7-3236-S
a d a d	7-3236-B
a d c	1-4977-B
a d conversion	7-1861-B
a d converter circuit	7-1965-B
a dandy	253-22290-S
a deux	1-2999-B
a doodle doo	84-21658-S
a dub	395-32255-S
a except b gate	1-3077-B
a fond	1-3126-B
a font	1-3176-B
a fortiori	1-3263-B
a going	11-9987-B
a hoop	84-21765-S
a ignore b gate	1-3355-B
a implies b gate	1-3405-B
a l outrance	1-4181-B
a la bonne heure	1-3451-B
a la carte	1-3523-B,1-3692-B
a la mode	1-3836-B,1-3914-B
a leekie	84-21901-S
a level	1-4107-B
a light	447-15809-S
a line	335-5324-S
a liner	335-5488-S
a ling	129-11065-S
a little makes a mickle	282-4874-S
a m	1-5034-B,1-5253-B
a mickle	282-4874-S
a muck	221-8944-S
a ok	25-6639-B
a pac thai	25-7428-B
a pat	345-3944-S
a penny	482-13874-S
a pie	1-4317-B,66-22374-S
a pistons	101-4132-S
a plenty	25-16956-B
a poco	349-24326-S
a point	25-20857-B
a posteriori	1-4360-B
a power	26-6430-B
a priori	1-4581-B
a road	29-17320-B
a side	31-3887-B
a tat	378-10016-S
a tat tat	378-10164-S
a tempo	1-4764-B
a terre	343-19619-S
a tete	465-26901-S
a trois	287-10150-S
a vis	511-9313-S
a4 size	1-5419-B
aa	1-5471-B
aaa	1-5572-B
aard wolf	1-5886-B
aardvark	1-5731-B
aardwolf	1-5801-B
aaron s beard	1-5931-B
