salique	- xem [03salic] 
sandbag [01/'sændbæg/]	[01* ngđtừ]\n- xếp túi cát làm công sự\n- chặn (cửa sổ) bằng túi cát, bịt (lỗ hở) bằng túi cát\n- đánh quỵ bằng túi cát
sand-bag [01/'sændbæg/]	[01* dtừ]\n- túi cát, bao cát
sandbank [01/'sændbæηk/]	[01* dtừ]\n- bãi cát
sand-bar [01/'sænd'bɑ:/]	[01* dtừ]\n- bãi cát cửa sông
sand-bath [01/'sænd'bɑ:θ/]	[01* dtừ]\n- (hoá) cái cách cát
sand-bed [01/'sænd'bed/]	[01* dtừ]\n- lớp cát
sand-blast [01/'sænd'blɑ:st/]	[01* dtừ]\n- luồng cát phun (để rửa sạch mặt đá, kim loại, để làm ráp mặt kính...)\n- máy phun luồng cát\n- sức huỷ diệt dữ dội\n[01* ngđtừ]\n- phun luồng cát (để rửa sạch mặt đá, kim loại..., để làm ráp mặt kính) 
sand-blind [01/'sænd'blaind/]	[01* ttừ]\n- (cổ) loà
sand-box [01/'sænd'bɔks/]	[01* dtừ]\n- (sử học) bình rắc cát (để thấm mực)\n- khuôn cát (khuôn đúc)\n- hộp cát (để phun lên đường ray) 
sandboy [01/'sændbɔi/]	[01* dtừ]\n- as jolly as a sandboy rất vui vẻ, vui như mở cờ trong bụng
