stymy [01/'staimi/]	- xem [03stymie] 
subbing [01/'sʌbiη/]	[01* dtừ]\n- lớp galatin mỏng trên phim ảnh
subbinterval	- s. khoảng con
subbranch [01/'sʌbbrɑ:nt∫/]	[01* dtừ]\n- nhánh phụ
subbranchial [01/sʌb'bræηkiəl/]	[01* ttừ]\n- dưới mang (cá) 
subbreed [01/'sʌbbri:d/]	[01* dtừ]\n- nòi phụ, giống phụ
subbronchial [01/sʌb'brɔηkiəl/]	[01* ttừ]\n- dưới phổi
sub-cabinet [01/'sʌb,kæbənit/]	[01* dtừ]\n- người phó văn
sub-calibre [01/'sʌb,kælibə/]	[01* ttừ]\n- có nòng nhỏ (súng) 
sub-cartilaginous [01/sʌb,ka:ti'lædʒinəs/]	[01* ttừ]\n- có sụn không hoàn toàn
subcategory	- phạm trù con\n- full s. phạm trù con đầy đủ
subcaudal [01/sʌb'kɔ:dəl/]	[01* ttừ]\n- dưới đuôi
subcelestial [01/sʌbsi'lestiəl/]	[01* ttừ]\n- thuộc thế giới; trần thế; thế gian
subcellular [01/sʌb'seljulə/]	[01* ttừ]\n- dưới mức tế bào
subcentral [01/'sʌb'sentrəl/]	[01* ttừ]\n- gần tâm
subcerebral [01/,sʌb'seribrəl/]	[01* ttừ]\n- (phẫu) dưới não
subcharter [01/,sʌb't∫ɑ:tə/]	[01* ngđtừ]\n- thuê lại (tàu...) 
subclass [01/'sʌbklɑ:s/]	[01* dtừ]\n- (sinh vật) phân lớp
subclavian [01/sʌb'kleiviən/]	[01* ttừ]\n- (phẫu) dưới xương đòn
subclavicular [01/,sʌbklə'vikjulə/]	như [03subclavian]
subclimax [01/'sʌb'klaimæks/]	[01* dtừ]\n- giai đoạn trước đỉnh cao
subclinical [01/'sʌb'klinikəl/]	[01* ttừ]\n- cận lâm sàng
sub-commission [01/,sʌbkə'mi∫n/]	như [03subcommission]
subcommission [01/'sʌb'kəmi∫n/]	[01* dtừ]\n- tiểu ban
sub-commissioner [01/,sʌbkə'mi∫nə/]	[01* dtừ]\n- phó uỷ viên
subcommissioner [01/'sʌbkə'mi∫nə/]	[01* dtừ]\n- phó ủy viên
subcommitee [01/'sʌbkəmiti/]	[01* dtừ]\n- phân ban, tiểu ban (trong một ủy ban) 
sub-committee [01/'sʌbkə'mi∫nə/]	[01* dtừ]\n- phân ban
subcommittee [01/'sʌbkəmiti/]	như [03subcommitee]
subcompact [01/,sʌb'kɔmpækt/]	[01* dtừ]\n- xe ôtô nhỏ
subcomplex	- (tô pô) phức hình con
subconcave [01/sʌb'kɔnkeiv/]	[01* ttừ]\n- hơi lõm
subconical [01/sʌb'kɔnikl/]	[01* ttừ]\n- gần hình nón
subconscious [01/,sʌb'kɔn∫əs/]	[01* ttừ]\n- (thuộc) tiềm thức
subconsciously [01/,sʌb'kɔnfəsli/]	[01* phtừ]\n- (thuộc) tiềm thức
subconsciousness [01/,sʌb'kɔn∫əsnis/]	[01* dtừ]\n- tiềm thức
subcontinent [01/,sʌb'kɔntinənt/]	[01* dtừ]\n- lục địa nhỏ
subcontinental [01/'sʌb,kɔntinəntəl/]	[01* ttừ]\n- thuộc lục địa nhỏ
subcontinuous [01/'sʌbkən'tinjuəs/]	[01* ttừ]\n- gần như liên tục
subcontract [01/'sʌbkəntrækt/]	[01* dtừ]\n- hợp đồng phụ\n[01* nđtừ]\n- thầu lại; ký hợp đồng phụ
subcontractor [01/,sʌbkən'træktə/]	[01* dtừ]\n- người thầu phụ
subcontrariety [01/'sʌb,kɔntrə'raiəti/]	[01* dtừ]\n- sự hơi trái nghĩa; tình trạng hơi trái nghĩa
subcontrary [01/sʌb'kɔntrəri/]	[01* ttừ]\n- hơi trái nghĩa
subconvex [01/sʌb'kɔnveks/]	[01* ttừ]\n- hơi lồi
subcooled [01/,sʌb'ku:ld/]	[01* ttừ]\n- được làm lạnh dưới nhiệt độ ngưng tụ
subcordate [01/sʌb'kɔ:deit/]	[01* ttừ]\n- gần hình tim
subcorneous [01/,sʌb'kɔ:niəs/]	[01* ttừ]\n- hơi nhiều sừng; hơi giống sừng; hơi có sừng\n- dưới sừng
subcortal [01/,sʌb'kɔstl/]	[01* ttừ]\n- (phẫu) dưới xương sườn
subcortex [01/,sʌb'kɔ:teks/]	[01* dtừ]\n- phần não ngay dưới vỏ não
subcortical [01/sʌb'kɔ:tikəl/]	[01* ttừ]\n- dưới vỏ
subcosta [01/'sʌb'kɔstə/]	[01* dtừ]\n- gần sườn phụ (cánh côn trùng) 
subcostal [01/'sʌb'kɔstəl/]	[01* ttừ]\n- (phẫu) dưới sọ
subcranial [01/,sʌb'kreiniəl/]	[01* ttừ]\n- giải dưới sọ
subcribe [01/səb'skraib/]	[01* ngđtừ]\n- quyên vào, góp vào\n[02= to subcribe a sum to a charity] góp một số tiền vào việc thiện\n- viết tên vào dưới; ký tên vào (một văn kiện...)\n[01* nđtừ]\n- nhận quyên vào, nhận góp vào\n- mua dài hạn; đặt mua\n[02= to subcribe to a newspaper] mua báo dài hạn\n[02= to subcribe for a book] đặt mua một quyển sách\n- tán thành, đồng ý\n[02= to subcribe to an opinion] tán thành một ý kiến
subcritical [01/,sʌb'kritikəl/]	[01* ttừ]\n- dưới (chưa tới) giới hạn
subcrust [01/'sʌb'krʌst/]	[01* dtừ]\n- lớp dưới áo đường; nền đường
subcrustal [01/'sʌb'krʌstəl/]	[01* ttừ]\n- thuộc lớp dưới áo đường; nền đường\n- thuộc lớp dưới vỏ trái đất
subcultural [01/'sʌb'kʌlt∫ərəl/]	[01* ttừ]\n- xem [03subculture] 
subculture [01/'sʌbkʌlt∫ə/]	[01* dtừ]\n- văn hoá nhóm; tiểu văn hoá (nền văn hoá nằm trong một nền văn hoá khác) 
subcutaneous [01/,sʌbkju:'teiniəs/]	[01* ttừ]\n- dưới da\n[02= subcutaneous injection] sự tiêm dưới da
subcutaneously [01/,sʌbkju:'teiniəsli/]	[01* phtừ]\n- dưới da
subcylindrical [01/,sʌbsi'lindrikəl/]	[01* ttừ]\n- gần hình trụ
subdeacon [01/,sʌb'di:kən/]	[01* dtừ]\n- (tôn giáo) phó trợ tế
subdeaconship [01/,sʌb'di:kən∫ip/]	[01* dtừ]\n- chức phó trợ tế
subdean [01/,sʌb'di:n/]	[01* dtừ]\n- phó chủ nhiệm khoa
subdeb [01/sʌb'deb/]	[01* dtừ]\n- (Mỹ) cô gái sắp đến tuổi được ra ngoài giao du
subdebutante [01/sʌb,deibju'ta:nt/]	[01* dtừ]\n- cô gái sắp bước vào giao tiếp xã hội
subdelegate [01/,sʌb'deligit/]	[01* dtừ]\n- người được uỷ nhiệm\n[01* ngđtừ]\n- uỷ nhiệm, uỷ thác
subdelirium [01/,sʌbdi'liriəm/]	[01* dtừ]\n- mê sảng nhẹ
subdermal [01/,sʌb'də:məl/]	[01* ttừ]\n- (phẫu) dưới da
subdeterminant	- định thức con
subdiaconate [01/sʌbdai:'ækənit/]	như [03subdeaconship]
subdirect	- (đại số) trực tiếp dưới
subdirector [01/,sʌbdi'rektə/]	[01* dtừ]\n- phó giám đốc
subdirectory	- thư mục phụ, thư mục con
subdividable [01/'sʌbdi'vaidəbl/]	[01* ttừ]\n- có thể chia nhỏ ra
subdivide [01/sʌbdi'vaid/]	[01* đtừ]\n- chia nhỏ ra
subdivision [01/sʌbdi'viʒn/]	[01* dtừ]\n- sự chia nhỏ ra; phần chia nhỏ ra\n- chi nhánh, phân hiệu
subdomain [01/'sʌdou'mein/]	[01* dtừ]\n- miền phụ; miền con
subdominant [01/,sʌb'dɔminənt/]	[01* dtừ]\n- (âm nhạc) âm át dưới
subdorsal [01/sʌb'dɔ:səl/]	[01* ttừ]\n- (phẫu) dưới lưng
subdrain [01/'sʌb'drein/]	[01* dtừ]\n- ống thoát nước ngầm
subdrainage [01/'sʌb'dreinidʒ/]	[01* dtừ]\n- sự (hệ) thoát nước ngầm
subdrilling [01/'sʌb'dju:əbl/]	[01* dtừ]\n- sự khoan lỗ nhánh; sự khoan ngầm
subduable [01/səb'dju:əbl/]	[01* ttừ]\n- có thể chinh phục được, có thể khuất phục được; có thể nén được
subdual [01/səb'dju:əl/]	[01* dtừ]\n- sự chinh phục, sự khuất phục; sự nén; sự bị chinh phục, sự bị khuất phục
subduce [01/səb'dju:s/]	[01* ngđtừ]\n- (hiếm) giảm, rút, trừ
subduct [01/səb'dʌkt/]	như [03subduce]
subduction [01/səb'dʌk∫/]	[01* dtừ]\n- sự giảm, sự rút, sự trừ
