collimate	87-5545-B
collimation	87-5611-B
collimator	87-5685-B
collinear	87-5757-B
collinearity	87-5819-B
collision	87-5855-B,149-4009-S,149-10236-S,150-3837-S
collision course	87-6105-B
collisional	87-6194-B
collocate	87-6227-B
collocation	87-6332-B
collocational	87-6450-B
collocutor	87-6487-B
collodion	87-6538-B
collogne	87-6635-B
collogue	87-6698-B
colloid	87-6836-B
colloidal	87-6886-B
colloidally	87-6949-B
collop	87-6980-B
colloquial	87-7036-B
colloquialism	87-7138-B
colloquially	87-7267-B
colloquialness	87-7330-B
colloquist	87-7409-B
colloquium	87-7489-B
colloquy	87-7595-B
collotype	87-7752-B
collude	87-7829-B
colluder	87-7904-B
collusion	87-7932-B
collusive	87-8101-B
collusively	87-8171-B
collusiveness	87-8204-B
colly	87-8239-B
collyrium	87-8304-B
collywobbles	87-8403-B
colocynth	87-8492-B
cologarithm	87-8569-B
cologne	87-8592-B,144-17401-S
colollaceous	87-8654-B
colon	87-8755-B
colon bacillus	87-8833-B
colonel	87-8917-B,269-9306-S
colonelcy	87-8973-B
colonelship	87-9040-B
colonial	87-9110-B
colonialism	87-9313-B,301-30356-S
colonialist	87-9387-B,301-30447-S
colonially	87-9448-B
colonialness	87-9479-B
colonic	87-9554-B
colonisation	87-9579-B
colonise	87-9688-B
colonist	87-9910-B
colonitis	87-10057-B
colonization	87-10137-B
colonizationist	87-10223-B
colonize	87-10341-B
colonizer	87-10386-B
colonnade	87-10659-B
colonnaded	87-10752-B
colonus	87-10831-B
colony	87-10911-B,108-12729-S,365-10364-S
colophon	87-11147-B
colophony	87-11292-B
color	87-11350-B,5-13274-S,7-10181-S,7-10512-S,90-10204-S,515-28471-S
color analyser	87-11419-B
color background	87-11465-B
color balance	87-11502-B
coloration	87-11542-B,366-3790-S
coloratura	87-11596-B
colorcast	87-11732-B
colorer	87-11804-B
colorific	87-11829-B
colorimeter	87-11913-B
colorimetric	87-11975-B
colorimetrically	87-12011-B
colorimetry	87-12050-B
colortron	87-12101-B
colossal	87-12155-B
colossality	87-12218-B
colossally	87-12316-B
colosseum	87-12347-B
colossi	87-12428-B
colossus	87-12551-B
colostomy	87-12594-B
colostral	87-12716-B
colostrum	87-12779-B
colour	87-12827-B,115-28464-S,138-15448-S,142-25419-S,171-27456-S,173-10650-S,180-24894-S,181-27323-S,188-18513-S,209-14744-S,220-22130-S,296-26276-S,310-21128-S,311-12762-S,332-22529-S,354-20804-S,361-4195-S,394-16735-S,407-26282-S,441-27525-S,445-4698-S,446-23170-S,455-21599-S,471-17661-S,515-28582-S
colour bar	87-17098-B
colour blind	87-17174-B
colour blindness	87-17295-B
colour box	87-17430-B
colour cast	87-17698-B
colour cell	87-17762-B
colour code	87-15955-B,87-17894-B
colour fast	87-18163-B
colour film	87-16026-B
colour fringing	87-16115-B
colour guard	87-18352-B
colour line	87-19020-B
colour man	87-19070-B
colour phobia	87-19169-B
colour photography	87-16151-B
colour printing	87-19248-B
colour process	87-19332-B
colour scheme	87-16236-B,87-19447-B
colour supplement	87-16338-B
colour variation	87-16443-B
colour wash	87-19687-B
colour way	87-16537-B
colourable	87-16630-B
colourant	87-16913-B
colouration	87-16987-B
colourbreed	87-17506-B
colourcode	87-17841-B
coloured	87-17955-B,31-2197-S,65-18578-S,81-20967-S,100-2791-S,106-3246-S,113-21148-S,173-10709-S,181-27380-S,190-19498-S,221-3662-S,256-22113-S,272-7525-S,330-20498-S,332-22598-S,377-4045-S,394-16859-S,399-2584-S,409-14955-S,421-17369-S,423-28295-S,428-4480-S,446-23248-S,506-15490-S,511-816-S,520-32327-S
colourfilter	87-18227-B
colourful	87-18291-B
colouring	87-18424-B
colourist	87-18663-B,515-28673-S
colourless	87-18760-B
colours	176-18633-S,184-10619-S
colourscheme	87-19390-B
coloury	87-19849-B
colportage	87-19927-B
colporteur	87-20013-B
colt	87-20138-B
coltish	87-20498-B
coltishly	87-20588-B
coltishness	87-20617-B
coluber	87-20731-B
colubrid	87-20801-B
columbarium	87-20916-B
columbian	357-2695-S
columbine	87-21036-B
columbite	87-21126-B
columbus day	87-21186-B
columel	87-21297-B
columella	87-21349-B
column	87-21533-B,45-8378-S,184-10682-S,338-7624-S,411-9796-S,428-24305-S,435-9990-S,442-9860-S
column heading	87-22299-B
column inch	87-22342-B
column separator	87-22476-B
column vecto	87-22925-B
column width	87-22520-B
columnar	87-22561-B
columned	87-22628-B
columniation	87-22671-B
columniform	87-22753-B
columnist	87-22820-B,177-2864-S
colure	87-22953-B
colza	87-23025-B
colza oil	87-23093-B
com	87-23156-B,304-23138-S
coma	88-0-B
comae	88-193-B
comal	88-227-B
comanchean	88-249-B
comatic aberration	88-337-B
comatose	88-398-B
comatosely	88-453-B
comaximal	88-484-B
comb	88-531-B,111-2630-S,178-11104-S,181-19131-S,225-13041-S,266-5063-S,471-25756-S
comb filter	88-1396-B
comb honey	88-2999-B
comb jelly	88-1442-B
comb out	88-5970-B
combat	88-1521-B,225-9131-S,421-16473-S
combat car	88-1893-B
combat fatigue	88-1982-B
combat outpost	88-2105-B
combatant	88-2188-B,304-23429-S
combative	88-2555-B
combatively	88-2651-B
combativeness	88-2728-B
combe	88-2849-B
comber	88-2882-B,43-23675-S
combinable	88-3066-B
combinate	88-3143-B
combination	88-3213-B
combination bar	88-3766-B
combination frequency	88-3808-B
combination laws	88-3861-B
combination lock	88-4007-B
combination room	88-4192-B
combinational	88-4155-B
combinative	88-4310-B
combinator	88-4445-B,91-7435-S
combinatorial	88-4481-B
combinatorial explosion	88-4606-B
combinatorics	88-4788-B
combinatory	88-4851-B
combine	88-4876-B
combined	88-5278-B
combiner	88-5336-B
combing	88-5364-B
combing machine	88-5478-B
combings	88-5566-B
combining file	88-5639-B
combining form	88-5685-B
combining wool	88-5805-B
combo	88-5869-B
combust	88-6226-B
combustibility	88-6280-B
combustible	88-6353-B
combustibleness	88-6524-B
combustibly	88-6590-B
combustion	88-6625-B,248-3971-S,248-4317-S,436-26986-S
combustive	88-6754-B
come	88-6787-B,259-26640-S,302-20600-S,470-22615-S
come about	88-17410-B,88-17511-B
come again	111-23774-S
come and go	88-17617-B
come at able	88-17713-B
come back	88-17851-B
come between	88-18115-B
come by chance	88-18205-B
come down	88-18902-B
come first served	179-9356-S
come hither	88-19570-B
come last served	179-9435-S
come lately	256-3375-S
come on	88-20024-B
come short	310-2522-S
come shortly	310-2645-S
comedian	88-18317-B
comedienne	88-18438-B,88-18611-B
comedietta	88-18697-B
comedo	88-18762-B
comedones	88-18860-B
comedy	88-18994-B,50-9297-S,220-22221-S,275-23070-S,290-1385-S,298-15342-S,422-10008-S,423-26101-S
comedy of manners	88-19499-B
comel	88-19640-B
comeliness	88-19695-B
comely	88-19896-B
comer	88-20098-B,190-19586-S,264-26574-S,503-20260-S
comes	88-20365-B
comestible	88-20441-B
comestibles	88-20573-B
comet	88-20637-B
cometary	88-20700-B
cometic	88-20744-B
cometical	88-20843-B
comeuppance	88-20889-B
comfit	88-20942-B
comformality	373-27894-S
comfort	88-21086-B,86-13349-S
comfort station	88-22017-B
comfortable	88-22108-B
comfortableness	88-22812-B
