butter	62-29143-B,26-17792-S,57-10759-S,57-19240-S,57-19616-S,85-5139-S,279-18359-S,325-17589-S,333-2447-S,361-19505-S,396-16349-S,428-4327-S
butter bean	62-29757-B
butter boat	62-29827-B
butter dish	62-29986-B
butter fingered	62-30051-B
butter fingers	62-30131-B
butter knife	62-30734-B
butterball	62-29683-B
buttercup	62-29901-B
butterfly	62-30228-B,266-9940-S
butterfly circuit	62-30462-B
butterfly nut	62-30504-B
butterfly screw	62-30574-B
butterine	62-30652-B
butteriness	62-30703-B
buttermilk	62-30814-B
butterscotch	62-30915-B
buttery	62-31008-B
butting	62-31070-B
buttock	62-31209-B
button	62-31386-B,45-25374-S,86-20417-S,118-22597-S,148-5388-S,193-4957-S,333-3516-S,333-4123-S,359-27244-S,371-16564-S,480-15936-S
button down collar	62-32358-B
button mushroom	62-32199-B
button on	62-32825-B
button over	62-32886-B
button through	62-32947-B
button war	371-16635-S
button warfare	359-27303-S
buttondown collar	62-32285-B
buttoner	62-32479-B
buttonhole	62-32506-B
buttonholer	62-32738-B
buttonhook	62-32772-B
buttony	62-33036-B
buttress	62-33111-B,184-10529-S
butty	63-111-B
butty gang	63-198-B
butyl	63-291-B
butyraceous	63-353-B
butyrate	63-412-B
butyric	63-470-B
buxom	63-558-B
buxomly	63-619-B
buxomness	63-646-B
buy	63-673-B
buy sale	58-25740-S
buyable	63-703-B
buyer	63-726-B
buying	61-2188-S,236-1780-S
buzz	63-1054-B
buzz bomb	63-1807-B
buzz saw	63-2082-B
buzz word	63-2196-B
buzzard	63-1754-B,224-9352-S,481-3737-S
buzzer	63-1866-B
buzzer call	63-2004-B
buzzer signal	63-2039-B
buzzword	63-2266-B
by	63-2349-B,63-4483-S,184-9178-S,200-9875-S,203-13956-S,203-30628-S,215-5497-S,265-31099-S,301-2305-S,301-2558-S,330-33525-S,330-33740-S,396-32456-S,440-18919-S
by address	64-24774-S
by and by	63-4483-B
by bit	49-16725-S
by bit transfer	49-16758-S
by blow	63-4677-B,52-22439-S
by chance	88-18205-S
by combinator	91-7435-S
by disk	128-4112-S
by distance	74-19518-S
