ball game	40-19637-B
ball point mouse	40-19741-B
ball point pen	40-24029-B
ball printer	40-19799-B
ball proof	40-24086-B
ball room	40-24217-B
ball up	40-24656-B
ballad	40-19841-B
ballad monger	40-19982-B
ballade	40-19905-B
balladic	40-19955-B
ballast	40-20117-B
ballast resistor	40-20610-B
ballastron	40-20666-B
ballboy	40-20778-B
ballcock	40-21023-B
ballerina	40-21129-B,361-1726-S
ballet	40-21231-B,101-11988-S,314-18431-S
ballet dancer	40-21287-B
balletic	40-21384-B
balletomane	40-21411-B
balletomania	40-21482-B
ballgirl	40-21554-B
ballista	40-21598-B
ballistic	40-21679-B
ballistic method	40-21791-B
ballistic missile	40-21846-B,22-14006-S
ballistician	40-21951-B
ballistics	40-22039-B
ballistocardiogram	40-22177-B
ballitocardiography	40-22283-B
ballocks	40-22377-B
balloon	40-22420-B,11-26670-S,12-2479-S,67-9455-S,226-937-S,260-8848-S,344-2143-S,431-24508-S
balloon antenna	40-22956-B
balloon barrage	40-23020-B
balloon tire	40-23107-B
balloon vine	40-23182-B
ballooner	40-23262-B
balloonist	40-23309-B
ballot	40-23381-B,2-21630-S,408-3340-S
ballot box	40-23757-B
ballot paper	40-23843-B
balloter	40-23816-B
ballpark	40-23931-B
ballpoint	40-23996-B
ballroom	40-24158-B
ballroom dance	40-24263-B
ballroom dancing	40-24318-B
balls	40-24440-B
balls up	40-24573-B
bally	40-24720-B
ballyhoo	40-25043-B
ballyrag	40-25139-B
balm	40-25236-B,267-9380-S
balm cricket	40-25458-B
balmily	40-25535-B
balminess	40-25614-B
balmy	40-25731-B
balneology	40-25920-B
baloney	40-26009-B
balsa	40-26086-B
balsam	40-26212-B,221-16657-S
balsamic	40-26435-B
balsaminaceous	40-26549-B
baltic	40-26650-B
balun	40-26851-B
baluster	40-26947-B,439-26436-S
balustrade	40-27029-B
bam	40-27118-B
bambino	40-27266-B
bamboo	40-27441-B
bamboozle	40-27487-B
bamboozlement	40-27709-B
bamboozler	40-27797-B
bameal	41-0-B
ban	41-65-B,50-8119-S
banal	41-140-B
banality	41-265-B
banalize	41-421-B
banally	41-447-B
banana	41-473-B
banana oil	41-649-B
banana plug	41-712-B
banana republic	41-748-B
banc	74-10571-S
bancs	74-10709-S
band	41-879-B,14-8356-S,14-15926-S,33-25418-S,45-25239-S,57-12211-S,59-6634-S,78-6393-S,80-12206-S,80-12311-S,91-4103-S,111-6782-S,113-22965-S,140-28440-S,155-2542-S,185-18417-S,190-13533-S,191-2032-S,197-19782-S,210-8518-S,254-21202-S,256-28527-S,296-25670-S,313-12536-S,330-31781-S,336-6124-S,395-33071-S,400-3822-S,421-17018-S,442-4206-S,447-18940-S,457-4122-S,513-23481-S,515-18227-S
band aid	41-2023-B
band filter	41-1551-B
band printer	41-1589-B
band saw	41-4046-B
band selector	41-1625-B
band separator	41-1672-B
band spectrum	149-12964-S
band structure	155-2584-S
band switch	41-1718-B
band theory	41-1759-B
band wagon	41-4435-B
bandage	41-1814-B,393-15865-S
bandager	41-1934-B
bandaid	41-1962-B
bandana	41-2130-B
bandanna	41-2175-B
bandbox	41-2264-B
bandeau	41-2401-B
bandeaux	41-2442-B
banded	41-2607-B,83-7144-S
banderilla	41-2672-B
banderillero	41-2768-B
banderol	41-2905-B
banderole	41-3083-B
bandfish	41-3130-B
bandicoot	41-3213-B
bandit	41-3314-B,313-10514-S
banditry	41-3354-B
banditti	41-3432-B
bandleader	41-3539-B
bandmaster	41-3651-B
bandog	41-3748-B
bandoleer	41-3834-B
bandolier	41-3913-B
bandoline	41-3962-B
bands	198-19142-S,456-17284-S,457-324-S
bandsman	41-4150-B
bandstand	41-4215-B
bandwagon	41-4277-B
bandwidth	41-4722-B,17-19560-S
bandwidth product	194-18451-S
